ReferenceID,CellID,CellType,Variable,Material Used,Location in reference,Measurement Equation,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Species,Strain,Sex,Age or Weight
900676,1027,H AIPRIM,x6,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900678,1010,SG Axo-Axonic,x7,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900680,1035,SG DG Basket,x8,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900682,1009,H HICAP,x11,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900684,1009,SG HICAP,x12,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900686,1013,H HIPP,x13,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900688,1013,SG HIPP,x14,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900690,1026,H HIPROM,x15,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900692,1005,SG MOLAX,x17,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900694,1008,SMi MOPP,x18,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900696,1008,SMo MOPP,x19,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900698,1007,SMo DG Neurogliaform,x20,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900700,1006,SG Outer Molecular Layer,x21,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900702,1004,SG Total Molecular Layer,x22,"""We next investigated the response properties of HICAP- [hilar commissural-associational pathway-related] and
HIPP-like [hilar perforant path-associated] cells to COM and MPP stimulation, respectively. The
axonal arborizations of HICAP-like cells were mainly confined
to the IML [inner molecular layer] (Fig. 3E, upper), whereas the arborizations of HIPP-like
cells extended from the MML [middle molecular layer] to the outer one-third of the
ML (Fig. 3F, upper). Notably, both COM- and MPP-evoked EPSC [excitatory postsynaptic current]
amplitudes in HICAP- and HIPP-like cells were significantly smaller
than in GCs [granule cells] during 10-Hz train photostimulation (Fig. 3E,F,
middle). Unlike HICAP- and HIPP-like cells, TML-like [total molecular layer] cells <% 1026 %> <% 1005 %> <% 1004 %>, as reported
previously [Soriano and Frotscher 1993; Mott et al. 1997;
Hosp et al. 2014; termed atypical HIPP cells in Liu et al. (2014)],
had their cell bodies located at the hilar-GCL border and projected their axons throughout the entire ML (Fig. 3G, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs [interneurons]""","p2721, right top; p2722, Tab2",(x15+x17+x22)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 17/65,"These 17 cells are MOLAX, Total Molecular Layer, and HIPROM as per HCO (axon in both SMo and SMi)",Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900704,1027,H AIPRIM,x6,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900706,1010,SG Axo-Axonic,x7,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900708,1035,SG DG Basket,x8,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900710,1009,H HICAP,x11,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900712,1009,SG HICAP,x12,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900714,1013,H HIPP,x13,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900716,1013,SG HIPP,x14,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900718,1026,H HIPROM,x15,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900720,1005,SG MOLAX,x17,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900722,1008,SMi MOPP,x18,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900724,1008,SMo MOPP,x19,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900726,1007,SMo DG Neurogliaform,x20,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900728,1006,SG Outer Molecular Layer,x21,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
900730,1004,SG Total Molecular Layer,x22,"""Finally, we identified a subpopulation of INs [interneurons], hereafter called ML-like [molecular layer] cells <% 1008 %> <% 1007 %>, which had their somatic location and axonal arborizations confined to the ML (Fig. 3H, upper). ... Table 2 Properties of EPSC [excitatory postsynaptic current] in DG [dentate gyrus] INs""","p2722, left mid; p2722, Tab2",(x18+x19+x20)/(x6+x7+x8+x11+x12+x13+x14+x15+x17+x18+x19+x20+x21+x22) = 14/65,14 MOPP and NGF cells as per HCO (axon in SMo and/or SMi),Hsu,,,,26045570,0,mice,Grik4-cre transgenic hemizygote,male and female,2-5 months old
