id,position,position_HC_standard,Ranks,v2.0,status,full_name,intermediate_name,short_name,CARLsim_name,short_name_gaa_201411131347,Diff,compact_name,abbreviation,supertype,type_subtype,explanatory_notes,interneuron_specific_flag,pre_subregion_modifier,subregion,post_subregion_modifier,include_subregion,excit_inhib,axon_dendrite_pattern,format,p,soma_pattern,projection_pattern,EC_layer,pre-modifiers,core,post-modifiers,pre-modifiers_plus_core_plus_post-modifiers,pre-modifiers_plus_core_plus_post-modifiers_alternate,short_name_alternate
2027,2016,2031,5,1,active,CA3 (i)00300 Lucidum*,CA3 (i)00300 (00S00) Lucidum,CA3 Lucidum*,CA3 Lucidum,CA3 Lucidum,1,Lucidum,CA3 LC,S141602:Mossy Fiber-related:L-targeting:CA3,type,This simple and compact name captures the presence of axons and dendrites all in SL.,0,,CA3,,1,i,00300,00000,,00S00,,,,Lucidum,,Lucidum,Lucidum,CA3 Lucidum (i)
2017,2017,2025,5,,active,CA3 (i)02310 Lucidum LAX,CA3 (i)02310 (00S00) Lucidum LAX,CA3 Lucidum LAX,CA3 Lucidum LAX,CA3 Lucidum LAX,,CA3 Lucidum LAX,CA3 LC LAX,S141602:Mossy Fiber-related:L-targeting:CA3,type,"This name uses the common core of the name in the cited literature.  The modifier describes the ""Lucidum AXons"" that distinguish this from the other lucidum cell types.",0,,CA3,,1,i,02310,00000,,00S00,,,,Lucidum,LAX,Lucidum LAX,Lucidum LAX,CA3 Lucidum LAX (i)
2013,2018,2019,3,,active,CA3 (i)03311 Lucidum ORAX,CA3 (i)03311 (0SS00) Lucidum ORAX,CA3 Lucidum ORAX,CA3 Lucidum ORAX,CA3 Lucidum ORAX,,CA3 Lucidum ORAX,CA3 LC ORAX,S131502:Collateral-related:RO-targeting:CA3,type,"This name uses the common core of all of the names in the cited literature.  The modifier describes the ""ORiens AXons"" that distinguish this from the other lucidum cell types.",0,,CA3,,1,i,03311,00000,,0SS00,,,,Lucidum,ORAX,Lucidum ORAX,Lucidum ORAX,CA3 Lucidum ORAX (i)
2014,2019,2020,5,,active,CA3 (i)03300 Lucidum-Radiatum,CA3 (i)03300 (0SS00) Lucidum-Radiatum,CA3 Lucidum-Radiatum,CA3 Lucidum-Radiatum,CA3 Lucidum-Radiatum,,CA3 Lucidum-Radiatum,CA3 LR,S131502:Collateral-related:RO-targeting:CA3,type,This name describes the axons and dendrites in both SR and SL and borrows from the cited names.,0,,CA3,,1,i,03300,00000,,0SS00,,,,Lucidum-Radiatum,,Lucidum-Radiatum,Lucidum-Radiatum,CA3 Lucidum-Radiatum (i)
2019,2020,2027,3,,active,CA3 (i)01320p-DG_1100 Spiny Lucidum,CA3 (i)01320p (00S00) Spiny Lucidum,CA3 Spiny Lucidum,CA3 Spiny Lucidum,CA3 Spiny Lucidum,,CA3 Spiny Lucidum,CA3 SLC,S131502:Collateral-related:RO-targeting:CA3,type,The core name is borrowed from the cited name and the modifier distinguishes this projecting variant of the lucidum cell types.,0,,CA3,,1,i,01320,00000,p,00S00,DG_1100,,Spiny,Lucidum,,Spiny Lucidum,Lucidum Spiny,CA3 Lucidum Spiny (i)
2036,2021,2018,3,,active,CA3 (i)03330p-DG_0001 Mossy Fiber-Associated,CA3 (i)03330p (0SS00) Mossy Fiber-Associated,CA3 Mossy Fiber-Associated,CA3 Mossy Fiber-Associated,CA3 Mossy Fiber-Associated,,CA3 MFA,CA3 MFA,S131502:Collateral-related:RO-targeting:CA3,type,"This is the canonical mossy fiber-associated cell, and is the only cited name.",0,,CA3,,1,i,03330,00000,p,0SS00,DG_0001,,,Mossy Fiber-Associated,,Mossy Fiber-Associated,Mossy Fiber-Associated,CA3 Mossy Fiber-Associated (i)
2035,2022,2022,4,,active,CA3 (i)02332p-DG_0001 Mossy Fiber-Associated ORDEN,CA3 (i)02332p (00SSS) Mossy Fiber-Associated ORDEN,CA3 Mossy Fiber-Associated ORDEN,CA3 Mossy Fiber-Associated ORDEN,CA3 Mossy Fiber-Associated ORDEN,,CA3 MFA ORDEN,CA3 MFA ORDEN,S141602:Mossy Fiber-related:L-targeting:CA3,type,"This is a variant of the canonical MFA that has ""ORiens DENdrites.""",0,,CA3,,1,i,02332,00000,p,00SSS,DG_0001,,,Mossy Fiber-Associated,ORDEN,Mossy Fiber-Associated ORDEN,Mossy Fiber-Associated ORDEN,CA3 Mossy Fiber-Associated ORDEN (i)
2009,2023,2013,3,,active,CA3 (i)11003 O-LM,CA3 (i)11003 (0000S) O-LM,CA3 O-LM,CA3 O-LM,CA3 O-LM,,CA3 O-LM,CA3 O-LM,S121402:O-LM Family:O-LM-like:CA3,type,"This is the canonical CA3 variant of the canonical CA1 O-LM cell. This is the only name in the cited literature. O-LM stands for ""Oriens (dendrites) - Lacunosum-Moleculare (axons).""",0,,CA3,,1,i,11003,00000,,0000S,,,,O-LM,,O-LM,O-LM,CA3 O-LM (i)
2050,2024,2014,3,1,active,CA3 (i)10003 Recurrent O-LM*,CA3 (i)10003 (0000S) Recurrent O-LM,CA3 Recurrent O-LM*,CA3 Recurrent O-LM,CA3 Recurrent O-LM,1,CA3 Recurrent O-LM,CA3 Recurr O-LM,S121402:O-LM Family:O-LM-like:CA3,type,"This is the most well known name in the cited literature. This O-LM cell has a recurrent collateral that re-invades SO. CA3 distinguishes these cells from O-LM cells in other subregions. O-LM stands for ""Oriens (dendrites) - Lacunosum-Moleculare (axons).""",0,,CA3,,1,i,10003,00000,,0000S,,,Recurrent,O-LM,,Recurrent O-LM,O-LM Recurrent,CA3 O-LM Recurrent (i)
2021,2025,2029,5,,active,CA3 (i)01113 Interneuron Specific Oriens,CA3 (i)01113 (0000S) Interneuron Specific Oriens,CA3 Interneuron Specific Oriens,CA3 Interneuron Specific Oriens,CA3 IS Oriens,1,CA3 IS Oriens,CA3 IS Oriens,S091202:Interneuron Specific:IS:CA3,type,"This cell is verified to preferentially target non-principal cells. Although more politically loaded, the phrase ""interneuron specific"" is more compact than ""non-principal cell-specific"" and is more commonly found in the cited literature.  ""Oriens"" describes the lcoation of the soma and axons. CA3 distinguishes these cells from interneuron specific cells in other subregions.",1,,CA3,,1,i,01113,00000,,0000S,,,Interneuron Specific,Oriens,,Interneuron Specific Oriens,Oriens Interneuron Specific,CA3 Oriens Interneuron Specific (i)
2060,2026,2007,5,1,active,CA3 (i)32000 Perforant Path-Associated*,CA3 (i)32000 (SS000) Perforant Path-Associated,CA3 Perforant Path-Associated*,CA3 Perforant Path-Associated,CA3 Perforant Path-Associated,1,CA3 Perforant Path-Associated,CA3 PPA,S101302:Ivy/Neurogliaform Family:Ivy/Neurogliaform:CA3,type,This is the only specific applied name in the cited literature. CA3 distinguishes these cells from perforant path-asscoiated cells in other subregions.,0,,CA3,,1,i,32000,00000,,SS000,,,,Perforant Path-Associated,,Perforant Path-Associated,Perforant Path-Associated,CA3 Perforant Path-Associated (i)
2042,2027,2015,5,,active,CA3 (i)03333p-DG_0003 Interneuron Specific Quad,CA3 (i)03333p (0SSSS) Interneuron Specific Quad,CA3 Interneuron Specific Quad,CA3 Interneuron Specific Quad,CA3 IS Quad,1,CA3 IS Quad,CA3 IS Quad,S091202:Interneuron Specific:IS:CA3,type,"This cell is verified to preferentially target non-principal cells. Although more politically loaded, the phrase ""interneuron specific"" is more compact than ""non-principal cell-specific"" and is more commonly found in the cited literature.  ""Quad"" describes the lcoations of the axons and dendrites in four layers. CA3 distinguishes these cells from interneuron specific cells in other subregions.",1,,CA3,,1,i,03333,00000,p,0SSSS,DG_0003,,Interneuron Specific,Quad,,Interneuron Specific Quad,Quad Interneuron Specific,CA3 Quad Interneuron Specific (i)
2049,2028,2011,4,,active,CA3 (i)12222 QuadD-LM,CA3 (i)12222 (0SSSS) QuadD-LM,CA3 QuadD-LM,CA3 QuadD-LM,CA3 QuadD-LM,,CA3 QuadD-LM,CA3 QuadD-LM,S121402:O-LM Family:O-LM-like:CA3,type,This is a variant of the CA3 O-LM that has dendrites in four layers. CA3 distinguishes these cells from O-LM cells in other subregions.,0,,CA3,,1,i,12222,00000,,0SSSS,,,,QuadD-LM,,QuadD-LM,QuadD-LM,CA3 QuadD-LM (i)
2023,2029,2021,3,,active,CA3 (i)03000 Radiatum,CA3 (i)03000 (0S000) Radiatum,CA3 Radiatum,CA3 Radiatum,CA3 Radiatum,,CA3 Radiatum,CA3 R,S101302:Ivy/Neurogliaform Family:Ivy/Neurogliaform:CA3,type,This simple and compact name captures the presence of axons and dendrites all in SR. CA3 distinguishes these cells from R cells in other subregions.,0,,CA3,,1,i,03000,00000,,0S000,,,,Radiatum,,Radiatum,Radiatum,CA3 Radiatum (i)
2008,2030,2012,4,,active,CA3 (i)12000 R-LM,CA3 (i)12000 (0S000) R-LM,CA3 R-LM,CA3 R-LM,CA3 R-LM,,CA3 R-LM,CA3 R-LM,S121402:O-LM Family:O-LM-like:CA3,type,"This name is a variant of ""O-LM,"" since the soma and dendrites are in SR and the axons project to SLM and is from the cited literature. CA3 clarifies the subregion of origin, since the name is otherwise generic. R-LM stands for ""Radiatum (dendrites) - Lacunosum-Moleculare (axons).""",0,,CA3,,1,i,12000,00000,,0S000,,,,R-LM,,R-LM,R-LM,CA3 R-LM (i)
2022,2031,2034,5,,active,CA3 (i)00003 SO-SO,CA3 (i)00003 (0000S) SO-SO,CA3 SO-SO,CA3 SO-SO,CA3 SO-SO,,CA3 SO-SO,CA3 SO-SO,S131502:Collateral-related:RO-targeting:CA3,type,"This straightforward name derives from the literature-based CA1 SO-SO. CA3 distinguishes these cells from SO-SO cells in other subregions. SO-SO stands for ""Stratum Oriens (dendrites) - Stratum Oriens (axons).""",0,,CA3,,1,i,00003,00000,,0000S,,,,SO-SO,,SO-SO,SO-SO,CA3 SO-SO (i)
2020,2032,2028,3,,active,CA3 (i)01113p-CA1_0111-Sub_001 Trilaminar,CA3 (i)01113p (0000S) Trilaminar,CA3 Trilaminar,CA3 Trilaminar,CA3 Trilaminar,,CA3 Trilaminar,CA3 Trilam,S131502:Collateral-related:RO-targeting:CA3,type,"This is the CA3 variant of the canonical Somogyi CA1 trilaminar cell, and is the only name in the cited literature. CA3 clarifies the subregion of origin, since the name is otherwise generic.",0,,CA3,,1,i,01113,00000,p,0000S,CA1_0111-Sub_001,,,Trilaminar,,Trilaminar,Trilaminar,CA3 Trilaminar (i)
3000,3000,3000,3,,active,CA2 (e)2333p-DG_0001-CA3_01011-CA1_0111 Pyramidal,CA2 (e)2333p (00S0) Pyramidal,CA2 Pyramidal,CA2 Pyramidal,CA2 Pyramidal,,CA2 Pyramidal,CA2 PC,S040403:Glutamatergic PC:Pyramidal:CA2,type,CA2 distinguishes these cells from pyramidal cells in other subregions.,0,,CA2,,1,e,2333,0000,p,00S0,DG_0001-CA3_01011-CA1_0111,,,Pyramidal,,Pyramidal,Pyramidal,CA2 Pyramidal (e)
3006,3001,3002,3,,active,CA2 (i)2232 Basket,CA2 (i)2232 (00S0) Basket,CA2 Basket,CA2 Basket,CA2 Basket,,CA2 Basket,CA2 BC,S110703:Perisomatic-targeting:Basket:CA2,type,"Although the cells are known to be PV+, this is omitted to match better the ""PV+"" basket cell names in other subregions. This is the canonical CA2 basket cell compared to the non-projecting variant. CA2 distinguishes these cells from basket cells in other subregions.",0,,CA2,,1,i,2232,0000,,00S0,,,,Basket,,Basket,Basket,CA2 Basket (i)
3007,3002,3001,4,,active,CA2 (i)2232p-CA3_00030-CA1_0030 Wide-Arbor Basket,CA2 (i)2232p (00S0) Wide-Arbor Basket,CA2 Wide-Arbor Basket,CA2 Wide-Arbor Basket,CA2 Wide-Arbor BC,1,CA2 Wide-Arbor BC,CA2 Wide BC,S110703:Perisomatic-targeting:Basket:CA2,type,"This name is derived from the cited name, but sounds better to the ear when the modfiers precede the core name. CA2 distinguishes these cells from basket cells in other subregions.",0,,CA2,,1,i,2232,0000,p,00S0,CA3_00030-CA1_0030,,Wide-Arbor,Basket,,Wide-Arbor Basket,Basket Wide-Arbor,CA2 Basket Wide-Arbor (i)
3003,3003,3003,3,,active,CA2 (i)0333p-CA1__0101 Bistratified,CA2 (i)0333p (00S0) Bistratified,CA2 Bistratified,CA2 Bistratified,CA2 Bistratified,,CA2 Bistratified,CA2 BiC,S131503:Collateral-related:RO-targeting:CA2,type,The is the only name in the cited literature. This cell has the essence of the CA1 and CA3 bistratified cells in terms of marker expression.,0,,CA2,,1,i,0333,0000,p,00S0,CA1__0101,,,Bistratified,,Bistratified,Bistratified,CA2 Bistratified (i)
3008,3004,3004,4,,active,CA2 (i)0302 SP-SR,CA2 (i)0302 (00S0) SP-SR,CA2 SP-SR,CA2 SP-SR,CA2 SP-SR,,CA2 SP-SR,CA2 SP-SR,S131503:Collateral-related:RO-targeting:CA2,type,"This is the only name in the cited literature. SP-SR stands for ""Stratum Pyramidale (somata) - Stratum Radiatum (axons).""",0,,CA2,,1,i,0302,0000,,00S0,,,,SP-SR,,SP-SR,SP-SR,CA2 SP-SR (i)
4000,4000,4000,1,,active,CA1 (e)2223p-Sub_111-EC_000011 Pyramidal,CA1 (e)2223p (00S0) Pyramidal,CA1 Pyramidal,CA1 Pyramidal,CA1 Pyramidal,,CA1 Pyramidal,CA1 PC,S040404:Glutamatergic PC:Pyramidal:CA1,type,This is a canonical principal cell of the main hippocampal circuit. CA1 distinguishes these cells from pyramidal cells in other subregions.,0,,CA1,,1,e,2223,0000,p,00S0,Sub_111-EC_000011,,,Pyramidal,,Pyramidal,Pyramidal,CA1 Pyramidal (e)
4099,4001,4002,1,,active,CA1 (e)2223p-Sub_111-EC_000011 Deep Pyramidal,CA1 (e)2223p (00S0) Deep Pyramidal,CA1 Deep Pyramidal,CA1 Deep Pyramidal,CA1 Deep Pyramidal,,CA1 Deep Pyramidal,CA1 dPC,S040404:Glutamatergic PC:Pyramidal:CA1,subtype,"This is a canonical principal cell of the main hippocampal circuit. CA1 distinguishes these cells from pyramidal cells in other subregions. The phrase ""Deep"" denotes the fact that these cells tend to be found more toward the bottom of SP.",0,,CA1,,1,e,2223,0000,p,00S0,Sub_111-EC_000011,,Deep,Pyramidal,,Deep Pyramidal,Pyramidal Deep,CA1 Pyramidal Deep (e)
4098,4002,4001,1,,active,CA1 (e)2223p-Sub_111-EC_000011 Superficial Pyramidal,CA1 (e)2223p (00S0) Superficial Pyramidal,CA1 Superficial Pyramidal,CA1 Superficial Pyramidal,CA1 Superficial Pyramidal,,CA1 Superficial Pyramidal,CA1 sPC,S040404:Glutamatergic PC:Pyramidal:CA1,subtype,"This is a canonical principal cell of the main hippocampal circuit. CA1 distinguishes these cells from pyramidal cells in other subregions. The phrase ""Superficial"" denotes the fact that these cells tend to be found more toward the top of SP.",0,,CA1,,1,e,2223,0000,p,00S0,Sub_111-EC_000011,,Superficial,Pyramidal,,Superficial Pyramidal,Pyramidal Superficial,CA1 Pyramidal Superficial (e)
4094,4003,4004,4,,active,CA1 (e)3000 Cajal-Retzius,CA1 (e)3000 (S000) Cajal-Retzius,CA1 Cajal-Retzius,CA1 Cajal-Retzius,CA1 Cajal-Retzius,,CA1 Cajal-Retzius,CA1 CR,S030304:Glutamatergic C-R:Cajal-Retzius:CA1,type,This is the only name in the cited literature.,0,,CA1,,1,e,3000,0000,,S000,,,,Cajal-Retzius,,Cajal-Retzius,Cajal-Retzius,CA1 Cajal-Retzius (e)
4172,4004,4003,5,1,active,CA1 (e)3000p-DG_1000 Local-Projecting Cajal-Retzius*,CA1 (e)3000p (S000) Local-Projecting Cajal-Retzius,CA1 Local-Projecting Cajal-Retzius*,CA1 Local-Projecting Cajal-Retzius,CA1 Local-Proj Cajal-Retzius,1,CA1 Local-Projecting Cajal-Retzius,CA1 lpC-R,S030304:Glutamatergic C-R:Cajal-Retzius:CA1,type,This is the only name in the cited literature.,0,,CA1,,1,e,3000,0000,p,S000,DG_1000,,Local-Projecting,Cajal-Retzius,,Local-Projecting Cajal-Retzius,Cajal-Retzius Local-Projecting,CA1 Cajal-Retzius Local-Projecting (e)
4054,4005,4005,4,,active,CA1 (e)2201 Radiatum Giant,CA1 (e)2201 (0SS0) Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,,CA1 Radiatum Giant,CA1 RGC,S050504:Glutamatergic non-PC:Giant:CA1,type,This is the preferred cited name. Poolos et al. in two articles speculate that PLPs are a subset of the RGC superclass,0,,CA1,,1,e,2201,0000,,0SS0,,,,Radiatum Giant,,Radiatum Giant,Radiatum Giant,CA1 Radiatum Giant (e)
4036,4006,4022,2,,active,CA1 (i)2232 Axo-axonic,CA1 (i)2232 (00SS) Axo-axonic,CA1 Axo-axonic,CA1 Axo-axonic,CA1 Axo-axonic,,CA1 Axo-axonic,CA1 AA,S110904:Perisomatic-targeting:Axo-axonic:CA1,type,"The phrase ""chandelier cell"" has fallen out of use. CA1 distinguishes these cells from axo-axonic cells in other subregions.",0,,CA1,,1,i,2232,0000,,00SS,,,,Axo-axonic,,Axo-axonic,Axo-axonic,CA1 Axo-axonic (i)
4038,4007,4056,3,,active,CA1 (i)0012 Horizontal Axo-axonic,CA1 (i)0012 (00SS) Horizontal Axo-axonic,CA1 Horizontal Axo-axonic,CA1 Horizontal Axo-axonic,CA1 Horizontal Axo-axonic,,CA1 Horizontal AA,CA1 Horiz AA,S110904:Perisomatic-targeting:Axo-axonic:CA1,type,This is the only name in the cited literature. CA1 distinguishes these cells from horizontal axo-axonic cells in other subregions.,0,,CA1,,1,i,0012,0000,,00SS,,,Horizontal,Axo-axonic,,Horizontal Axo-axonic,Axo-axonic Horizontal,CA1 Axo-axonic Horizontal (i)
4023,4008,4029,3,,active,CA1 (i)1133p-DG_0001-CA3_11101 Back-Projection,CA1 (i)1133p (000S) Back-Projection,CA1 Back-Projection,CA1 Back-Projection,CA1 Back-Projection,,CA1 Back-Projection,CA1 BP,S121404:O-LM Family:O-LM-like:CA1,type,"This is a canonical Klausberger and Somogyi name, is one in the cited literature. CA1 clarifies the subregion of origin, since the name is otherwise generic.",0,,CA1,,1,i,1133,0000,p,000S,DG_0001-CA3_11101,,,Back-Projection,,Back-Projection,Back-Projection,CA1 Back-Projection (i)
4078,4009,4020,2,,active,CA1 (i)2232 Basket,CA1 (i)2232 (00SS) Basket,CA1 Basket,CA1 Basket,CA1 Basket,,CA1 Basket,CA1 BC,S110704:Perisomatic-targeting:Basket:CA1,type,This name omits any descriptive adjectives because not all of the subtypes are clearly known to be PV+. CA1 distinguishes these cells from basket cells in other subregions.,0,,CA1,,1,i,2232,0000,,00SS,,,,Basket,,Basket,Basket,CA1 Basket (i)
4039,4010,4054,4,,active,CA1 (i)0012 Horizontal Basket,CA1 (i)0012 (000S) Horizontal Basket,CA1 Horizontal Basket,CA1 Horizontal Basket,CA1 Horizontal Basket,,CA1 Horizontal BC,CA1 Horiz BC,S110704:Perisomatic-targeting:Basket:CA1,type,"This straightforward name derives from the more common name in the cited literature and is the basket cell variant of the literature-based CA1 Horizontal Axo-Axonic. CA1 clarifies the subregion of origin, since the name is otherwise generic.",0,,CA1,,1,i,0012,0000,,000S,,,Horizontal,Basket,,Horizontal Basket,Basket Horizontal,CA1 Basket Horizontal (i)
4145,4011,4047,5,1,active,CA1 (i)0210 R-P Basket*,CA1 (i)0210 (0SS0) R-P Basket,CA1 R-P Basket*,CA1 R-P Basket,CA1 R-P Basket,1,CA1 Trilayer BC,CA1 R-P BC,S110704:Perisomatic-targeting:Basket:CA1,type,"CA1 distinguishes these cells from basket cells in other subregions. The modifier is a variant of ""O-LM"" because the dendrites are in SR and the axons project to SP.",0,,CA1,,1,i,0210,0000,,0SS0,,,R-P,Basket,,R-P Basket,Basket R-P,CA1 Basket R-P (i)
4104,4012,4043,5,1,active,CA1 (i)0232 Trilayer Basket*,CA1 (i)0232 (0SSS) Trilayer Basket,CA1 Trilayer Basket*,CA1 Trilayer Basket,CA1 Trilayer Basket,1,CA1 Trilayer BC,CA1 triBC,S110704:Perisomatic-targeting:Basket:CA1,type,"CA1 distinguishes these cells from basket cells in other subregions. The phrase ""trilayer"" describes the fact that the dendrites do not reach into SLM.",0,,CA1,,1,i,0232,0000,,0SSS,,,Trilayer,Basket,,Trilayer Basket,Basket Trilayer,CA1 Basket Trilayer (i)
4079,4013,4021,2,,active,CA1 (i)2232 Basket CCK+,CA1 (i)2232 (SSSS) Basket CCK+,CA1 Basket CCK+,CA1 Basket CCK+,CA1 Basket CCK+,,CA1 BC CCK+,CA1 BC CCK+,S110804:Perisomatic-targeting:Basket CCK+:CA1,type,"These cells are known to be CCK+. CA1 distinguishes these cells from basket CCK+ cells in other subregions. ""CCK+"" was selected as being more compact than ""CCK-positive"" or ""cholecystokinin-positive.""",0,,CA1,,1,i,2232,0000,,SSSS,,,,Basket,CCK+,Basket CCK+,Basket CCK+,CA1 Basket CCK+ (i)
4139,4014,4055,5,1,active,CA1 (i)0012 Horizontal Basket CCK+*,CA1 (i)0012 (000S) Horizontal Basket CCK+,CA1 Horizontal Basket CCK+*,CA1 Horizontal Basket CCK+,CA1 Horizontal Basket CCK+,1,CA1 Horizontal BC CCK+,CA1 Horiz BC CCK+,S110804:Perisomatic-targeting:Basket CCK+:CA1,type,"This straightforward name derives from the more common name in the cited literature and is the basket cell variant of the literature-based CA1 Horizontal Axo-Axonic. CA1 clarifies the subregion of origin, since the name is otherwise generic. These cells are known to be CCK+. ""CCK+"" was selected as being more compact than ""CCK-positive"" or ""cholecystokinin-positive.""",0,,CA1,,1,i,0012,0000,,000S,,,Horizontal,Basket,CCK+,Horizontal Basket CCK+,Basket Horizontal CCK+,CA1 Basket Horizontal CCK+ (i)
4105,4015,4044,5,1,active,CA1 (i)0232 Trilayer Basket CCK+*,CA1 (i)0232 (0SS0) Trilayer Basket CCK+,CA1 Trilayer Basket CCK+*,CA1 Trilayer Basket CCK+,CA1 Trilayer Basket CCK+,1,CA1 Trilayer BC CCK+,CA1 triBC CCK+,S110804:Perisomatic-targeting:Basket CCK+:CA1,type,"These cells are known to be CCK+. CA1 distinguishes these cells from basket CCK+ cells in other subregions. ""CCK+"" was selected as being more compact than ""CCK-positive"" or ""cholecystokinin-positive."" The phrase ""trilayer"" describes the fact that the dendrites do not reach into SLM.",0,,CA1,,1,i,0232,0000,,0SS0,,,Trilayer,Basket,CCK+,Trilayer Basket CCK+,Basket Trilayer CCK+,CA1 Basket Trilayer CCK+ (i)
4080,4016,4035,2,,active,CA1 (i)0333 Bistratified,CA1 (i)0333 (00SS) Bistratified,CA1 Bistratified,CA1 Bistratified,CA1 Bistratified,,CA1 Bistratified,CA1 BiC,S131504:Collateral-related:RO-targeting:CA1,type,This is a canonical Klausberger and Somogyi name and is the main one in the cited literature. CA1 distinguishes these cells from bistratified cells in other subregions.,0,,CA1,,1,i,0333,0000,,00SS,,,,Bistratified,,Bistratified,Bistratified,CA1 Bistratified (i)
4173,4017,4049,5,1,active,CA1 (i)0202p-CA3_00010 RO-receiving CA3-targeting*,CA1 (i)0202p (00S0) RO-receiving CA3-targeting,CA1 RO-receiving CA3-targeting*,CA1 RO-receiving CA3-targeting,CA1 RO-receiving CA3-targeting,1,CA1 RO-receiving CA3-targeting,CA1 RO-Receiv CA3-target,S131504:Collateral-related:RO-targeting:CA1,type,This name is derived from the general description of its axonal-dendritic patterning and targeting. CA1 distinguishes these cells from cells in other subregions.,0,,CA1,,1,i,0202,0000,p,00S0,CA3_00010,,RO-receiving,CA3-targeting,,RO-receiving CA3-targeting,CA3-targeting RO-receiving,CA1 CA3-targeting RO-receiving (i)
4041,4018,4038,5,,active,CA1 (i)0313p-Sub_001 Hippocampo-subicular Projecting ENK+,CA1 (i)0313p (0S00) Hippocampo-subicular Projecting ENK+,CA1 Hippocampo-subicular Projecting ENK+,CA1 Hippocampo-subicular Projecting ENK+,CA1 Hippocampal-subicular Projecting ENK+,1,CA1 Hipp-SUB Proj ENK+,CA1 Hipp-SUB Proj ENK+,S131504:Collateral-related:RO-targeting:CA1,type,"The name borrows from one of the cited descriptors in the literature that describes the projecting nature of the cell and its enkephalin-positivity. CA1 clarifies the subregion of origin, since the name is otherwise generic.",0,,CA1,,1,i,0313,0000,p,0S00,Sub_001,,,Hippocampo-subicular,Projecting ENK+,Hippocampo-subicular Projecting ENK+,Hippocampo-subicular Projecting ENK+,CA1 Hippocampo-subicular Projecting ENK+ (i)
4081,4019,4036,2,,active,CA1 (i)0333 Ivy,CA1 (i)0333 (0SS0) Ivy,CA1 Ivy,CA1 Ivy,CA1 Ivy,,CA1 Ivy,CA1 Ivy,S101304:Ivy/Neurogliaform Family:Ivy/Neurogliaform:CA1,type,This is the canonical CA1 ivy cell. CA1 distinguishes these cells from ivy cells in other subregions.,0,,CA1,,1,i,0333,0000,,0SS0,,,,Ivy,,Ivy,Ivy,CA1 Ivy (i)
4021,4020,4025,4,,active,CA1 (i)2100 Interneuron Specific LM-R,CA1 (i)2100 (SS00) Interneuron Specific LM-R,CA1 Interneuron Specific LM-R,CA1 Interneuron Specific LM-R,CA1 IS LM-R,1,CA1 IS LM-R,CA1 IS LM-R,S091204:Interneuron Specific:IS:CA1,type,"This cell is verified to preferentially target non-principal cells. Although more politically loaded, the phrase ""interneuron specific"" is more compact than ""non-principal cell-specific"" and is more commonly found in the cited literature. This name is a variant of ""O-LM"" since the dendrites are in SLM and the axons project to SR. CA1 clarifies the subregion of origin, since the name is otherwise generic.",1,,CA1,,1,i,2100,0000,,SS00,,,Interneuron Specific,LM-R,,Interneuron Specific LM-R,LM-R Interneuron Specific,CA1 LM-R Interneuron Specific (i)
4022,4021,4026,5,,active,CA1 (i)2003 Interneuron Specific LMO-O,CA1 (i)2003 (0SS0) Interneuron Specific LMO-O,CA1 Interneuron Specific LMO-O,CA1 Interneuron Specific LMO-O,CA1 IS LMO-O,#REF!,CA1 IS LMO-O,CA1 IS LMO-O,S091204:Interneuron Specific:IS:CA1,type,"This cell is verified to preferentially target non-principal cells. Although more politically loaded, the phrase ""interneuron specific"" is more compact than ""non-principal cell-specific"" and is more commonly found in the cited literature. The modifier is a variant of ""O-LM"" because the dendrites are in SLM and SO and the axons project to SO. CA1 clarifies the subregion of origin, since the name is otherwise generic.",1,,CA1,,1,i,2003,0000,,0SS0,,,Interneuron Specific,LMO-O,,Interneuron Specific LMO-O,LMO-O Interneuron Specific,CA1 LMO-O Interneuron Specific (i)
4005,4022,4008,3,,active,CA1 (i)3300 LMR,CA1 (i)3300 (SS00) LMR,CA1 LMR,CA1 LMR,CA1 LMR,,CA1 LMR,CA1 LMR,S101304:Ivy/Neurogliaform Family:Ivy/Neurogliaform:CA1,type,"This name describes the multilayered axons and dendrites that occupy both occupy SLM and SR. There are no hyphens to avoid any confusion with ""O-LM""-like names. CA1 clarifies the subregion of origin, since the name is otherwise generic.",0,,CA1,,1,i,3300,0000,,SS00,,,,LMR,,LMR,LMR,CA1 LMR (i)
4102,4023,4011,5,1,active,CA1 (i)3200 LMR-LM*,CA1 (i)3200 (SS00) LMR-LM,CA1 LMR-LM*,CA1 LMR-LM,CA1 LMR-LM,1,CA1 LMR-LM,CA1 LMR-LM,S101304:Ivy/Neurogliaform Family:Ivy/Neurogliaform:CA1,type,"This name is a variant of ""O-LM"" since the dendrites are in SLM and SR and the axons project to SLM. CA1 clarifies the subregion of origin, since the name is otherwise generic.",0,,CA1,,1,i,3200,0000,,SS00,,,,LMR-LM,,LMR-LM,LMR-LM,CA1 LMR-LM (i)
