RefID,,,Quote,Location,,,,,PMID/ISBN,UID,,Figure,HcoRefID
1004030,CA1 Back Proj,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 BC,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 BC-CCK,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 Bistratified,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 IS I (no type),CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 IS II,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 IS III,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 Ivy,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 NG 3000,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 O-LM,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 PPA 3200p,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 SCA 2311,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1004030,CA1 Trilam 0113p,CA1 Pyr,"Fig. 2. Three types of pyramidal cell are served by at least 21 types of GABAergic interneuron in the CA1 area. The laminar termination of five glutamatergic inputs are indicated on the left (boutons filled circles). Pyramidal cells are red, those located closer to str. radiatum express calbinin (CB+), the larger more loosely arranged cells towards str. oriens are calbindin negative as are those in str. radiatum that project to the accessory olfactory bulb. The somata and dendrites of interneurons are blue, cells 1-18 innervate pyramidal cells and interneurons to some degrees; cells 19-21 innervate mainly or exclusively other interneurons. Axons and the main synaptic terminations (boutons, open circles) are dark blue. Note the association of the output synapses of different sets of interneuron with the perisomatic region of pyramidal cells (left), and either the Schaffer collateral/commissural or the entorhinal pathway termination zones (right), respectively. Projection GABAergic neurons send long-range axons to related areas of the temporal lobe or the septum. Not all interneurons fit these categories (not shown). Abbreviations: str., stratum; lac. mol., lacunosum moleculare; pyr., pyramidale; or., oriens; g., gyrus; O-LM, oriens lacunosum-moleculare; PP, perforant path; retrohippoc., retrohippocampal projecting; IN spec., interneuron specific.",p12 Figure 2,Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,,,,
1005000,DG AA,DG Granule,"Chandelier, or axo-axonic cells are found in the rat FD [fascia dentata] and hilus [of the dentate gyrus], and are the source of the numerous symmetric synapses on the axon initial segments of granule cells (Buhl et al., 19941; Han et al., 1993; Kosaka, 1983; Kosaka et al., 1984; Ribak and Seress, 1983; Soriano and Frotscher, 1989; Soriano et al., 1990; and as discussed in Frotscher, 1991).","p250, left bottom","Patton PE,ÃŠMcNaughton BÃŠ",Connection matrix of the hippocampal formation: I. The dentate gyrus.ÃŠ,Hippocampus,1995,8589792,,,,
1005002,DG AA,DG Granule (only),"AACs [axo-axonic cells] of DG [dentate gyrus] were first described in detail by Han et al. (1993) and Buhl et al. (1994a, b). Somatodendritic morphology of AACs is largely similar to that of BCs [basket cells]. The output is directed exclusively to the axon initial segment of GCs [granule cells]. These synapses involve multiple contact sites; in case of one AAC-GC [granule cell] pair, eight contacts were identified and the number of AACs converging onto the same initial segment] was calculated to be five (Buhl et al., 1994a).","p56, bottom",Vida I,Morphology of Hippocampal Neurons,Hippocampal Microcircuits: A Computational Modeler's Resource Book,2010,978-1-4419-0995-4,,,,
1005004,DG AA,Mossy,"Chandelier or axo-axonic cells {DG DG (i)2233 (00S0) Axo-Axonic} have been described in the dentate gyrus (Kosaka, 1983; Soriano and Frotscher, 1989; Soriano et al., 1990) and, confirming previous studies, have been found to make synapses exclusively with axon initial segments of granule cells and probably of mossy cells in the hilus. The latter assumption is based on the homologous morphology and synaptic organization of mossy cells and pyramidal cells (Frotscher et al., 1991).","p411, right middle","Halasy K,ÃŠSomogyi PÃŠ",Subdivisions in the multiple GABAergic innervation of granule cells in the dentate gyrus of the rat hippocampus.,Eur J Neurosci,1993,8261118,,,,
1005010,GC,DG BC CCK,"Some rat DG basket cells appear to contain the neuropeptide CCK. Like basket cell fibers, CCK+ fibers form a plexus around the somata of granule cells, and CCK+ terminals make symmetric contacts onto the somata and proximal dendrites of granule cells (Leranth and Frotscher, 1986; Sloviter and Nilaver, 1987).","p249, right bot","Patton PE,ÃŠMcNaughton BÃŠ",Connection matrix of the hippocampal formation: I. The dentate gyrus.ÃŠ,,1995,8589792,,,,
1005015,DG BC,DG BC,"Fig. 1 Fast and reliable inhibition among soma-targeting basket cells. A, Camera lucida reconstruction of a pair of synaptically connected basket cells {DG DG (i)2232 (00S0) Basket} (BCs) in the dentate gyrus subfield of the hippocampus (inset). The somato-dendritic domain of the presynaptic BC is shown in green, the axon in red; the somato-dendritic area of the postsynaptic neuron is displayed in black; and the axon in blue. Arrowheads point to identified putative synaptic contacts (Bartos et al., 2001). ... (Adapted from Bartos et al., 2001; with permission; (c) 2001 from the Society for Neuroscience)","p131, Fig. 1","Bartos M, Sauer JF, Vida I, Kulik A",Fast and Slow GABAergic Transmission in Hippocampal Circuits,"Hippocampal Microcircuits: A Computational Modeler's Resource Book, 2010, pages: 129 - 162",2010,978-1-4419-0995-4,,,,
1005017,DG BC,DG BC,"Approximately 1% of the 11,000 synapses made by a single [dentate] BC [basket cell {DG DG (i)2232 (00S0) Basket}] axon in the GC [granule cell] layer are onto other BCs (Sik et al. 1997), with 3-7 synapses per postsynaptic cell (Bartos et al. 2001). Consequently, each BC in the dentate gyrus contacts approximately 35 other BCs.","p511, bottom","Morgan RJ, Soltesz I",Microcircuit Model of the Dentate Gyrus in Epilepsy,"Hippocampal Microcircuits: A Computational Modeler's Resource Book, 2010, pages: 495 - 526",2010,978-1-4419-0995-4,,,,
1005019,DG BC,DG BC,"Approximately 1% of the 11,000 synapses made by a single [dentate] BC [basket cell {DG DG (i)2232 (00S0) Basket}] axon in the GC [granule cell] layer are onto other BCs (Sik et al. 1997), with 3-7 synapses per postsynaptic cell (Bartos et al. 2001). Consequently, each BC in the dentate gyrus contacts approximately 35 other BCs.","p95, top",Santhakumar V,Modeling circuit alterations in epilepsy: A focus on mossy cell loss and mossy fiber sprouting in the dentate gyrus,Computational neuroscience in epilepsy,2008,978-0-12-373649-9,,,,
1005021,DG BC,DG BC,"Roughly 1% of the 11,000 synapses made by a single basket cell axon in the granule cell layer of the dentate [gyrus] are onto other basket cells (Sik et al. 1997) with three to seven synapses per postsynaptic cell (Bartos et al. 2001). Consequently, we estimated that each basket cell in the dentate gyrus contacted 35 other basket cells.","p1581, left middle","Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,J Neurophysiol,2007,17093119,,,,
1005023,DG BC,GC,"But regardless of the dendritic patterns, the axons are concentrated in the granule cell layer, where each basket cell forms synaptic contacts with the cell bodies of multiple granule cells (Han et al., 1993).","p221, right middle",Houser CR,"Interneurons of the dentate gyrus: an overview of cell types, terminal fields and neurochemical identity.",Prog Brain Res,2007,17765721,,,,
1005025,DG BC,DG BC,"In addition, basket cells form synaptic contacts with other GABA [gamma amino butyric acid] neurons, including other basket cells (Freund and Buzsaki, 1996).","p221, right middle",Houser CR,"Interneurons of the dentate gyrus: an overview of cell types, terminal fields and neurochemical identity.",Prog Brain Res,2007,17765721,,,,
1005027,DG BC,GC,"The terminals in this basket plexus are GABA[gamma-aminobutyric acid]ergic and form symmetrical, inhibitory contacts located primarily on the cell bodies and proximal dendritic shafts of apical dendrites of the granule cells.","p62, left middle","Amaral D, Lavenex P",Hippocampal Neuroanatomy,The Hippocampus Book,2007,978-0-19-510027-3,,,,
1005029,DG BC,GC,"Granule cells also receive inputs from a variety of interneurons, mostly lying in the hilus. Basket cells and chandelier [axo-axonic] cells target primarily somata, whereas various interneurons target the dendrites.","p164, left top","Spruston N, McBain C",Chapter 5: Structural and functional properties of hippocampal neurons,The Hippocampus Book,2007,978-0-19-510027-3,,,,
1005029,DG BC,GC,"The basket portion of the name refers to the fact that the axon of these [dentate] cells forms pericellular plexuses, like the covering of a chianti bottle, that form encompassing synapses with the cell bodies of granule cells. The dentate pyramidal basket cell along with other basket cells located just below the granule cell layer contribute to a very dense terminal plexus that is confined to the granule cell layer (Struble et al., 1978; Sik et al., 1997).","p11, right middle","Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies).,Prog Brain Res,2007,17765709,,,,
1005031,DG BC,GC,Fig. 6. The pyramidal basket cell {DG DG (i)2232 (00S0) Basket}. The cell body of the pyramidal basket cell is located at the interface between the granule cell layer and the polymorphic cell layer [of the dentate gyrus]. The axon (arrow) emerges from the apical dendrite. Collaterals of this axon form a curtain of terminals that synapse with the granule cell bodies.,"p12, Fig.6","Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies).,Prog Brain Res,2007,17765709,,,,
1005033,DG BC,GC,"Plate 1.6. The pyramidal basket cell. The cell body of the pyramidal basket cell is located at the interface between the [dentate gyrus] granule cell layer and the polymorphic cell layer. The axon (arrow) emerges from the apical dendrite. Collaterals of this axon form a curtain of terminals that synapse with the granule cell bodies. Additional abbreviations: pbc, pyramidal basket cell.","p790, top","Amaral DG, Scharfman HE, Lavenex P",The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies).,Prog Brain Res,2007,17765709,,,,
1005035,DG BC,GC,"Golgi-electron microscopic preparations revealed details about the basket cell {DG DG (i)2232 (00S0) Basket} axons, showing that they have an extensive arborization concentrated mostly in the granule cell layer [of the dentate gyrus], and to a lesser extent at the border with the molecular layer. The axon terminals of basket cells contain numerous mitochondria and a sparse number of pleomorphic synaptic vesicles. These terminals were shown to form symmetric synapses, most commonly with the somata and proximal apical dendrites of granule cells (Ribak and Seress, 1983).","p159, left top","Ribak CE, Shapiro LA",Ultrastructure and synaptic connectivity of cell types in the adult rat dentate gyrus.,Prog Brain Res,2007,17765717,,,,
1005037,DG BC,DG BC,"Approximately 1% of the 11,000 synapses made by a single basket cell axon in the GC [granule cell] layer are onto other BCs [basket cells] (Sik et al., 1997) with 3-7 synapses per postsynaptic cell (Bartos et al., 2001). Consequently, each BC in the dentate gyrus contacts approximately 35 other BCs.","p644, right middle","Morgan RJ, Santhakumar V, Soltesz I",Modeling the dentate gyrus.,Prog Brain Res,2007,17765743,,,,
1005039,DG BC,DG BC,"Figure 3. Camera lucida reconstruction of a synaptically connected BC[basket cell]-BC pair {DG DG (i)2232 (00S0) Basket} [in the dentate gyrus]. Soma and dendrites of the presynaptic BC are drawn in green. Axonal arborization of the presynaptic BC is drawn in red. Soma and dendrites of the postsynaptic BC are drawn in black. Axonal arborization of the postsynaptic BC is drawn in blue. Only the portions of the axons that could be unequivocally traced back to the soma are depicted. Synaptic contacts (confirmed by subsequent electron microscopy; see Fig. 4) are indicated by arrowheads. Additionally, the postsynaptic BC showed three autaptic contacts (confirmed by electron microscopy; data not shown). Note that the axonal arborization of both BCs was largely confined to the [dentate gyrus] granule cell layer, identifying them as BCs. ml, Molecular layer; gcl, granule cell layer.","p2692, Fig. 3","Bartos M, Vida I, Frotscher M, Geiger JR, Jonas P",Rapid signaling at inhibitory synapses in a dentate gyrus interneuron network.,J Neurosci,2001,11306622,,,,
1005041,DG BC,GC,"FIG. 5. Targets of the HICAP [hilar commissural-associational pathway-associated]-like interneurons {DG DG (i)2232 (00S0) Basket} (UR.58). (A) Photomicrograph of the apical and basal dendrites (arrows) and axon collaterals in the inner molecular layer (arrowheads). (B) Spiny basal dendritic branch. Arrows indicate spines on the dendrite. The apical dendrites were spine-free. (C) A labelled bouton forms a putative contact on the soma of an interneuron (mow). (D) Correlated electron microscopy verified a symmetrical contact on the cell body (boxed area). In the inset, the bouton shown in C is synapsing on the soma (arrow). Other collaterals terminate on a dendrite of an unidentified neuron in the inner molecular layer (E), granule cell soma (F) and on a dendrite of an unidentified neuron in the hilus (G). b, bouton; d, dendrite; g, granule cell layer; gs, granule cell soma; h, hilus; is, interneuron soma; m, molecular layer; s, soma of interneuron.","p578, Fig. 5","Sik A, Penttonen M, Buzsaki G",Interneurons in the hippocampal dentate gyrus: an in vivo intracellular study.,Eur J Neurosci,1997,9104599,,,,
1005043,DG BC,GC,"Electron microscopic examination of boutons (n = 14) revealed that axon collaterals [of basket cells {DG DG (i)2232 (00S0) Basket}] terminated on dendritic shafts of the inner molecular layer (Fig. 5E) and on the somata of granule cells (Fig. 5F), forming symmetrical synapses. Electron microscopy also revealed that the boutons of axon collaterals in the hilus also corresponded to synapses (four of five boutons examined).","p580, left middle","Sik A, Penttonen M, Buzsaki G",Interneurons in the hippocampal dentate gyrus: an in vivo intracellular study.,Eur J Neurosci,1997,9104599,,,,
1005045,DG BC,GC,"DG [dentate gyrus] basket cell axonal arbors spread in and near the GL [granule cell layer] and synapse onto the somata and proximal dendrites of granule cells (Amaral, 1978; Buhl et al., 1994a; Halasy and Somogyi, 1993b; Han et al., 1993; Lorente de No, 1934; Ribak and Seress, 1983; Seress and Ribak, 1983; see discussion in Frotscher et al., 1992).","p264, left bottom","Patton PE,ÃŠMcNaughton BÃŠ",Connection matrix of the hippocampal formation: I. The dentate gyrus.ÃŠ,,1995,8589792,,,,
1005047,DG BC,GC,"The axon projected to granule cells at the same septo-temporal level where the main axon trunk originated. Characteristically, most terminal branches criss-crossed throughout the entire extent of the granule cell layer without any particular orientation preference (Figs 7 and 9A, B). Although many fibres appeared to be apposed to adjoining cell bodies, they did not form distinct pericellular baskets. The resulting intricate network of thin, varicose fibres was far too dense to be represented in a composite drawing of the entire 400 [micro]m thick slice (Fig. 7). Only a small number of collaterals left the cell body layer and ramified in the innermost part of the molecular layer or the subjacent polymorphic layer (Fig. 7). The longitudinal extent of the axon was estimated to be 0.9 mm.","p399, left top","Han ZS, Buhl EH, Lorinczi Z, Somogyi P",A high degree of spatial selectivity in the axonal and dendritic domains of physiologically identified local-circuit neurons in the dentate gyrus of the rat hippocampus.,Eur J Neurosci,1993,8261117,,,,
1005049,DG BC,GC,Basket cell {DG DG (i)2232 (00S0) Basket} dendrites located in the hilus [of the dentate gyrus] were contacted by numerous terminals with characteristics of mossy fibres derived from granule cells. Some of these terminals were identified positively in preparations that also contained impregnated granule cells. The axons of basket cells formed exclusively symmetric synapses. The most common postsynaptic structures to these terminals were the somata and dendrites of granule cells. Dendritic spines were rarely contacted by basket cell axons while the axon hillocks and initial segments of granule cells were never contacted.,"p577, abstract","Ribak CE, Seress L",Five types of basket cell in the hippocampal dentate gyrus: a combined Golgi and electron microscopic study.,J Neurocytol,1983,6619905,,,,
