Parent,Concept,Term,Resource Rank,Resource,Portal,Repository,Unique ID,Definition Link,Definition,protein_gene,human_rat,control
term_petilla_morphological,connectivity (specify predicted/putative vs. identified/confirmed),connectivity (specify predicted/putative vs. identified/confirmed),1,BIOPORTAL,BIOPORTAL,Foundational Model of Anatomy (subset),FMA:61858,http://bioportal.bioontology.org/ontologies/39991?p=terms&conceptid=FMA%3A61858 ,"Anatomical connectivity which is established between cell appendages of a neuron and the body (soma) of a neuron. Examples: axosomatic, axoaxonic, denroaxonic synapses.",,,
term_petilla_morphological,connectivity (specify predicted/putative vs. identified/confirmed),connectivity (specify predicted/putative vs. identified/confirmed),1,BIOPORTAL,BIOPORTAL,Subcellular Anatomy Ontology,sao223845603,http://bioportal.bioontology.org/ontologies/14391?p=terms&conceptid=sao223845603 ,Implies that a morphologically identified synapse exists between two cell components where release of transmitter from cell influences cell B.,,,
term_petilla_molecular,Connexins,Connexins,1,MeSH,NCBI,MeSH,D017630,http://www.nlm.nih.gov/cgi/mesh/2011/MB_cgi?mode=&index=16547&field=all&HM=&II=&PA=&form=&input=,A group of homologous proteins which form the intermembrane channels of GAP JUNCTIONS. The connexins are the products of an identified gene family which has both highly conserved and highly divergent regions. The variety contributes to the wide range of functional properties of gap junctions.,P,H - R,
term_petilla_molecular,Connexins,Connexins,1,Neurolex,NIF,Neurolex,sao2056711309,http://neurolex.org/wiki/Category:Connexin,A group of homologous proteins which form the intermembrane channels of gap junctions. The connexins are the products of an identified gene family which has both highly conserved and highly divergent regions. The variety contributes to the wide range of functional properties of gap junctions,P,H - R,
term_hippocampome_evidence,contralateral,contralateral,3,Merriam-Webster Dictionary,Merriam-Webster,Dictionary,contralateral,http://www.merriam-webster.com/dictionary/contralateral,occurring on or acting in conjunction with a part on the opposite side of the body,,,
term_hippocampome_evidence,coronal,coronal,2,Merriam-Webster Medical,Merriam-Webster,Medical,coronal,http://www.merriam-webster.com/medical/coronal,of or relating to the frontal plane that passes through the long axis of the body,,,
term_hippocampome_evidence,CoupTF II,COUP-TFII,1,Gene Ontology,Gene Ontology,AmiGO 2,"UniProtKB, O09018",http://amigo2.berkeleybop.org/amigo/gene_product/UniProtKB:O09018,"COUP transcription factor 2; Symbol:Nr2f2; Type:protein; Taxon:Rattus norvegicus; Synonyms:COT2_RAT,Arp1,Tfcoup2",,,
term_hippocampome_molecular_marker,CoupTF II,CoupTF II,1,Gene Ontology,Gene Ontology,AmiGO 2,"UniProtKB, O09018",http://amigo2.berkeleybop.org/amigo/gene_product/UniProtKB:O09018,"COUP transcription factor 2; Symbol:Nr2f2; Type:protein; Taxon:Rattus norvegicus; Synonyms:COT2_RAT,Arp1,Tfcoup2",,,
term_hippocampome_molecular_marker,CRF,CRF,1,Gene Ontology,Gene Ontology,AmiGO 2,"UniProtKB, P47866",http://amigo2.berkeleybop.org/amigo/gene_product/UniProtKB:P47866,"Corticotropin-releasing factor receptor 2; Symbol:Crhr2; Type:protein; Taxon:Rattus norvegicus; Synonyms:CRFR2_RAT,Crf2r",,,
term_hippocampome_molecular_marker,Ctip2,Ctip2,1,Gene Ontology,Gene Ontology,AmiGO 2,"UniProtKB, H9N1L3",http://amigo2.berkeleybop.org/amigo/gene_product/UniProtKB:H9N1L3,"Protein Bcl11b; Symbol:Bcl11b; Type:protein; Taxon:Rattus norvegicus; Synonyms:H9N1L3_RAT,Ctip2",,,
term_hippocampome_evidence,current clamp,current clamp,2,Scholarpedia,Scholarpedia,Article,current clamp,http://www.scholarpedia.org/article/Voltage_clamp,"In contrast, the current clamp circuit controls the amplitude of the injected current (e. g. via a microelectrode) and allows the voltage to vary. Injection of a depolarizing current across an excitable membrane may be sufficient to generate an action potential (also called an 'impulse' or 'spike'). Membrane voltage changes cause membrane conductance changes, due to the opening of populations of ion channels, which then lead to changes in the sodium and potassium currents through those channels. The balance or imbalance in these currents determines whether or not an impulse is generated.",,,
term_hippocampome_molecular_marker,Cx36,Cx36,1,Gene Ontology,Gene Ontology,AmiGO 2,"MGI, MGI:1334209",http://amigo2.berkeleybop.org/amigo/gene_product/MGI:MGI:1334209,"gap junction protein, delta 2; Symbol:Gjd2; Type:protein; Taxon:Mus musculus; Synonyms:connexin36,Cx36,Gja9",,,
term_hippocampome_molecular_marker,CXCR4,CXCR4,1,Gene Ontology,Gene Ontology,AmiGO 2,"UniProtKB, Q8VD47",http://amigo2.berkeleybop.org/amigo/gene_product/UniProtKB:Q8VD47,"C-X-C chemokine receptor type 4; Symbol:Cxcr4; Type:protein; Taxon:Rattus norvegicus; Synonyms:Q8VD47_RAT,rCG_45980",,,
term_hippocampome_evidence,cytoplasm,cytoplasm,1,Neurolex,NIF,Neurolex,GO:0005737,http://neurolex.org/wiki/Category:Cytoplasm,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",,,
term_petilla_molecular,cytoplasm,neuron-property-part-entire_neuron-cytoplasm,1,MeSH,NCBI,MeSH,cytoplasm,http://www.ncbi.nlm.nih.gov/mesh?term=cytoplasm,"The part of a cell that contains the CYTOSOL and small structures excluding the CELL NUCLEUS; MITOCHONDRIA; and large VACUOLES. (Glick, Glossary of Biochemistry and Molecular Biology, 1990)",,,
term_hippocampome_evidence,decapitate,decapitate,3,TheFreeDictionary,TheFreeDictionary,Medical Dictionary,Cervical+dislocation,http://medical-dictionary.thefreedictionary.com/Cervical+dislocation,"satisfactory method of euthanasia for laboratory mice, immature rats and poultry. Must be performed by an experienced person in order to achieve rapid and humane death.",,,
term_hippocampome_evidence,dendrite,dendrite,1,Neurolex,NIF,Neurolex,GO:0030425,http://neurolex.org/wiki/Category:Dendrite,"A branching protoplasmic process of a neuron that receive and integrate signals coming from axons of other neurons, and convey the resulting signal to the body of the cell (Gene Ontology). One of several similar processes that issue from the perikaryon of a neuron, generally specialized for receiving synaptic input from other neurons or transduction of signals from the environment.",,,
term_petilla_molecular,dendrite,neuron-property-part-entire_neuron-dendrite,1,Neurolex,NIF,NeuroLex,GO:0030425,http://neurolex.org/wiki/Category:Dendrite,"A branching protoplasmic process of a neuron that receive and integrate signals coming from axons of other neurons, and convey the resulting signal to the body of the cell (Gene Ontology). One of several similar processes that issue from the perikaryon of a neuron, generally specialized for receiving synaptic input from other neurons or transduction of signals from the environment.",,,
term_petilla_morphological,dendrite,Dendrite,1,BIOPORTAL,BIOPORTAL,Drosophila gross anatomy,FBbt:00005110,http://bioportal.bioontology.org/ontologies/45379?p=terms&conceptid=FBbt%3A00005110 ,"The region of a neuron receiving inputs from other neurons, typically a slender neurite, often branched. In insect neurons, this is often not a clear designation and often presynaptic sites co-extend with postsynaptic ones.",,,
term_petilla_morphological,dendrite,Dendrite,1,BIOPORTAL,BIOPORTAL,Subcellular Anatomy Ontology,sao1211023249,http://bioportal.bioontology.org/ontologies/14391?p=terms&conceptid=sao1211023249 ,"A branching protoplasmic process of a neuron that receive and integrate signals coming from axons of other neurons, and convey the resulting signal to the body of the cell (Gene Ontology). One of several similar processes that issue from the perikaryon of a neuron, generally specialized for receiving synaptic input from other neurons or transduction of signals from the environment.",,,
term_petilla_morphological,dendrite,Dendrite,1,BIOPORTAL,BIOPORTAL,Uber anatomy ontology,UBERON:0001023,http://bioportal.bioontology.org/ontologies/45609?p=terms&conceptid=UBERON%3A0001023 ,"The region of a neuron receiving inputs from other neurons, typically a slender neurite, often branched. In insect neurons, this is often not a clear designation and often presynaptic sites co-extend with postsynaptic ones.",,,
term_petilla_morphological,dendrite,Dendrite,1,CRISP,BIOPORTAL,CRISP Thesaurus,2047-3635,http://bioportal.bioontology.org/ontologies/44432?p=terms&conceptid=2047-3635 ,"one of the threadlike extensions of the cytoplasm of a neuron, which typically branch into tree-like processes; in unipolar and bipolar neurons, there is a single dendrite, which proximally resembles an axon but branches distally; in multipolar neurons there are many short, branching dendrites; dendrites compose most of the receptive surface of a neuron; called also dendron, neurodendrite, and neurodendron.",,,
term_petilla_morphological,dendrite,Dendrite,1,Gene Ontology,BIOPORTAL,Gene Ontology,GO:0030425,http://bioportal.bioontology.org/ontologies/45885?p=terms&conceptid=GO%3A0030425 ,"A neuron projection that has a short, tapering, often branched, morphology, receives and integrates signals from other neurons or from sensory stimuli, and conducts a nerve impulse towards the axon or the cell body. In most neurons, the impulse is conveyed from dendrites to axon via the cell body, but in some types of unipolar neuron, the impulse does not travel via the cell body.",,,
term_petilla_morphological,dendrite,Dendrite,1,Gene Ontology,BIOPORTAL,Neural-Immune Gene Ontology,GO:0030425,http://bioportal.bioontology.org/ontologies/44724?p=terms&conceptid=GO%3A0030425 ,"A branching protoplasmic process of a neuron that receive and integrate signals coming from axons of other neurons, and convey the resulting signal to the body of the cell.",,,
term_petilla_morphological,dendrite,Dendrite,1,MeSH,NCBI,MeSH,D003712,http://www.nlm.nih.gov/cgi/mesh/2011/MB_cgi?mode=&index=3552&field=all&HM=&II=&PA=&form=&input= ,Extensions of the nerve cell body. They are short and branched and receive stimuli from other NEURONS.,,,
term_petilla_morphological,Dendrite - Other (Terminus),Dendrite - Other (Terminus),1,Gene Ontology,BIOPORTAL,Gene Ontology,GO:0044292,http://bioportal.bioontology.org/ontologies/45632?p=terms&conceptid=GO%3A0044292 ,"A structure at the distal end of a dendrite adapted to carry out a specific function, e.g. dendriole.",,,
term_petilla_morphological,Dendrite - Tree size - Maximum distance from soma,Dendrite - Tree size - Maximum distance from soma,1,BIOPORTAL,BIOPORTAL,Subcellular Anatomy Ontology,sao1779606731,http://bioportal.bioontology.org/ontologies/14391?p=terms&conceptid=sao1779606731 ,"Distance, usually in linear microns, from soma where a feature is observed.",,,
term_petilla_morphological,Dendrite - Tree size - Other (Dendritic_Tree),Dendrite - Tree size - Other (Dendritic_Tree),1,BIOPORTAL,BIOPORTAL,Subcellular Anatomy Ontology,sao172297168,http://bioportal.bioontology.org/ontologies/14391?p=terms&conceptid=sao172297168 ,"The entire complement of dendrites for a neuron, consisting of each primary dendrite and all its branches.",,,
term_hippocampome_evidence,dendritic branch,dendritic branch,1,Neurolex,NIF,Neurolex,sao884265541,http://neurolex.org/wiki/Category:Dendritic_Branch,Refers to dendrites arising from another dendrite.,,,
term_petilla_morphological,dendritic branch,dendritic branch,1,BIOPORTAL,BIOPORTAL,Subcellular Anatomy Ontology,sao884265541,http://bioportal.bioontology.org/ontologies/14391?p=terms&conceptid=sao884265541 ,Refers to dendrites arising from another dendrite.,,,
term_petilla_morphological,dendritic branch,dendritic branch,1,Gene Ontology,BIOPORTAL,Gene Ontology Extension,GO:0044307,http://bioportal.bioontology.org/ontologies/42925?p=terms&conceptid=GO%3A0044307 ,A dendrite arising from another dendrite.,,,
term_hippocampome_evidence,dendritic shaft,dendritic shaft,1,Neurolex,NIF,Neurolex,sao2034472720,http://neurolex.org/wiki/Category:Dendritic_Shaft,"Cylindric portion of the dendrite, directly stemming from the perikaryon, and carrying the dendritic spines (Gene Ontology).",,,
term_hippocampome_evidence,dendritic spine,dendritic spine,1,Neurolex,NIF,Neurolex,GO:0043197,http://neurolex.org/wiki/Category:Dendritic_spine,"Protrusion from a dendrite. Spines are specialised subcellular compartments involved in the synaptic transmission. They are linked to the dendritic shaft by a restriction. Because of their bulb shape, they function as a biochemical and an electrical compartment. Spine remodeling is though to be involved in synaptic plasticity (Gene Ontology).",,,
term_petilla_morphological,dendritic spine,dendritic spine,1,BIOPORTAL,BIOPORTAL,Foundational Model of Anatomy (subset),FMA:67488,http://bioportal.bioontology.org/ontologies/39991?p=terms&conceptid=FMA%3A67488 ,,,,
term_petilla_morphological,dendritic spine,dendritic spine,1,BIOPORTAL,BIOPORTAL,Subcellular Anatomy Ontology,sao1799103720,http://bioportal.bioontology.org/ontologies/14391?p=terms&conceptid=sao1799103720 ,"Protrusion from a dendrite. Spines are specialised subcellular compartments involved in the synaptic transmission. They are linked to the dendritic shaft by a restriction. Because of their bulb shape, they function as a biochemical and an electrical compartment. Spine remodeling is though to be involved in synaptic plasticity (Gene Ontology).",,,
term_petilla_morphological,dendritic spine,dendritic spine,1,Gene Ontology,BIOPORTAL,Gene Ontology,GO:0043197,http://bioportal.bioontology.org/ontologies/45632?p=terms&conceptid=GO%3A0043197 ,"A small, membranous protrusion from a dendrite that forms a postsynaptic compartment - typically recieving input from a single presynapse. They function as partially isolated biochemical and an electrical compartments. Spine morphology is variable including ""thin"", ""stubby"", ""mushroom"", and ""branched"", with a continuum of intermediate morphologies. They typically terminate in a bulb shape, linked to the dendritic shaft by a restriction. Spine remodeling is though to be involved in synaptic plasticity.",,,
term_petilla_morphological,dendritic spine,dendritic spine,1,MeSH,NCBI,MeSH,D049229,http://www.nlm.nih.gov/cgi/mesh/2011/MB_cgi?mode=&index=22753&field=all&HM=&II=&PA=&form=&input= ,"Spiny processes on DENDRITES, each of which receives excitatory input from one nerve ending ( NERVE ENDINGS). They are commonly found on PURKINJE CELLS and PYRAMIDAL CELLS.",,,
term_hippocampome_evidence,depolarization,depolarization,1,Neurolex,NIF,Neurolex,oen_0001137,http://neurolex.org/wiki/Category:Depolarization,A decrease in the negative membrane potential of a cell. Depolarization increases the likelihood that a cell will fire an action potential.,,,
term_hippocampome_evidence,DG,dentate gyrus,1,Neurolex,NIF,Neurolex,birnlex_1178,http://neurolex.org/wiki/Category:Dentate_gyrus,"Part of the hippocampal formation forming a ""V"" or ""U"" shaped structure with the opening bounded by hippocampal area CA3. It consists of 3 layers from superficial to deep: molecular, granule cell and polymorphic or hilar layer.",,,
term_hippocampome_evidence,DG,fascia dentata,3,Wikipedia,Wikipedia,Wiki,Fascia_dentata,https://en.wikipedia.org/wiki/Fascia_dentata,"The fascia dentata is the earliest stage of the hippocampal circuit. Its primary input is the perforant path from the superficial layers of entorhinal cortex. Its principal neurons are tiny granule cells which give rise to unmyelinated axons called the mossy fibers which project to the hilus and CA3. The fascia dentata of the rat contains approximately 1,000,000 granule cells. It receives feedback connections from mossy cells in the hilus at distant levels in the septal and temporal directions. The fascia dentata and the hilus together make up the dentate gyrus. As with all regions of the hippocampus, the dentate gyrus also receives GABAergic and cholinergic input from the medial septum and the diagonal band of Broca.",,,
term_hippocampome_morphology,DG,DG,2,Allen Brain Atlas,Allen Brain Atlas,Reference Atlases,DG,http://atlas.brain-map.org/#atlas=1&plate=100960224&structure=726&x=4593.904854910715&y=3595.0476074218755&zoom=-3&resolution=11.97&z=6,Dentate gyrus,,,
term_hippocampome_type,DG Axo-axonic,DG Axo-axonic,1,Hippocampome.org,CNG,Hippocampome.org,DG Axo-axonic,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG DG:H ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ].",,,
term_hippocampome_type_synonym,DG Axo-axonic,Dentate chandelier cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Axo-axonic,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG DG:H ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ].",,,
term_hippocampome_type_synonym,DG Axo-axonic,DG AAC,1,Hippocampome.org,CNG,Hippocampome.org,DG Axo-axonic,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG DG:H ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ].",,,
term_hippocampome_type_synonym,DG Axo-axonic,DG axo-axonic cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Axo-axonic,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG DG:H ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ].",,,
term_hippocampome_type_synonym,DG Axo-axonic,DG chandelier cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Axo-axonic,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG DG:H ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ].",,,
term_hippocampome_type,DG Basket,DG Basket,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG basket 1 cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG basket-cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG FS PV positive basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG fusiform basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG GCL cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG HICAP-like cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG HICAP-like interneuron,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG hilar basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG hilar region basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG horizontal basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG IML cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG interneuron with axonal arbors concentrated in the granule cell layer,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG interneuron with inner molecular layer axons,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG inverted fusiform basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG molecular layer basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG PV-BC,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG PV+ BC,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type_synonym,DG Basket,DG pyramidal basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SG ]; CCK-.",,,
term_hippocampome_type,DG Basket CCK+,DG Basket CCK+,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket CCK+,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SMi or DG:SG ]; CCK+.",,,
term_hippocampome_type_synonym,DG Basket CCK+,DG basket 2 cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket CCK+,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SMi or DG:SG ]; CCK+.",,,
term_hippocampome_type_synonym,DG Basket CCK+,DG basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket CCK+,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SMi or DG:SG ]; CCK+.",,,
term_hippocampome_type_synonym,DG Basket CCK+,DG CCK positive basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket CCK+,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SMi or DG:SG ]; CCK+.",,,
term_hippocampome_type_synonym,DG Basket CCK+,DG CCK-BC,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket CCK+,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SMi or DG:SG ]; CCK+.",,,
term_hippocampome_type_synonym,DG Basket CCK+,DG VIP positive basket cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Basket CCK+,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SG ], dendrites in [ DG:SMo DG:SMi DG:SG DG:H ], and soma in [ DG:SMi or DG:SG ]; CCK+.",,,
term_hippocampome_type,DG Neurogliaform,DG Neurogliaform,1,Hippocampome.org,CNG,Hippocampome.org,DG Neurogliaform,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SMo SUB:SM ], dendrites in [ DG:SMo ], and soma in [ DG:SMo ].",,,
term_hippocampome_type_synonym,DG Neurogliaform,DG neurogliaform cell,1,Hippocampome.org,CNG,Hippocampome.org,DG Neurogliaform,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SMo SUB:SM ], dendrites in [ DG:SMo ], and soma in [ DG:SMo ].",,,
term_hippocampome_type_synonym,DG Neurogliaform,DG NGFC,1,Hippocampome.org,CNG,Hippocampome.org,DG Neurogliaform,http://hippocampome.org/formal-typedefs,"Inhibitory neuron with axons in [ DG:SMo SUB:SM ], dendrites in [ DG:SMo ], and soma in [ DG:SMo ].",,,
term_hippocampome_morphology,DG:H,DG:H,2,Allen Brain Atlas,Allen Brain Atlas,Reference Atlases,DG-po,http://atlas.brain-map.org/#atlas=1&plate=100960224&structure=10704&x=4594.285714285715&y=3595.428641183036&zoom=-3&resolution=11.97&z=5,"Dentate gyrus, polymorph layer",,,
term_hippocampome_evidence,DG:SG,dentate gyrus granule cell layer,1,Neurolex,NIF,Neurolex,birnlex_4129,http://neurolex.org/wiki/Category:Dentate_gyrus_granule_cell_layer,"Layer of the dentate gyrus characterized by dense packing of dentate gyrus granule cell bodies, lying deep to the molecular layer of the dentate gyrus and superficial to the polymorphic (hilar) layer",,,
term_hippocampome_evidence,DG:SG,DG granule cell layer,1,Neurolex,NIF,Neurolex,birnlex_4129,http://neurolex.org/wiki/Category:Dentate_gyrus_granule_cell_layer,"Layer of the dentate gyrus characterized by dense packing of dentate gyrus granule cell bodies, lying deep to the molecular layer of the dentate gyrus and superficial to the polymorphic (hilar) layer",,,
term_hippocampome_evidence,DG:SG,DG stratum granulosum,1,Neurolex,NIF,Neurolex,birnlex_4129,http://neurolex.org/wiki/Category:Dentate_gyrus_granule_cell_layer,"Layer of the dentate gyrus characterized by dense packing of dentate gyrus granule cell bodies, lying deep to the molecular layer of the dentate gyrus and superficial to the polymorphic (hilar) layer",,,
term_hippocampome_morphology,DG:SG,DG:SG,2,Allen Brain Atlas,Allen Brain Atlas,Reference Atlases,DG-sg,http://atlas.brain-map.org/#atlas=1&plate=100960224&structure=632&x=4594.285714285715&y=3595.428641183036&zoom=-3&resolution=11.97&z=5,"Dentate gyrus, granule cell layer",,,
term_hippocampome_morphology,DG:SMi,DG:SMi,2,Allen Brain Atlas,Allen Brain Atlas,Reference Atlases,DG-mo,http://atlas.brain-map.org/#atlas=1&plate=100960224&structure=10703&x=4594.285714285715&y=3595.428641183036&zoom=-3&resolution=11.97&z=5,"Dentate gyrus, molecular layer",,,
term_hippocampome_morphology,DG:SMo,DG:SMo,2,Allen Brain Atlas,Allen Brain Atlas,Reference Atlases,DG-mo,http://atlas.brain-map.org/#atlas=1&plate=100960224&structure=10703&x=4594.285714285715&y=3595.428641183036&zoom=-3&resolution=11.97&z=5,"Dentate gyrus, molecular layer",,,
term_hippocampome_evidence,differential binding,differential binding,1,Neurolex,NIF,Neurolex,nlx_qual_100818,http://neurolex.org/wiki/Category:Differential_binding,Binding that is increased or decreased relative to a control group at a significance level of p</=0.05.,,,
term_hippocampome_evidence,diffuse,diffuse,3,Merriam-Webster Dictionary,Merriam-Webster,Dictionary,diffuse,http://www.merriam-webster.com/dictionary/diffuse,spread out over a large space : not concentrated in one area,,,
