Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Parameter,Parameter_ID,Name of file containing figure,Protocol_tag,FTQ_ID,Figure/Table,Quote reference id,Interpretation notes figures
"Dugladze T1, Schmitz D, Whittington MA, Vida I, Gloveli T.",Segregation of axonal and somatic activity during fast network oscillations.,Science,2012,22700932,2028,fAHP,05,Dugladze-Gloveli-2012-1458-Science-Fig2AC-Cell2028-fAHP.jpeg,,10201,ephys_figure,202805093210201,
"Dugladze T1, Schmitz D, Whittington MA, Vida I, Gloveli T.",Segregation of axonal and somatic activity during fast network oscillations.,Science,2012,22700932,2028,Vthresh,04,Dugladze-Gloveli-2012-1458-Science-Fig2AC-Cell2028-Vthresh.jpeg,,10201,ephys_figure,202804093210201,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Dugladze T1, Schmitz D, Whittington MA, Vida I, Gloveli T.",Segregation of axonal and somatic activity during fast network oscillations.,Science,2012,22700932,2028,sAHP,09,Dugladze-Gloveli-2012-1458-Science-Fig4A-Cell2028-sAHP.jpeg,,10401,ephys_figure,202809093210401,
"Vida I, Frotscher M.",A hippocampal interneuron associated with the mossy fiber system.,Proceedings of the National Academy of Sciences of the United States of America,2000,10655521,2035,sAHP,09,Vida-Frotscher-2000-1275-PNAS-Fig1Cb-Cell2035-sAHP.jpeg,,10103,ephys_figure,203509552110103,
"Vida I, Frotscher M.",A hippocampal interneuron associated with the mossy fiber system.,Proceedings of the National Academy of Sciences of the United States of America,2000,10655521,2035,Vthresh,04,Vida-Frotscher-2000-1275-PNAS-Fig1Cb-Cell2035-Vthresh.jpeg,,10103,ephys_figure,203504552110103,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Vida I, Frotscher M.",A hippocampal interneuron associated with the mossy fiber system.,Proceedings of the National Academy of Sciences of the United States of America,2000,10655521,2035,APampl,06,Vida-Frotscher-2000-1275-PNAS-Tab1-Cell2035-APampl.jpeg,,20100,ephys_table,203506552120100,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Vida I, Frotscher M.",A hippocampal interneuron associated with the mossy fiber system.,Proceedings of the National Academy of Sciences of the United States of America,2000,10655521,2035,APwidth,07,Vida-Frotscher-2000-1275-PNAS-Tab1-Cell2035-APwidth.jpeg,,20100,ephys_table,203507552120100,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Vida I, Frotscher M.",A hippocampal interneuron associated with the mossy fiber system.,Proceedings of the National Academy of Sciences of the United States of America,2000,10655521,2035,fAHP,05,Vida-Frotscher-2000-1275-PNAS-Tab1-Cell2035-fAHP.jpeg,,20100,ephys_table,203505552120100,
"Vida I, Frotscher M.",A hippocampal interneuron associated with the mossy fiber system.,Proceedings of the National Academy of Sciences of the United States of America,2000,10655521,2035,maxFR,08,Vida-Frotscher-2000-1275-PNAS-Tab1-Cell2035-maxFR.jpeg,,20100,ephys_table,203508552120100,
"Vida I, Frotscher M.",A hippocampal interneuron associated with the mossy fiber system.,Proceedings of the National Academy of Sciences of the United States of America,2000,10655521,2035,Rin,02,Vida-Frotscher-2000-1275-PNAS-Tab1-Cell2035-Rin.jpeg,,20100,ephys_table,203502552120100,
"Vida I, Frotscher M.",A hippocampal interneuron associated with the mossy fiber system.,Proceedings of the National Academy of Sciences of the United States of America,2000,10655521,2035,tau,03,Vida-Frotscher-2000-1275-PNAS-Tab1-Cell2035-tau.jpeg,,20100,ephys_table,203503552120100,
"Vida I, Frotscher M.",A hippocampal interneuron associated with the mossy fiber system.,Proceedings of the National Academy of Sciences of the United States of America,2000,10655521,2035,Vrest,01,Vida-Frotscher-2000-1275-PNAS-Tab1-Cell2035-Vrest.jpeg,,20100,ephys_table,203501552120100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Losonczy A, Biró AA, Nusser Z.",Persistently active cannabinoid receptors mute a subpopulation of hippocampal interneurons.,Proceedings of the National Academy of Sciences of the United States of America,2004,14734812,2036,APampl,06,Losonczy-Nusser-2004-1362-PNAS-Fig3b-Cell2036-APampl.jpeg,,10302,ephys_figure,203606481210302,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Losonczy A, Biró AA, Nusser Z.",Persistently active cannabinoid receptors mute a subpopulation of hippocampal interneurons.,Proceedings of the National Academy of Sciences of the United States of America,2004,14734812,2036,fAHP,05,Losonczy-Nusser-2004-1362-PNAS-Fig3b-Cell2036-fAHP.jpeg,,10302,ephys_figure,203605481210302,
"Losonczy A, Biró AA, Nusser Z.",Persistently active cannabinoid receptors mute a subpopulation of hippocampal interneurons.,Proceedings of the National Academy of Sciences of the United States of America,2004,14734812,2036,sag,10,Losonczy-Nusser-2004-1362-PNAS-Fig3b-Cell2036-sag.jpeg,,10302,ephys_figure,203610481210302,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Losonczy A, Biró AA, Nusser Z.",Persistently active cannabinoid receptors mute a subpopulation of hippocampal interneurons.,Proceedings of the National Academy of Sciences of the United States of America,2004,14734812,2036,sAHP,09,Losonczy-Nusser-2004-1362-PNAS-Fig3b-Cell2036-sAHP.jpeg,,10302,ephys_figure,203609481210302,
"Losonczy A, Biró AA, Nusser Z.",Persistently active cannabinoid receptors mute a subpopulation of hippocampal interneurons.,Proceedings of the National Academy of Sciences of the United States of America,2004,14734812,2036,Vthresh,04,Losonczy-Nusser-2004-1362-PNAS-Fig3b-Cell2036-Vthresh.jpeg,,10302,ephys_figure,203604481210302,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Szabadics J, Soltesz I.",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus.,Journal of Neuroscience,2009,19339618,2036,APampl,06,Szabadics-Soltesz-2009-4239-JNeurosci-Fig6-Cell2036-APampl.jpeg,,10600,ephys_figure,203606961810600,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Szabadics J, Soltesz I.",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus.,Journal of Neuroscience,2009,19339618,2036,fAHP,05,Szabadics-Soltesz-2009-4239-JNeurosci-Fig6-Cell2036-fAHP.jpeg,,10600,ephys_figure,203605961810600,
"Szabadics J, Soltesz I.",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus.,Journal of Neuroscience,2009,19339618,2036,Vthresh,04,Szabadics-Soltesz-2009-4239-JNeurosci-Fig6-Cell2036-Vthresh.jpeg,,10600,ephys_figure,203604961810600,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Szabadics J, Soltesz I.",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus.,Journal of Neuroscience,2009,19339618,2036,APwidth,07,Szabadics-Soltesz-2009-JNeurosci-29-4239-suppl-FigS4B-Cell2036-APwidth.jpeg,,15402,ephys_figure,203607961815402,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH.",Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,Journal of Physiology,2005,15486016,2043,APampl,06,Gloveli-Buhl-2005-131-JPhysiol-Fig7A-Cell2043-APampl.jpeg,,10701,ephys_figure,204306601610701,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH.",Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,Journal of Physiology,2005,15486016,2043,fAHP,05,Gloveli-Buhl-2005-131-JPhysiol-Fig7A-Cell2043-fAHP.jpeg,,10701,ephys_figure,204305601610701,
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH.",Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,Journal of Physiology,2005,15486016,2043,sag,10,Gloveli-Buhl-2005-131-JPhysiol-Fig7A-Cell2043-sag.jpeg,,10701,ephys_figure,204310601610701,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH.",Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,Journal of Physiology,2005,15486016,2043,sAHP,09,Gloveli-Buhl-2005-131-JPhysiol-Fig7A-Cell2043-sAHP.jpeg,,10701,ephys_figure,204309601610701,
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH.",Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,Journal of Physiology,2005,15486016,2043,Vthresh,04,Gloveli-Buhl-2005-131-JPhysiol-Fig7A-Cell2043-Vthresh.jpeg,,10701,ephys_figure,204304601610701,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH.",Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,Journal of Physiology,2005,15486016,2043,APwidth,07,Gloveli-Buhl-2005-131-JPhysiol-Tab1-Cell2043-APwidth.jpeg,,20100,ephys_table,204307601620100,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH.",Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,Journal of Physiology,2005,15486016,2043,maxFR,08,Gloveli-Buhl-2005-131-JPhysiol-Tab1-Cell2043-maxFR.jpeg,,20100,ephys_table,204308601620100,
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH.",Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,Journal of Physiology,2005,15486016,2043,Rin,02,Gloveli-Buhl-2005-131-JPhysiol-Tab1-Cell2043-Rin.jpeg,,20100,ephys_table,204302601620100,
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH.",Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,Journal of Physiology,2005,15486016,2043,tau,03,Gloveli-Buhl-2005-131-JPhysiol-Tab1-Cell2043-tau.jpeg,,20100,ephys_table,204303601620100,
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH.",Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,Journal of Physiology,2005,15486016,2043,Vrest,01,Gloveli-Buhl-2005-131-JPhysiol-Tab1-Cell2043-Vrest.jpeg,,20100,ephys_table,204301601620100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Gulyas A, Szabo G, Ulbert I, Holderith N, Monyer H, Erdelyi F, Szabo G, Freund T, Hajos N.",Parvalbumin-Containing Fast-Spiking Basket Cells Generate the Field Potential Oscillations Induced by Cholinergic Receptor Activation in the Hippocampus,Journal of Neuroscience,2010,21068319,2044,APampl,06,Gulyas-Hajos-2010-15134-JNeurosci-Fig1b-2044-APampl.jpeg,,10102,ephys_figure,204406831910102,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Gulyas A, Szabo G, Ulbert I, Holderith N, Monyer H, Erdelyi F, Szabo G, Freund T, Hajos N.",Parvalbumin-Containing Fast-Spiking Basket Cells Generate the Field Potential Oscillations Induced by Cholinergic Receptor Activation in the Hippocampus,Journal of Neuroscience,2010,21068319,2044,fAHP,05,Gulyas-Hajos-2010-15134-JNeurosci-Fig1b-2044-fAHP.jpeg,,10102,ephys_figure,204405831910102,
"Gulyas A, Szabo G, Ulbert I, Holderith N, Monyer H, Erdelyi F, Szabo G, Freund T, Hajos N.",Parvalbumin-Containing Fast-Spiking Basket Cells Generate the Field Potential Oscillations Induced by Cholinergic Receptor Activation in the Hippocampus,Journal of Neuroscience,2010,21068319,2044,sag,10,Gulyas-Hajos-2010-15134-JNeurosci-Fig1b-2044-sag.jpeg,,10102,ephys_figure,204410831910102,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Gulyas A, Szabo G, Ulbert I, Holderith N, Monyer H, Erdelyi F, Szabo G, Freund T, Hajos N.",Parvalbumin-Containing Fast-Spiking Basket Cells Generate the Field Potential Oscillations Induced by Cholinergic Receptor Activation in the Hippocampus,Journal of Neuroscience,2010,21068319,2044,sAHP,09,Gulyas-Hajos-2010-15134-JNeurosci-Fig1b-2044-sAHP.jpeg,,10102,ephys_figure,204409831910102,
"Gulyas A, Szabo G, Ulbert I, Holderith N, Monyer H, Erdelyi F, Szabo G, Freund T, Hajos N.",Parvalbumin-Containing Fast-Spiking Basket Cells Generate the Field Potential Oscillations Induced by Cholinergic Receptor Activation in the Hippocampus,Journal of Neuroscience,2010,21068319,2044,Vthresh,04,Gulyas-Hajos-2010-15134-JNeurosci-Fig1b-2044-Vthresh.jpeg,,10102,ephys_figure,204404831910102,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Szabadics J, Soltesz I.",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus.,Journal of Neuroscience,2009,19339618,2046,APampl,06,Szabadics-Soltesz-2009-4239-JNeurosci-Fig4A-Cell2046-APampl.jpeg,,10401,ephys_figure,204606961810401,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Szabadics J, Soltesz I.",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus.,Journal of Neuroscience,2009,19339618,2046,Vthresh,04,Szabadics-Soltesz-2009-4239-JNeurosci-Fig4A-Cell2046-Vthresh.pd.jpeg,,10401,ephys_figure,204604961810401,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Szabadics J, Soltesz I.",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus.,Journal of Neuroscience,2009,19339618,2046,APwidth,07,Szabadics-Soltesz-2009-JNeurosci-29-4239-suppl-FigS4B-Cell2046-APwidth.jpeg,,15402,ephys_figure,204607961815402,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Szabó GG, Holderith N, Gulyás AI, Freund TF, Hájos N.",Distinct synaptic properties of perisomatic inhibitory cell types and their different modulation by cholinergic receptor activation in the CA3 region of the mouse hippocampus.,European Journal of Neuroscience,2010,20529124,2047,APampl,06,Szabo-Hajos-2010-2234-EurJNeurosci-Fig1A-Cell2047-APampl.jpeg,,10101,ephys_figure,204706912410101,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Szabó GG, Holderith N, Gulyás AI, Freund TF, Hájos N.",Distinct synaptic properties of perisomatic inhibitory cell types and their different modulation by cholinergic receptor activation in the CA3 region of the mouse hippocampus.,European Journal of Neuroscience,2010,20529124,2047,fAHP,05,Szabo-Hajos-2010-2234-EurJNeurosci-Fig1A-Cell2047-fAHP.jpeg,,10101,ephys_figure,204705912410101,
"Szabó GG, Holderith N, Gulyás AI, Freund TF, Hájos N.",Distinct synaptic properties of perisomatic inhibitory cell types and their different modulation by cholinergic receptor activation in the CA3 region of the mouse hippocampus.,European Journal of Neuroscience,2010,20529124,2047,sag,10,Szabo-Hajos-2010-2234-EurJNeurosci-Fig1A-Cell2047-sag.jpeg,,10101,ephys_figure,204710912410101,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Szabó GG, Holderith N, Gulyás AI, Freund TF, Hájos N.",Distinct synaptic properties of perisomatic inhibitory cell types and their different modulation by cholinergic receptor activation in the CA3 region of the mouse hippocampus.,European Journal of Neuroscience,2010,20529124,2047,sAHP,09,Szabo-Hajos-2010-2234-EurJNeurosci-Fig1A-Cell2047-sAHP.jpeg,,10101,ephys_figure,204709912410101,
"Szabó GG, Holderith N, Gulyás AI, Freund TF, Hájos N.",Distinct synaptic properties of perisomatic inhibitory cell types and their different modulation by cholinergic receptor activation in the CA3 region of the mouse hippocampus.,European Journal of Neuroscience,2010,20529124,2047,Vthresh,04,Szabo-Hajos-2010-2234-EurJNeurosci-Fig1A-Cell2047-Vthresh.jpeg,,10101,ephys_figure,204704912410101,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,3000,fAHP,05,Chevaleyre-Siegelbaum-2010-560-Neuron-Fig1A-Cell3000-fAHP.jpeg,,10101,ephys_figure,300005086010101,
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,3000,sAHP,09,Chevaleyre-Siegelbaum-2010-560-Neuron-Fig1A-Cell3000-sAHP.jpeg,,10101,ephys_figure,300009086010101,
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,3000,Vthresh,04,Chevaleyre-Siegelbaum-2010-560-Neuron-Fig1A-Cell3000-Vthresh.jpeg,,10101,ephys_figure,300004086010101,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,3000,sag,10,Chevaleyre-Siegelbaum-2010-560-Neuron-Fig1B-Cell3000-sag.jpeg,,10102,ephys_figure,300010086010102,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,3000,APampl,06,Chevaleyre-Siegelbaum-2010-560-Neuron-Tab1-Cell3000-APampl.jpeg,,20100,ephys_table,300006086020100,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,3000,APwidth,07,Chevaleyre-Siegelbaum-2010-560-Neuron-Tab1-Cell3000-APwidth.jpeg,,20100,ephys_table,300007086020100,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,3000,Rin,02,Chevaleyre-Siegelbaum-2010-560-Neuron-Tab1-Cell3000-Rin.jpeg,,20100,ephys_table,300002086020100,
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,3000,sag,10,Chevaleyre-Siegelbaum-2010-560-Neuron-Tab1-Cell3000-sag.jpeg,,20100,ephys_table,300010086020100,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Chevaleyre V, Siegelbaum SA.",Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,Neuron,2010,20510860,3000,Vrest,01,Chevaleyre-Siegelbaum-2010-560-Neuron-Tab1-Cell3000-Vrest.jpeg,,20100,ephys_table,300001086020100,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3003,sag,10,Mercer-Thomson-2007-7329-JNeurosci-Fig6B-Cell3003-sag.jpeg,,10602,ephys_figure,300310128510602,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3003,sAHP,09,Mercer-Thomson-2007-7329-JNeurosci-Fig6B-Cell3003-sAHP.jpeg,,10602,ephys_figure,300309128510602,
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3003,Vthresh,04,Mercer-Thomson-2007-7329-JNeurosci-Fig6B-Cell3003-Vthresh.jpeg,,10602,ephys_figure,300304128510602,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3003,APampl,06,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3003-APampl.jpeg,,20200,ephys_table,300306128520200,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3003,APwidth,07,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3003-APwidth.jpeg,,20200,ephys_table,300307128520200,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3003,fAHP,05,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3003-fAHP.jpeg,,20200,ephys_table,300305128520200,
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3003,Rin,02,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3003-Rin.jpeg,,20200,ephys_table,300302128520200,
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3003,sag,10,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3003-sag.jpeg,,20200,ephys_table,300310128520200,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3003,tau,03,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3003-tau.jpeg,,20200,ephys_table,300303128520200,
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3003,Vrest,01,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3003-Vrest.jpeg,,20200,ephys_table,300301128520200,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,sag,10,Mercer-Thomson-2007-7329-JNeurosci-Fig5B-Cell3006-sag.jpeg,,10502,ephys_figure,300610128510502,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,sAHP,09,Mercer-Thomson-2007-7329-JNeurosci-Fig5B-Cell3006-sAHP.jpeg,,10502,ephys_figure,300609128510502,
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,Vthresh,04,Mercer-Thomson-2007-7329-JNeurosci-Fig5B-Cell3006-Vthresh.jpeg,,10502,ephys_figure,300604128510502,"In the Hippocampome, the firing threshold potential (Vthresh) is defined as a potential relative to the resting membrane potential (Vrest)."
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,maxFR,08,Mercer-Thomson-2007-7329-JNeurosci-Fig5B-Cell3006-maxFR.jpeg,,10502,ephys_figure,300608128510502,
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,APampl,06,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3006-APampl.jpeg,,20200,ephys_table,300606128520200,"In the Hippocampome, the action potential amplitude (APampl) is defined as the peak voltage relative to the firing threshold potential (Vthresh).
"
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,APwidth,07,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3006-APwidth.jpeg,,20200,ephys_table,300607128520200,"In the Hippocampome, the action potential width (APwidth) is determined at the half of the action potential amplitude (1/2 APampl)."
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,fAHP,05,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3006-fAHP.jpeg,,20200,ephys_table,300605128520200,
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,Rin,02,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3006-Rin.jpeg,,20200,ephys_table,300602128520200,
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,sag,10,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3006-sag.jpeg,,20200,ephys_table,300610128520200,"In the Hippocampome, the sag ratio (sag) is defined as the ratio of the steady-state voltage (Vss) at the end of the hyperpolarizing current injection to the maximum voltage transients (Vmin).
"
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,tau,03,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3006-tau.jpeg,,20200,ephys_table,300603128520200,
"Mercer A, Trigg HL, Thomson AM.",Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,Journal of Neuroscience,2007,17611285,3006,Vrest,01,Mercer-Thomson-2007-7329-JNeurosci-Tab2-Cell3006-Vrest.jpeg,,20200,ephys_table,300601128520200,"In the Hippocampome, the resting membrane potential (Vrest) is defined relative to zero."
