ReferenceID,CellID,CellType,Material Used,Location in reference,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Area,Soma_state,Soma,Species,Strain,Type,Gender,Age,Slice,Recording,Labeled,Markers,Input,Output,Sections
800072,1040,,"""Supplemental Figure 3. Non-Ivy/NGs presynaptic to NGCs. a, ... Right, reconstruction of this presynaptic interneuron. Arrowheads point to NGC (green) and presynaptic interneuron (red dendrites and gray axon). The interneuron had 4 primary aspinous dendrites, 3 of which were contained in the inner molecular layer and granule cell layer, the other extended into the hilus. The axon covered the granule cell layer and the inner molecular layer, with a less dense portion extending into the hilus. The mean interbouton distance was 7.1 [micro]m, the total axon length was 15,750 [micro]m, and the total dendrite length was 1,108 [micro]m. The location of this NGC soma was atypically close to the inner molecular layer.""","pS9, FigS3a",,"Markwardt SJ,�Dieni CV,�Wadiche JI,�Overstreet-Wadiche L",Ivy/neurogliaform interneurons coordinate activity in the neurogenic niche,Nature Neuroscience,2011,21983681,0,DG,Erased,Mli,Mouse,POMC-EGFP/C57BL/6j,Transgenic,NS,30-60 PD,,Whole Cell,Biocytin 0.2%,,,,
800074,1005,,"""Figure 2. Heterogeneity of non-FS INs. ... D, An exemplar atypical HIPP-like cell, which had the axonal distribution of HIPP cells, but the dendrites ramified in the ML, in addition to the hilus.""","p1347, Fig2D",,"Liu YC, Cheng JK, Lien CC",Rapid dynamic changes of dendritic inhibition in the dentate gyrus by presynaptic activity patterns,J Neurosci,2014,24453325,0,DG,Erased,Hilus,Rat,SD,Wildtype,Male,16-25PD,Transverse,Cell attached,Biocytin 0.4%,,,,
800076,1005,,"""Figure 5. TML cell reconstructions. Typical TML cells shown in A-D had axons that did not show a preferential distribution in either the OML or IML and were usually widely dispersed in the ML. Somata were most commonly pyramidal with prominent apical dendrites from which the axon typically arose. These cells strongly resemble the interneurons with extensive axonal arborization in the ML described by Soriano and Frotscher (1993).""","p3997, Fig5A",,"Mott DD, Turner DA, Okazaki MM, Lewis DV",Interneurons of  the dentate-hilus border of the rat dentate gyrus: Morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,0,DG,Erased,Hilus,Rat,SD,Wildtype,Male,16-30 PD,Transverse,Whole Cell,Biocytin 0.4%,,,,
800078,1005,,"""Figure 5. TML cell reconstructions. Typical TML cells shown in A-D had axons that did not show a preferential distribution in either the OML or IML and were usually widely dispersed in the ML. Somata were most commonly pyramidal with prominent apical dendrites from which the axon typically arose. These cells strongly resemble the interneurons with extensive axonal arborization in the ML described by Soriano and Frotscher (1993).""","p3997, Fig5B",,"Mott DD, Turner DA, Okazaki MM, Lewis DV",Interneurons of  the dentate-hilus border of the rat dentate gyrus: Morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,0,DG,Erased,Hilus,Rat,SD,Wildtype,Male,16-30 PD,Transverse,Whole Cell,Biocytin 0.4%,,,,
800080,1008,,"""Figure 1. Characteristic morphologies and immunocytochemical profiles of NGFCs in the dentate. A: Camera lucida drawing from a representative 100-[micro]m section of a dentate NGFC.""","p1481, Fig1A",,"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,0,DG,Erased,MLo,Rat,Wistar,Wildtype,Both,3-5 Weeks,Horizontal,Whole Cell,Biocytin,,,,60 thick
800082,1008,,"""Figure 6. Specific examples of the diverse interneuronal connections of NGFCs. ... D: Camera lucida reconstruction of an electrically connected NGFC to non-NGFC pair (0.6% coupling coefficient, electrophysiology not shown), demonstrating heterologous electrical coupling between two distinct cell types. NGFC soma and dendrites are in green, NGFC axon in purple, non-NGFC soma and dendrites in blue, and non-NGFC axon in red. Reference lines represent the outer edge of the molecular layer and the borders of the granule cell layer (GCL).""","p1486, Fig6D",,"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,0,DG,Erased,MLo,Rat,Wistar,Wildtype,Both,3-5 Weeks,Horizontal,Whole Cell,Biocytin,,,,60 thick
800084,1008,,"""Figure 6. Specific examples of the diverse interneuronal connections of NGFCs. ... E: Camera lucida reconstruction (E1) and electrophysiology (E2-6) from an electrically and synaptically connected NGFC to non-NGFC pair (color scheme and scale bar as in D, non-NGFC axon not recovered).""","p1486, Fig6E1",,"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,0,DG,Erased,MLo,Rat,Wistar,Wildtype,Both,3-5 Weeks,Horizontal,Whole Cell,Biocytin,,,,60 thick
800086,1007,,"""Figure 2. Extent of dentate NGFCs within and beyond the molecular layer. ... C: Camera lucida reconstruction of the subiculum-projecting NGFC mapped in A. Soma and dendrites are in green, axon in purple. Scale bars = 100 [micro]m.""","p1482, Fig2C",,"Armstrong C, Szabadics J, Tam_s G, Soltesz I",Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward GABAergic modulators of entorhino-hippocampal interplay,Journal of Comparative Neurology,2011,21452204,0,DG,Erased,MLo,Rat,Wistar,Wildtype,Both,3-5 Weeks,Horizontal,Whole Cell,Biocytin,,,,60 thick
800088,1006,,"""Figure 4. OML cell reconstructions. A, This cell had an extensive axonal arbor most densely distributed in the OML and a fusiform soma at the D/H border from which the axon arose. The dendrites spanned from the OML of the upper blade to the OML of the beginning of the lower blade.""","p3996, Fig4A",,"Mott DD, Turner DA, Okazaki MM, Lewis DV",Interneurons of  the dentate-hilus border of the rat dentate gyrus: Morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,0,DG,Erased,Hilus,Rat,SD,Wildtype,Male,16-30 PD,Transverse,Whole Cell,Biocytin 0.4%,,,,
800090,1006,,"""Figure 4. OML cell reconstructions. ... B, The axonal arbor of this cell was more limited; nevertheless, it seemed clearly preferentially located in the OML. This cell also had dendrites reaching the OML and a less expansive dendritic tree with a vertically oriented fusiform soma.""","p3996, Fig4B",,"Mott DD, Turner DA, Okazaki MM, Lewis DV",Interneurons of  the dentate-hilus border of the rat dentate gyrus: Morphological and electrophysiological heterogeneity.,Journal of Neuroscience,1997,9151716,0,DG,Erased,Hilus,Rat,SD,Wildtype,Male,16-30 PD,Transverse,Whole Cell,Biocytin 0.4%,,,,
800092,1004,,"""Fig. 2 Slow inhibition among dendrite-targeting interneurons. A, Morphological reconstructions of a pair of synaptically connected dendrite inhibiting cells (DIs). Soma and dendrites of the presynaptic cell are depicted in green and the axon in red. Note that the axon distributes in the whole molecular layer, classifying this cell as total molecular layer cell (TML). The soma and dendrites of the postsynaptic interneuron are shown in black. The axon of this cell was not preserved during the recording. Arrowheads point to synaptic contacts which have been identi�ed using electron microscopy (data not shown).""","p142, Fig2A",,"Bartos M, Sauer JF, Vida I, Kulik A",Fast and Slow GABAergic Transmission in Hippocampal  Circuits,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,129,DG,Erased,Hilus,,,,,,,,,,,,
800094,1026,,"""FIG. 6. Paired morphology and physiology of a spiny hilar interneuron. A: morphology of the biocytin-filled neuron. Axonal projection (red) to the molecular layer is restricted mainly to the outer zone. Note abundant collaterals in the hilus and in area CA3c. [Arrow], origin of the axon from the cell body; thick black line indicates the pial surface. H, hilar region; GL, granule cell layer; ML, molecular layer. Scale bar: 100 [micro]m.""","p1527, Fig6A",,"Lubke J, Frotscher M, Spruston N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,0,DG,Erased,GL,Rat,Wistar,Wildtype,NS,13-35 PD,Transverse,Whole Cell,Biocytin 5mg/ml,,,,
800096,1026,,"""FIG. 8. Camera lucida reconstructions of 2 multipolar aspiny hilar interneurons. Arrows, origin of the axons; thick black lines indicate the pial surface. Note that the axonal projection (red) terminates mainly within the inner molecular layer closer to the granule cell layer (cell in A) and the outer molecular layer (cell in B). Both cells have a prominent axonal domain in the hilus and in CA3c. H, hilar region; GL, granule cell layer; ML, molecular layer. Scale bar: 100 [micro]m.""","p1529, Fig8B",,"Lubke J, Frotscher M, Spruston N ",Specialized electrophysiological  properties of anatomically  identified  neurons  in  the  hilar  region  of  the  rat  fascia  dentata.,J  Neurophysiol  ,1998,9497429,0,DG,Erased,GL,Rat,Wistar,Wildtype,NS,13-35 PD,Transverse,Whole Cell,Biocytin 5mg/ml,,,,
800098,2000,,"""Fig. I. Camera lucida drawing of a CA3 pyramidal cell intracellularly labeled with HRP. The axonal collateral plexus appears as thinner and varicose lines that extend from the cell body in both the stratum oriens (o) and stratum radiatum (r) and innervate proximal and distal regions of the CA3 field. One of the longer collaterals enters the superficial aspect of the stratum radiatum and runs to the proximal portion of CA1, where it descends to a position just above the pyramidal cell layer. Many of the axonal collaterals were cut at one of the slice surfaces. Axonal collateral endings marked with a triangle were cut at the temporal end of the slice, and those marked with a circle were cut at the septa1 surface. The principal axon was cut in stratum oriens shortly after its origin and is marked by a larger circle. The dendritic plexus of this neuron ramifies extensively both in stratum oriens and in stratum radiatum. Note that most of the dendritic side branches in stratum radiatum occur in the deeper three-quarters of the layer; we have termed this portion of the layer the associational zone. In the outer quarter of stratum radiatum (the projection zone), dendrites are unbranched, for the most part, and ascend directly to the stratum lacunosum-moleculare where they begin to branch anew. The projection zone of stratum radiatum contains the thick (Schaffer) collaterals of CA3 pyramidal cells that are en route to distal portions of field CA1. Marker equals 100 [micro]m. Arrows delimit the CA2 field of the hippocampus.""","p586, Fig1",,"Ishizuka, N, Weber, J, Amaral, DG",Organization of intrahippocampal projections originating from CA3 pyramidal cells in the rat,The Journal of Comparative Neurology,1990,2358523,0,CA3,Erased,SP,Rat,SD,Wildtype,Female,37-57 PD,Transverse,,HRP 2%,,,,
800100,2000,,"""Figure 5-7. CA3 dendritic morphology, thorny excrescences, and synaptic inputs and outputs. A. Computer-generated plot showing dendritic morphology of a CA3 pyramidal neuron. Thorny excrescences are apparent on the proximal apical dendrites in the stratum pyramidale (s.p.) and stratum lucidum (s.l.). The major excitatory synaptic inputs to each layer are indicated, as are the major synaptic outputs. Bar = 50 [micro].m. (Source: Adapted from Gonzales et al., 2001.)""","p154, Fig7A",,"Spruston N, McBain C",Chapter 5: Structural and functional properties of hippocampal neurons,The Hippocampus Book,2007,978-0-19-510027-3,133,CA3,Erased,SP,Rat,SD,Wildtype,Both,"38-61 PD, 118-330g",Transverse,,HRP 2%,,,,100 um below the surface
800102,2004,,"""Figure2. Firing properties of anatomically identified neurons in CA3 during SWRs. A, Camera lucida reconstructions of intracellularly labeled neurons from each group are presented (dendrites, black; axon, red). Scale bars,100 [micro]m.""","p11681, Fig2A",,"Hajos N, Karlocai MR, Nemeth B, Ulbert I, Monyer H, Szabo G, Erdelyi F, Freund TF, Gulyas AI",Input-output features of anatomically identified CA3 neurons during hippocampal sharp wave/ripple oscillation in vitro,Journal of Neuroscience,2013,23843535,0,CA3,Erased,SP,Mouse,"CD1/PV+, CB1/GAD65 (GFP)",Trasngenic,,17-29 PD,Horizontal,Whole Cell,Biocytin 3-5mg/ml,,,,
800104,2001,,"""Figure2. Morphology and firing properties of CA3 GCs. A, Whole-cell recorded, biocytin filled, and subsequently reconstructed CA3 GC. A1, Dendritic and axonal arborizations of a CA3 GC (DG, GC layer of the inner blade of the DG; s.rad., stratum radiatum; s.luc., stratum lucidum; s.pyr., stratum pyramidale). The black dot in the inset indicates the location of the soma of the recorded cell within the hippocampus. Note the presence of large (�giant�) terminals with filopodial extensions on the camera lucida reconstruction of the axonal arbor primarily restricted to the stratum lucidum; see also A2.""","p8299, Fig2A1",,"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",Granule cells in the CA3 area,The Journal of Neuroscience,2010,20554881,0,CA3,Erased,SR,Rat,Wistar,Wildtype,Both,22-37 PD,,Whole Cell,Biocytin,,,,60 thicknes
800106,2001,,"""Figure 6. Evidence for entorhinal cortical inputs to CA3 GCs. A, ... Note also that the dendrites of this particular CA3 GCs did not enter the DG.""","p8303, Fig6A",,"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",Granule cells in the CA3 area,The Journal of Neuroscience,2010,20554881,0,CA3,Erased,SR,Rat,Wistar,Wildtype,Both,22-37 PD,,Whole Cell,Biocytin,,,,60 thicknes
800108,2028,,"""Figure2. Firing properties of anatomically identified neurons in CA3 during SWRs. A, Camera lucida reconstructions of intracellularly labeled neurons from each group are presented (dendrites, black; axon, red). Scale bars,100 [micro]m.""","p11681, Fig2A",,"Hajos N, Karlocai MR, Nemeth B, Ulbert I, Monyer H, Szabo G, Erdelyi F, Freund TF, Gulyas AI",Input-output features of anatomically identified CA3 neurons during hippocampal sharp wave/ripple oscillation in vitro,Journal of Neuroscience,2013,23843535,0,CA3,Erased,SP,Mouse,"CD1/PV+, CB1/GAD65 (GFP)",Trasngenic,,17-29 PD,Horizontal,Whole Cell,Biocytin 3-5mg/ml,,,,
800110,2047,,"""Fig. 1. Electrophysiological and morphological properties of the three types of perisomatic inhibitory interneurons in the CA3 region of the mouse hippocampus. ... (B) Camera lucida reconstructions of representative biocytin-loaded neurons. Left, fast-spiking basket cell (FSBC); middle, axo-axonic cell (AAC); right, regular-spiking basket cell (RSBC). Cell bodies and dendrites of interneurons are shown in black and axon clouds in red.""","p2237, Fig1B",,"Szabo GG,�Holderith�N,�Gulyas AI,�Freund TF,�Hajos N",Distinct synaptic properties of perisomatic inhibitory cell types and their different modulation by cholinergic receptor activation in the CA3 region of the mouse hippocampus,European Journal of Neuroscience,2010,20529124,0,CA3,Erased,SO,Mouse,GAD65/PV GFP,Transgenic,,,Horizontal,Whole Cell,Boicytin 0.2%,,,,60 thicknes
800112,2043,,"""Figure2. Firing properties of anatomically identified neurons in CA3 during SWRs. A, Camera lucida reconstructions of intracellularly labeled neurons from each group are presented (dendrites, black; axon, red). Scale bars,100 [micro]m.""","p11681, Fig2A",,"Hajos N, Karlocai MR, Nemeth B, Ulbert I, Monyer H, Szabo G, Erdelyi F, Freund TF, Gulyas AI",Selection of Inhibitory Cells in the Hippocampal CA3,Journal of Neuroscience,2013,23843535,0,CA3,Erased,SP,Mouse,"CD1/PV+, CB1/GAD65 (GFP)",Trasngenic,,17-29 PD,Horizontal,Whole Cell,Biocytin 3-5mg/ml,,,,
800114,2044,,"""Figure 3. MFs are monosynaptically connected to RSBCs in CA3. A, Dendritic (gray) and axonal (black) arborizations, firing pattern, and immunoreactivities of a representative RSBC that received monosynaptic MF inputs.""","p4243, Fig3A",,"Szabadics J, Soltesz I",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,The Journal of Neuroscience,2009,19339618,0,CA3,Erased,SL,Rat,Wistar,Wildtype,Both,21-30 PD,,Whole Cell,Biocytin 8%,,,,
800116,2045,,"""FIGURE 4. Large diversity of axonal projections in each type of CB1-expressing interneuron. Camera lucida reconstructions of interneurons from each category (dendrites, black; axon, red; scale bars: 50 [micro]m).""","p1514, Fig4E",,"Szabo GG, Papp OI, Mate Z, Szabo G, Hajos N",Anatomically heterogeneous populations of CB1 cannabinoid receptor-expressing interneurons in the CA3 region of the hippocampus show homogeneous input-output characteristics,Hippocampus,2014,25044969,0,CA3,Erased,SP,Mouse,Trangenic,"CD1, CB57BL/6J, GAD65 EGFP",Both,15-23 PD,Horizontal,Whole Cell,,,,,40 Thicknes 
800118,2021,,"""Figure 6. Firing of IS cells is tightly coupled to gamma oscillation. A-C, Light microscopic reconstruction of two intracellularly filled putative IS cells. The cell bodies and the dendritic arbors for both neurons were found in the stratum oriens (A). The main axon originating from the somata gave rise to several collaterals predominantly arborizing in strata oriens and radiatum.""","p9133, Fig6A1",,"Hajos N, Palhalmi J, Mann EO, Nemeth B, Paulsen O, Freund TF",Spike timing of distinct types of GABAergic interneuron during hippocampal gamma oscillations in vitro,J Neurosci,2004,15483131,0,CA3,Erased,SO,Rat,Wistar,Wildtype,Male,14-20 PD,Horizontal,Whole Cell,Biocytin0.5%,,,,
800120,2021,,"""Figure 6. Firing of IS cells is tightly coupled to gamma oscillation. A-C, Light microscopic reconstruction of two intracellularly filled putative IS cells. The cell bodies and the dendritic arbors for both neurons were found in the stratum oriens (A). The main axon originating from the somata gave rise to several collaterals predominantly arborizing in strata oriens and radiatum.""","p9133, Fig6A2",,"Hajos N, Palhalmi J, Mann EO, Nemeth B, Paulsen O, Freund TF",Spike timing of distinct types of GABAergic interneuron during hippocampal gamma oscillations in vitro,J Neurosci,2004,15483131,0,CA3,Erased,SO,Rat,Wistar,Wildtype,Male,14-20 PD,Horizontal,Whole Cell,Biocytin0.5%,,,,
800122,2046,,"""Figure4. Monosynaptic output from CA3 GCs onto CA3 GABAergic cells. ... B, C, Dendritic structure, axonal arborization, and immunocytochemical characterization of a CCK-positive RSBC (B) and of an IvyC (C) in the CA3 area and the monosynaptic EPSCs evoked by pairs of action potentials in presynaptic CA3 GCs (gray traces). ... Scale bars, 100 [micro]m.""","p8301, Fig4C",,"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",Granule cells in the CA3 area,The Journal of Neuroscience,2010,20554881,0,CA3,Erased,SR,Rat,Wistar,Wildtype,Both,22-37 PD,,Whole Cell,Biocytin,,,,60 thicknes
800124,2046,,"""Figure 7. Synaptic inputs from local CA3 GABAergic cells to CA3 GCs. A, Dendritic structure, representative axonal arborization, and immunocytochemical characterization of a presynaptic IvyC. Note the NPY-positive, SOM-negative nature of the cell; note also the characteristically dense axonal arbor (s.ori., stratum oriens).""","p8304, Fig7A",,"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",Granule cells in the CA3 area,The Journal of Neuroscience,2010,20554881,0,CA3,Erased,SR,Rat,Wistar,Wildtype,Both,22-37 PD,,Whole Cell,Biocytin,,,,60 thicknes
800126,2005,,"""Fig. 1 Voltage dependence and reversal potential of Ih. ... b Example of a morphologically reconstructed L-M interneuron (dendritic arbor in red, axonal arbor in blue) with demarcations for the layers in CA3.""","p898, Fig1b",,"Anderson WD, Galv�n EJ, Mauna JC, Thiels E, Barrionuevo G",Properties and functional implications of I (h) in hippocampal area CA3 interneurons,Pflugers Arch,2011,21938402,0,CA3,Erased,SLM,Rat,SD,Wildtype,Both,18-28 PD,Transverse,Whole Cell,Biocytin 0.2%,,,,
800128,2013,,"""Fig. 1. A,B: Dendritic trees and axonal arborizations of two spiny neurons in stratum lucidum, intracellularly filled with biocytin. This figure demonstrates the position of the cell bodies in stratum lucidum, the extent of the dendritic arborization (black), and the extent of the axonal arborization (red). The small arrows point to the axon origin. Asterisks indicate hippocampal region CA3c. sp, stratum pyramidale; so, stratum oriens. Scale bars = 50 [micro]m.""","p430, Fig1B",,"Spruston N, Lubke J, Frotscher M ", Interneurons in the stratum lucidum of the rat hippocampus: an anatomical and electrophysiological characterization. ,J Comp Neurol ,1997,9300769,0,CA3,Erased,SR,Rat,Wistar,Wildtype,,13-28 PD,Transverse,Intracellular,Biocytin 5mg/ml,,,,
800130,2013,,"""Fig. 6. Dendritic trees and axonal arborizations of three aspiny neurons in stratum lucidum A�C: This figure demonstrates the position of the cell bodies in stratum lucidum, the extent of the dendritic arborizations (black), and the extent of the axonal arborizations (red). Note that the axon collaterals in A and C are limited to the stratum lucidum and stratum radiatum, whereas the cell in B has axon collaterals mainly in stratum pyramidale and stratum oriens. The arrows indicate the origin of the axon. The asterisks indicate CA3c. sp, stratum pyramidale; so, stratum oriens. Scale bars = 50 [micro]m.""","p436, Fig6B",,"Spruston N, Lubke J, Frotscher M ", Interneurons in the stratum lucidum of the rat hippocampus: an anatomical and electrophysiological characterization. ,J Comp Neurol ,1997,9300769,0,CA3,Erased,SR,Rat,Wistar,Wildtype,,13-28 PD,Transverse,Intracellular,Biocytin 5mg/ml,,,,
800132,2013,,"""Fig. 8. Paired anatomy and physiology of an aspiny cell in stratum lucidum. A: Camera lucida drawing of the neuron whose physiology is shown in B-D; asterisk indicates CA3c. Arrow points to the origin of the axon. sp, stratum pyramidale; so, stratum oriens.""","p438, Fig8A",,"Spruston N, Lubke J, Frotscher M ", Interneurons in the stratum lucidum of the rat hippocampus: an anatomical and electrophysiological characterization. ,J Comp Neurol ,1997,9300769,0,CA3,Erased,SR,Rat,Wistar,Wildtype,,13-28 PD,Transverse,Intracellular,Biocytin 5mg/ml,,,,
800134,2014,,"""Fig. 1. A,B: Dendritic trees and axonal arborizations of two spiny neurons in stratum lucidum, intracellularly filled with biocytin. This figure demonstrates the position of the cell bodies in stratum lucidum, the extent of the dendritic arborization (black), and the extent of the axonal arborization (red). The small arrows point to the axon origin. Asterisks indicate hippocampal region CA3c. sp, stratum pyramidale; so, stratum oriens. Scale bars = 50 [micro]m.""","p430, Fig1A",,"Spruston N, Lubke J, Frotscher M ", Interneurons in the stratum lucidum of the rat hippocampus: an anatomical and electrophysiological characterization. ,J Comp Neurol ,1997,9300769,0,CA3,Erased,SR,Rat,Wistar,Wildtype,,13-28 PD,Transverse,Intracellular,Biocytin 5mg/ml,,,,
800136,2014,,"""Fig. 6. Dendritic trees and axonal arborizations of three aspiny neurons in stratum lucidum A�C: This figure demonstrates the position of the cell bodies in stratum lucidum, the extent of the dendritic arborizations (black), and the extent of the axonal arborizations (red). Note that the axon collaterals in A and C are limited to the stratum lucidum and stratum radiatum, whereas the cell in B has axon collaterals mainly in stratum pyramidale and stratum oriens. The arrows indicate the origin of the axon. The asterisks indicate CA3c. sp, stratum pyramidale; so, stratum oriens. Scale bars = 50 [micro]m.""","p436, Fig6A",,"Spruston N, Lubke J, Frotscher M ", Interneurons in the stratum lucidum of the rat hippocampus: an anatomical and electrophysiological characterization. ,J Comp Neurol ,1997,9300769,0,CA3,Erased,SR,Rat,Wistar,Wildtype,,13-28 PD,Transverse,Intracellular,Biocytin 5mg/ml,,,,
800138,2014,,"""Fig. 6. Dendritic trees and axonal arborizations of three aspiny neurons in stratum lucidum A�C: This figure demonstrates the position of the cell bodies in stratum lucidum, the extent of the dendritic arborizations (black), and the extent of the axonal arborizations (red). Note that the axon collaterals in A and C are limited to the stratum lucidum and stratum radiatum, whereas the cell in B has axon collaterals mainly in stratum pyramidale and stratum oriens. The arrows indicate the origin of the axon. The asterisks indicate CA3c. sp, stratum pyramidale; so, stratum oriens. Scale bars = 50 [micro]m.""","p436, Fig6C",,"Spruston N, Lubke J, Frotscher M ", Interneurons in the stratum lucidum of the rat hippocampus: an anatomical and electrophysiological characterization. ,J Comp Neurol ,1997,9300769,0,CA3,Erased,SR,Rat,Wistar,Wildtype,,13-28 PD,Transverse,Intracellular,Biocytin 5mg/ml,,,,
800140,2019,,"""Figure5. MFs are monosynaptically connected to SLCs in CA3. A, Dendritic (gray) and axonal (black) arborizations, firing pattern, the spiny dendritic surface, and immunoreactivities of a representative SLC that received monosynaptic MF inputs. Note that the SLC dendrites aligned with the stratum lucidum. Asterisk marks the severed main (presumably long distance-projecting) axon of the SLC on the surface of the slice.""","p4245, Fig5A",,"Szabadics J, Soltesz I",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,The Journal of Neuroscience,2009,19339618,0,CA3,Erased,SL,Rat,Wistar,Wildtype,Both,21-30 PD,,Whole Cell,Biocytin 8%,,,,
800142,2019,,"""Figure5. MFs are monosynaptically connected to SLCs in CA3. ... D, An example SLC that projected from the CA3 to the DG. Note that the main axon exited the surface of the slice (asterisk).""","p4245, Fig5D",,"Szabadics J, Soltesz I",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,The Journal of Neuroscience,2009,19339618,0,CA3,Erased,SL,Rat,Wistar,Wildtype,Both,21-30 PD,,Whole Cell,Biocytin 8%,,,,
800144,2036,,"""Figure6. CA3-specific MFAs were not found to be monosynaptically innervated by MFs. Dendritic (gray) and axonal (black) arborizations, firingpattern, and immunoreactivities of a representative MFA (abbreviations same as in Fig. 3A). Note that the majority of the axons are located in the stratum lucidum and in the hilus, and also that the dendrites are not aligned with the mossy fiber pathway.""","p4246, Fig6",,"Szabadics J, Soltesz I",Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,The Journal of Neuroscience,2009,19339618,0,CA3,Erased,SL,Rat,Wistar,Wildtype,Both,21-30 PD,,Whole Cell,Biocytin 8%,,,,
800146,2036,,"""Figure 7. Synaptic inputs from local CA3 GABAergic cells to CA3 GCs. ... C, Dendritic structure, representative axonal arborization, and immunocytochemical characterization of a presynaptic MFA. Note the axons in the stratum lucidum and in the dentate hilus (closely overlapping with the termination zones of MFs, hence the name of this GABAergic CA3 cell type; s.gran., stratum granulosum of the DG).""","p8304, Fig7C",,"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",Granule cells in the CA3 area,The Journal of Neuroscience,2010,20554881,0,CA3,Erased,SR,Rat,Wistar,Wildtype,Both,22-37 PD,,Whole Cell,Biocytin,,,,60 thicknes
800148,2035,,"""Fig. 1. An MFA interneuron in the stratum lucidum of the hippocampal CA3 region. (A) Camera lucida reconstruction of the biocytin-filled interneuron. The soma and dendrites are drawn in black, whereas the axon is in red; hippocampal layers are depicted schematically. str. ori., stratum oriens; str. pyr., stratum pyramidale; str. luc., stratum lucidum; str. rad., stratum radiatum; str. l.-m., stratum lacunosum-moleculare; m.l., molecular layer of the dentate gyrus; g.c.l., granule cell layer of the dentate gyrus; and hil., hilar region.""","p1276, Fig1A",,"Vida I, Frotscher M",A hippocampal interneuron associated with the mossy fiber system,PNAS,2000,10655521,0,CA3,Erased,SL,Rat,Wistar,Wildtype,,16-19 PD,,Whole Cell,Biocytin 5mg/ml,,,,
800150,2009,,"""Figure2. Firing properties of anatomically identified neurons in CA3 during SWRs. A, Camera lucida reconstructions of intracellularly labeled neurons from each group are presented (dendrites, black; axon, red). Scale bars,100 [micro]m.""","p11681, Fig2A",,"Hajos N, Karlocai MR, Nemeth B, Ulbert I, Monyer H, Szabo G, Erdelyi F, Freund TF, Gulyas AI",Input-output features of anatomically identified CA3 neurons during hippocampal sharp wave/ripple oscillation in vitro,Journal of Neuroscience,2013,23843535,0,CA3,Erased,SP,Mouse,"CD1/PV+, CB1/GAD65 (GFP)",Trasngenic,,17-29 PD,Horizontal,Whole Cell,Biocytin 3-5mg/ml,,,,
800152,2049,,"""FIGURE 11. Reconstructions of O-LM cells intracellularly recorded and filled in vivo in the CA1 region (A) and in vitro in the CA3 region (B). The axon of this cell type arborizes primarily in stratum lacunosum-moleculare in their respective regions and also have a minor projection to stratum oriens. However, the dendritic trees show a different laminar specificity. Dendrites of the CA1 O-LM cell are horizontally oriented and are restricted to stratum oriens, whereas the dendrites of the O-LM cell in CA3 span all layers except stratum lacunosum-moleculare. The laminar distribution of the dendrites in both subfields overlaps that of recurrent collaterals of local pyramidal cells. The nonvaricose main axon trunks are not drawn for the CA1 cell. Scale bars = 100 [micro]m in A, 50 [micro]m in B.""","p367, Fig11B",,"Freund TF, Buzsaki G",Interneurons of the hippocampus,Hippocampus,1996,8915675,0,CA3,Erased,SO/SP,Guinea Pig,,Wildtype,,,,Intracellular,Biocytin 4%,,,,80 Thicknes
