Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Neuron Type,Variable,Name of file containing figure,Reference_ID
Ero,,,,30546301,2043,CA3 Basket SP,x30,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901612
Ero,,,,30546301,2044,CA3 Basket CCK+ SP,x31,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901214
Ero,,,,30546301,2044,CA3 Basket CCK+ SP,x31,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901614
Ero,,,,30546301,2045,CA3 Bistratified SO,x32,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901226
Ero,,,,30546301,2045,CA3 Bistratified SO,x32,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901616
Ero,,,,30546301,2045,CA3 Bistratified SP,x33,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901216
Ero,,,,30546301,2045,CA3 Bistratified SP,x33,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901618
Ero,,,,30546301,2046,CA3 Ivy SL,x39,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901188
Ero,,,,30546301,2046,CA3 Ivy SL,x39,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901630
Ero,,,,30546301,2047,CA3 Horizontal Axo-axonic SO,x29,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901224
Ero,,,,30546301,2047,CA3 Horizontal Axo-axonic SO,x29,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901610
Ero,,,,30546301,2049,CA3 QuadD-LM SO,x51,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901236
Ero,,,,30546301,2049,CA3 QuadD-LM SO,x51,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901654
Ero,,,,30546301,2049,CA3 QuadD-LM SP,x52,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901222
Ero,,,,30546301,2049,CA3 QuadD-LM SP,x52,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901656
Ero,,,,30546301,2049,CA3 QuadD-LM SL,x53,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901202
Ero,,,,30546301,2049,CA3 QuadD-LM SL,x53,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901658
Ero,,,,30546301,2049,CA3 QuadD-LM SR,x54,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901178
Ero,,,,30546301,2049,CA3 QuadD-LM SR,x54,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901660
Ero,,,,30546301,2402,CA3 Interneuron Specific Quad SP,x36,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901218
Ero,,,,30546301,2402,CA3 Interneuron Specific Quad SP,x36,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901624
Ero,,,,30546301,3000,CA2 Pyramidal SP,x59,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901978
Ero,,,,30546301,3003,CA2 Bistratified SP,x62,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901984
Ero,,,,30546301,3006,CA2 Basket SP,x60,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901980
Ero,,,,30546301,3007,CA2 Wide-Arbor Basket SP,x61,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901982
Ero,,,,30546301,3008,CA2 SP-SR SP,x63,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901986
Ero,,,,30546301,4000,SP Pyramidal,x69,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903450
Ero,,,,30546301,4000,SR Pyramidal,x70,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903480
Ero,,,,30546301,4003,SR Quadrilaminar,x119,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903508
Ero,,,,30546301,4003,SLM Quadrilaminar,x120,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903408
Ero,,,,30546301,4004,SR LMR Projecting,x104,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903500
Ero,,,,30546301,4004,SLM LMR Projecting,x105,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903400
Ero,,,,30546301,4005,SR LMR,x102,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903498
Ero,,,,30546301,4005,SLM LMR,x103,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903398
Ero,,,,30546301,4006,SR Perforant-Path Associated,x116,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903504
Ero,,,,30546301,4006,SLM Perforant-Path Associated,x117,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903406
Ero,,,,30546301,4011,SLM Neurogliaform Projecting,x107,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903404
Ero,,,,30546301,4012,SLM Neurogliaform,x106,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903402
Ero,,,,30546301,4013,SP Radial Trilaminar,x131,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903478
Ero,,,,30546301,4013,SR Radial Trilaminar,x132,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903520
Ero,,,,30546301,4015,SR Schaffer Collateral-Associated,x124,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903514
Ero,,,,30546301,4015,SLM Schaffer Collateral-Associated,x125,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903412
Ero,,,,30546301,4020,SP IS O-Targeting,x94,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903468
Ero,,,,30546301,4020,SR IS O-Targeting,x95,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903492
Ero,,,,30546301,4021,SR IS LM-R,x89,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903488
Ero,,,,30546301,4021,SLM IS LM-R,x90,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903396
Ero,,,,30546301,4022,SP IS LMO-O,x87,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903464
Ero,,,,30546301,4022,SR IS LMO-O,x88,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903486
Ero,,,,30546301,4023,SO Back-Projection,x77,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903418
Ero,,,,30546301,4028,SR Radiatum,x121,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903510
Ero,,,,30546301,4028,SLM Radiatum,x122,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903410
Ero,,,,30546301,4031,SO IS O-R,x93,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903428
Ero,,,,30546301,4033,SO SO-SO,x128,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903446
Ero,,,,30546301,4035,SO Trilaminar,x130,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903448
Ero,,,,30546301,4036,SO Axo-axonic,x74,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903414
Ero,,,,30546301,4036,SP Axo-axonic,x75,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903454
Ero,,,,30546301,4038,SO Horizontal Axo-axonic,x76,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903416
Ero,,,,30546301,4039,SO Horizontal Basket,x83,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903424
Ero,,,,30546301,4039,SP Horizontal Basket,x84,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903460
Ero,,,,30546301,4041,SR Hippocampo-subicular Projecting ENK+,x129,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903518
Ero,,,,30546301,4054,SP Radiatum Giant,x72,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903452
Ero,,,,30546301,4054,SR Radiatum Giant,x73,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903482
Ero,,,,30546301,4055,SO Oriens/Alveus,x111,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903438
Ero,,,,30546301,4056,SP IS LMR-R,x91,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903466
Ero,,,,30546301,4056,SR IS LMR-R,x92,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903490
Ero,,,,30546301,4061,SR R-Receiving Apical-Targeting,x123,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903512
Ero,,,,30546301,4066,SP OR-LM,x114,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903476
Ero,,,,30546301,4066,SR OR-LM,x115,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903502
Ero,,,,30546301,4068,SO Oriens-Bistratified Projecting,x113,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903442
Ero,,,,30546301,4069,SO O-LM,x108,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903432
Ero,,,,30546301,4076,SR Perforant-Path Associated QuadD,x118,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903506
Ero,,,,30546301,4078,SO Basket,x78,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903420
Ero,,,,30546301,4078,SP Basket,x79,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903456
Ero,,,,30546301,4079,SO Basket CCK+,x80,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903422
Ero,,,,30546301,4079,SP Basket CCK+,x81,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903458
Ero,,,,30546301,4079,SR Basket CCK+,x82,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903484
Ero,,,,30546301,4080,SO Bistratified,x85,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903426
Ero,,,,30546301,4080,SP Bistratified,x86,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903462
Ero,,,,30546301,4081,SP Ivy,x100,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903474
Ero,,,,30546301,4081,SR Ivy,x101,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903496
Ero,,,,30546301,4081,SO Ivy,x99,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903430
Ero,,,,30546301,4083,SO Oriens-Bistratified,x112,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903440
Ero,,,,30546301,4084,SO Schaffer Collateral-Receiving R-Targeting,x126,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903444
Ero,,,,30546301,4084,SR Schaffer Collateral-Receiving R-Targeting,x127,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903516
Ero,,,,30546301,4087,SO O-LMR,x110,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903436
Ero,,,,30546301,4089,SO Recurrent O-LM,x109,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903434
Ero,,,,30546301,4091,SP IS R-O,x96,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903470
Ero,,,,30546301,4093,SP IS RO-O,x97,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903472
Ero,,,,30546301,4093,SR IS RO-O,x98,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903494
Ero,,,,30546301,4094,SLM Cajal-Retzius,x71,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,903394
Ero,,,,30546301,5001,Sub-EC SP,x133,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905310
Ero,,,,30546301,5005,Sub-CA1 SP,x134,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905312
Ero,,,,30546301,2XXX,CA3 SLM E,x68,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901168
Ero,,,,30546301,3XXX,ca2 slm excitatory ,x64,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901988
Ero,,,,30546301,3XXX,ca2 slm inhibitory ,x65,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901990
Ero,,,,30546301,3XXX,ca2 so inhibitory ,x66,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901992
Ero,,,,30546301,3XXX,ca2 sr inhibitory ,x67,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901994
Ero,,,,30546301,5XXX,sp-ins,x135,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905314
Ero,,,,30546301,5XXX,sm-ins,x136,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905316
Ero,,,,30546301,5XXX,pl-ins,x137,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905318
Ero,,,,30546301,#N/A,#N/A,0,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,901208
"Ero et al., 2018",,,,30546301,1000,SG Granule,x1,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900286
"Ero et al., 2018",,,,30546301,1001,SMi Semilunar Granule,x3,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900560
"Ero et al., 2018",,,,30546301,1002,H Mossy,x4,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900548
"Ero et al., 2018",,,,30546301,1004,SG Total Molecular Layer,x22,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900446
"Ero et al., 2018",,,,30546301,1005,SG MOLAX,x17,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900442
"Ero et al., 2018",,,,30546301,1006,SG Outer Molecular Layer,x21,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900444
"Ero et al., 2018",,,,30546301,1007,SMo DG Neurogliaform,x20,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900570
"Ero et al., 2018",,,,30546301,1008,SMi MOPP,x18,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900566
"Ero et al., 2018",,,,30546301,1008,SMo MOPP,x19,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900568
"Ero et al., 2018",,,,30546301,1009,H HICAP,x11,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900554
"Ero et al., 2018",,,,30546301,1009,SG HICAP,x12,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900438
"Ero et al., 2018",,,,30546301,1010,SG Axo-Axonic,x7,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900432
"Ero et al., 2018",,,,30546301,1013,H HIPP,x13,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900556
"Ero et al., 2018",,,,30546301,1013,SG HIPP,x14,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900440
"Ero et al., 2018",,,,30546301,1026,H HIPROM,x15,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900558
"Ero et al., 2018",,,,30546301,1027,H AIPRIM,x6,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900552
"Ero et al., 2018",,,,30546301,1035,SG DG Basket,x8,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900434
"Ero et al., 2018",,,,30546301,1036,SMi DG Basket CCK+,x10,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900562
"Ero et al., 2018",,,,30546301,1036,SG DG Basket CCK+,x9,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900436
"Ero et al., 2018",,,,30546301,1040,SMi MOCAP,x16,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900564
"Ero et al., 2018",,,,30546301,1041,H Hilar Ectopic Granule,x2,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900546
"Ero et al., 2018",,,,30546301,1043,H Mossy MOLDEN,x5,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,900550
Ero mice Exc,,,,30546301,6002,MEC-L5 MEC LV Pyramidal,x184,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905878
Ero mice Exc,,,,30546301,6003,MEC-L2 MEC LII Stellate,x149,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905840
Ero mice Exc,,,,30546301,6005,MEC-L2 LI-II Pyramidal-Fan,x142,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905834
Ero mice Exc,,,,30546301,6005,MEC-L1 LI-II Pyramidal-Fan,x143,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905830
Ero mice Exc,,,,30546301,6005,LEC-L2 LI-II Pyramidal-Fan,x144,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905792
Ero mice Exc,,,,30546301,6005,LEC-L1 LI-II Pyramidal-Fan,x145,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905788
Ero mice Exc,,,,30546301,6006,MEC-L3 MEC LIII Complex Pyramidal,x159,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905852
Ero mice Exc,,,,30546301,6007,LEC-L3 LEC LIII Complex Pyramidal,x158,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905802
Ero mice Exc,,,,30546301,6008,MEC-L3 MEC LII-III Pyramidal-Multiform,x146,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905844
Ero mice Exc,,,,30546301,6008,MEC-L2 MEC LII-III Pyramidal-Multiform,x147,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905836
Ero mice Exc,,,,30546301,6017,MEC-L3 LIII Pyramidal,x156,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905850
Ero mice Exc,,,,30546301,6017,LEC-L3 LIII Pyramidal,x157,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905800
Ero mice Exc,,,,30546301,6018,MEC-L3 LIII Stellate,x163,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905858
Ero mice Exc,,,,30546301,6018,LEC-L3 LIII Stellate,x164,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905806
Ero mice Exc,,,,30546301,6019,MEC-L2 MEC LII Oblique Pyramidal,x148,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905838
Ero mice Exc,,,,30546301,6021,MEC-L5 LV Deep Pyramidal,x182,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905876
Ero mice Exc,,,,30546301,6021,LEC-L5 LV Deep Pyramidal,x183,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905822
Ero mice Exc,,,,30546301,6023,MEC-L5 MEC LV Superficial Pyramidal,x185,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905880
Ero mice Exc,,,,30546301,6024,MEC-L3 MEC LIII Bipolar Complex Pyramidal,x160,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905854
Ero mice Exc,,,,30546301,6025,LEC-L3 LEC LIII Multipolar Principal,x154,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905798
Ero mice Exc,,,,30546301,6031,MEC-L3 MEC LIII Multipolar Principal,x155,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905848
Ero mice Exc,,,,30546301,6033,MEC-L5 MEC LV Multipolar-Pyramidal,x181,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905874
Ero mice Exc,,,,30546301,6052,MEC-L6 MEC LV-VI Pyramidal-Polymorphic,x186,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905886
Ero mice Exc,,,,30546301,6052,MEC-L5 MEC LV-VI Pyramidal-Polymorphic,x187,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905882
Ero mice Exc,,,,30546301,6078,LEC-L6 LEC LVI Multipolar-Pyramidal,x188,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905826
Ero mice Exc,,,,30546301,6082,MEC-L3 LII-III Pyramidal-Tripolar,x150,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905846
Ero mice Exc,,,,30546301,6082,MEC-L2 LII-III Pyramidal-Tripolar,x151,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905842
Ero mice Exc,,,,30546301,6082,LEC-L3 LII-III Pyramidal-Tripolar,x152,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905796
Ero mice Exc,,,,30546301,6082,LEC-L2 LII-III Pyramidal-Tripolar,x153,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905794
Ero mice Exc,,,,30546301,6085,MEC-L5 LIV-V Pyramidal-Horizontal,x171,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905870
Ero mice Exc,,,,30546301,6085,MEC-L4 LIV-V Pyramidal-Horizontal,x172,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905864
Ero mice Exc,,,,30546301,6085,LEC-L5 LIV-V Pyramidal-Horizontal,x173,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905818
Ero mice Exc,,,,30546301,6085,LEC-L4 LIV-V Pyramidal-Horizontal,x174,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905812
Ero mice Exc,,,,30546301,6086,MEC-L6 LIV-VI Deep Multipolar Principal,x175,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905884
Ero mice Exc,,,,30546301,6086,MEC-L5 LIV-VI Deep Multipolar Principal,x176,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905872
Ero mice Exc,,,,30546301,6086,MEC-L4 LIV-VI Deep Multipolar Principal,x177,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905866
Ero mice Exc,,,,30546301,6086,LEC-L6 LIV-VI Deep Multipolar Principal,x178,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905824
Ero mice Exc,,,,30546301,6086,LEC-L5 LIV-VI Deep Multipolar Principal,x179,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905820
Ero mice Exc,,,,30546301,6086,LEC-L4 LIV-VI Deep Multipolar Principal,x180,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905814
Ero mice Exc,,,,30546301,6092,MEC-L3 LIII Pyramidal-Stellate,x161,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905856
Ero mice Exc,,,,30546301,6092,LEC-L3 LIII Pyramidal-Stellate,x162,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905804
Ero mice Exc,,,,30546301,6094,MEC-L2 LI-II Multipolar-Pyramidal,x138,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905832
Ero mice Exc,,,,30546301,6094,MEC-L1 LI-II Multipolar-Pyramidal,x139,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905828
Ero mice Exc,,,,30546301,6094,LEC-L2 LI-II Multipolar-Pyramidal,x140,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905790
Ero mice Exc,,,,30546301,6094,LEC-L1 LI-II Multipolar-Pyramidal,x141,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905786
Ero mice Exc,,,,30546301,6095,MEC-L5 LIII-V Bipolar Pyramidal,x165,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905868
Ero mice Exc,,,,30546301,6095,MEC-L4 LIII-V Bipolar Pyramidal,x166,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905862
Ero mice Exc,,,,30546301,6095,MEC-L3 LIII-V Bipolar Pyramidal,x167,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905860
Ero mice Exc,,,,30546301,6095,LEC-L5 LIII-V Bipolar Pyramidal,x168,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905816
Ero mice Exc,,,,30546301,6095,LEC-L4 LIII-V Bipolar Pyramidal,x169,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905810
Ero mice Exc,,,,30546301,6095,LEC-L3 LIII-V Bipolar Pyramidal,x170,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905808
Ero mice ins,,,,30546301,6038,MEC-L3 MEC LIII Superficial Trilayered Interneuron,x199,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905908
Ero mice ins,,,,30546301,6040,MEC-L3 MEC LIII Superficial Multipolar Interneuron,x196,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905904
Ero mice ins,,,,30546301,6047,MEC-L3 MEC LIII Multipolar Interneuron,x195,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905902
Ero mice ins,,,,30546301,6048,MEC-L2 LII Axo-axonic,x189,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905896
Ero mice ins,,,,30546301,6048,LEC-L2 LII Axo-axonic,x190,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905888
Ero mice ins,,,,30546301,6049,LEC-L3 LEC LIII Multipolar Interneuron,x194,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905892
Ero mice ins,,,,30546301,6053,MEC-L2 LII Basket-Multipolar Interneuron,x192,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905900
Ero mice ins,,,,30546301,6053,LEC-L2 LII Basket-Multipolar Interneuron,x193,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905890
Ero mice ins,,,,30546301,6087,MEC-L3 LIII Pyramidal-Looking Interneuron,x197,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905906
Ero mice ins,,,,30546301,6087,LEC-L3 LIII Pyramidal-Looking Interneuron,x198,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905894
Ero mice ins,,,,30546301,6096,MEC-L2 MEC LII Basket,x191,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905898
Ero mice ins,,,,30546301,6XXX,MEC-L6 LIV-VI Interneurons,x200,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905914
Ero mice ins,,,,30546301,6XXX,MEC-L5 LIV-VI Interneurons,x201,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905916
Ero mice ins,,,,30546301,6XXX,MEC-L4 LIV-VI Interneurons,x202,Ero-Markram-2018-84-v12-FrontNeuroinform-TabS1.jpeg,905918
