Hippocampome Type,Unique ID,Supertype ID,Hippocampome Supertype,Cell Counts,Theta Phase,Theta Error,Theta Error Type,Theta N,MVL,MVL Error,MVL Error Type,MVL N,MVL category,Peak correction,LFP site,Shift to CA1:SP,Phase-CA1 (peak 0 deg),Phase-CA1 category,Gamma Phase,Gamma Error,Gamma Error Type,Gamma N,Gamma Peak,Epsilon Phase,Epsilon Error,Epsilon Error Type,Epsilon N,Epsilon Peak,Ripple Phase,Ripple Error,Ripple Error Type,Ripple N,Ripple Peak,SWR Ratio,SWR Ratio Error,SWR Ratio Error Type,SWR Ratio N,SWR Ratio category,Run/Stop Ratio,DS Ratio,DS Ratio Error,DS Ratio Error Type,DS Ratio N,Firing Rate,Firing Rate Error,Firing Rate Error Type,Firing Rate N,Firing Rate Rank,Firing Rate (non-baseline),Firing Rate Error (non-baseline),Firing Rate Error Type (non-baseline),Firing Rate N (non-baseline),Firing Rate Rank (non-baseline),Vrest (mV),Vrest Error (mV),Vrest Error Type,Vrest N,Tau (ms),Tau Error (ms),Tau Error Type,Tau N,APthresh (mV),APthresh Error (mV),APthresh Error Type,APthresh N,fAHP (mV),fAHP Error (mV),fAHP Error Type,fAHP N,APpeak-trough (ms),APpeak-trough Error (ms),APpeak-trough Error Type,APpeak-trough N,Authors,Title,Journal/Book,Year,PMID_or_ISBN,pmid_isbn_page,Figure/Table,Recording assignments,Recording_method,Species,Strain,Gender,Age,Age_type,Behavioral status,Data Mining Method,Comments,Metadata code,Metadata rank,Reference ID,
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (B53b FR non-theta)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028111131320106""",2028111131320106
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,1,2,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 B53b (FR theta@),1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028114131320106""",2028114131320106
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,1,3,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 B10a (FR SWR@),1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028116131320100""",2028116131320100
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (B10a FR peri-SWR)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028111131320100""",2028111131320100
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,0,,,1,decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (B10a SWR ratio)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028108131320100""",2028108131320100
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,1,3,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 B45a (FR SWR@),1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028116131320101""",2028116131320101
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (B45a FR peri-SWR)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028111131320101""",2028111131320101
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,0,,,1,decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (B45a SWR ratio)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028108131320101""",2028108131320101
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,1,3,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 J54a (FR SWR@),1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028116131320102""",2028116131320102
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (J54a FR peri-SWR)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028111131320102""",2028111131320102
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,0,,,1,decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (J54a SWR ratio)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028108131320102""",2028108131320102
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,1,3,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 J67d (FR SWR@),1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028116131320103""",2028116131320103
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (J67d FR peri-SWR)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028111131320103""",2028111131320103
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,0,,,1,decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (J67d SWR ratio)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028108131320103""",2028108131320103
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,3,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 B62a (FR SWR@),1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028116131320104""",2028116131320104
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (B62a FR peri-SWR)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028111131320104""",2028111131320104
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,0,,,1,decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (B62a SWR ratio)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028108131320104""",2028108131320104
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,1,3,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 B53b (FR SWR@),1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028116131320105""",2028116131320105
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (B53b FR peri-SWR)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028111131320105""",2028111131320105
CA3 (i)22232 Axo-Axonic,2028,S110902,Perisomatic-targeting:Axo-axonic:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,0,,,1,decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viney TJ, Lasztoczi B,2, Katona L, Crump MG, Tukker JJ, Klausberger T, Somogyi P",Network state-dependent inhibition of identified hippocampal CA3 axo-axonic cells in vivo,Nature Neuroscience,2013,24141313,0,Tab 1 (B53b SWR ratio)@,1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,unknown sex,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,"no figure, interpretation is solely author-based",rJAU3,27,"""2028108131320105""",2028108131320105
CA3 (i)22232 Basket,2043,S110702,Perisomatic-targeting:Basket:CA3,,2,11.12361481,SD,2,0.981627183,0.002352927,SD,2,directed,-180,CA1:SP,0,182,trough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"John J Tukker, Bálint Lasztóczi, Linda Katona, J David B Roberts, Eleftheria K Pissadaki, Yannis Dalezios, László Márton, Limei Zhang, Thomas Klausberger, Peter Somogyi",Distinct Dendritic Arborization and in Vivo Firing Patterns of Parvalbumin-Expressing Basket Cells in the Hippocampal Area CA3,Journal of Neuroscience,2013,23595740,0,"text quote, p6814 (theta mean)@",1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,PlotDigitizer,identified from Fig 2A,rJAM3,25,"""2043101574030000""",2043101574030000
CA3 (i)22232 Basket,2043,S110702,Perisomatic-targeting:Basket:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,9,,6,5,,,,,,,,,,,,,,,,,,,,,"John J Tukker, Bálint Lasztóczi, Linda Katona, J David B Roberts, Eleftheria K Pissadaki, Yannis Dalezios, László Márton, Limei Zhang, Thomas Klausberger, Peter Somogyi",Distinct Dendritic Arborization and in Vivo Firing Patterns of Parvalbumin-Expressing Basket Cells in the Hippocampal Area CA3,Journal of Neuroscience,2013,23595740,0,"text quote, p6816 (FR gamma@)",1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,PlotDigitizer,identified from Fig 2A,rJAM3,25,"""2043117574030000""",2043117574030000
CA3 (i)22232 Basket,2043,S110702,Perisomatic-targeting:Basket:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,"John J Tukker, Bálint Lasztóczi, Linda Katona, J David B Roberts, Eleftheria K Pissadaki, Yannis Dalezios, László Márton, Limei Zhang, Thomas Klausberger, Peter Somogyi",Distinct Dendritic Arborization and in Vivo Firing Patterns of Parvalbumin-Expressing Basket Cells in the Hippocampal Area CA3,Journal of Neuroscience,2013,23595740,0,"text quote, p6816 (FR non-gamma)@",1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,PlotDigitizer,identified from Fig 2A,rJAM3,25,"""2043111574030000""",2043111574030000
CA3 (i)22232 Basket,2043,S110702,Perisomatic-targeting:Basket:CA3,,,,,,,,,,,,CA1:SP,0,,,4.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"John J Tukker, Bálint Lasztóczi, Linda Katona, J David B Roberts, Eleftheria K Pissadaki, Yannis Dalezios, László Márton, Limei Zhang, Thomas Klausberger, Peter Somogyi",Distinct Dendritic Arborization and in Vivo Firing Patterns of Parvalbumin-Expressing Basket Cells in the Hippocampal Area CA3,Journal of Neuroscience,2013,23595740,0,"text quote, p6816 (gamma mean)@",1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,PlotDigitizer,identified from Fig 2A,rJAM3,25,"""2043105574030000""",2043105574030000
CA3 (i)22232 Basket,2043,S110702,Perisomatic-targeting:Basket:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,3.315789474,,,1,increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"John J Tukker, Bálint Lasztóczi, Linda Katona, J David B Roberts, Eleftheria K Pissadaki, Yannis Dalezios, László Márton, Limei Zhang, Thomas Klausberger, Peter Somogyi",Distinct Dendritic Arborization and in Vivo Firing Patterns of Parvalbumin-Expressing Basket Cells in the Hippocampal Area CA3,Journal of Neuroscience,2013,23595740,0,"text quote, p6818 (SWR ratio)@",1 juxtacellularly recorded cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from text,identified from Fig 2A,rJAM3,25,"""2043108574030000""",2043108574030000
CA3 (i)22232 Basket CCK+,2044,S110802,Perisomatic-targeting:Basket CCK+:CA3,,165,,,1,0.56,,,,directed,180,CA1:SP,0,-15,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bálint Lasztóczi, John J Tukker, Peter Somogyi, Thomas Klausberger",Terminal Field and Firing Selectivity of Cholecystokinin-Expressing Interneurons in the Hippocampal CA3 Area,Journal of Neuroscience,2011,22159120,0,Tab 2 (K111c theta)@,juxtacellular glass microelectrode recording of single cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,identified from Fig 1,rJAM3,25,"""2044101912020201""",2044101912020201
CA3 (i)22232 Basket CCK+,2044,S110802,Perisomatic-targeting:Basket CCK+:CA3,,133,,,1,0.32,,,,directed,180,CA1:SP,0,-47,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bálint Lasztóczi, John J Tukker, Peter Somogyi, Thomas Klausberger",Terminal Field and Firing Selectivity of Cholecystokinin-Expressing Interneurons in the Hippocampal CA3 Area,Journal of Neuroscience,2011,22159120,0,Tab 2 (B68c theta)@,juxtacellular glass microelectrode recording of single cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,identified from Fig 1,rJAM3,25,"""2044101912020202""",2044101912020202
CA3 (i)22232 Basket CCK+,2044,S110802,Perisomatic-targeting:Basket CCK+:CA3,,,,,,,,,,,180,CA1:SP,0,-180,trough,,,,,,,,,,,,,,,,0.658490566,,,1,decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bálint Lasztóczi, John J Tukker, Peter Somogyi, Thomas Klausberger",Terminal Field and Firing Selectivity of Cholecystokinin-Expressing Interneurons in the Hippocampal CA3 Area,Journal of Neuroscience,2011,22159120,0,Tab 2 (B68c SWR ratio)@,juxtacellular glass microelectrode recording of single cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,identified from Fig 1,rJAM3,25,"""2044108912020202""",2044108912020202
CA3 (i)22232 Basket CCK+,2044,S110802,Perisomatic-targeting:Basket CCK+:CA3,,147,,,1,0.32,,,,directed,180,CA1:SP,0,-33,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bálint Lasztóczi, John J Tukker, Peter Somogyi, Thomas Klausberger",Terminal Field and Firing Selectivity of Cholecystokinin-Expressing Interneurons in the Hippocampal CA3 Area,Journal of Neuroscience,2011,22159120,0,Tab 2 (J69b theta)@,juxtacellular glass microelectrode recording of single cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,identified from Fig 2A,rJAM3,25,"""2044101912020203""",2044101912020203
CA3 (i)22232 Basket CCK+,2044,S110802,Perisomatic-targeting:Basket CCK+:CA3,,,,,,,,,,,180,CA1:SP,0,-180,trough,,,,,,,,,,,,,,,,1.073732719,,,1,increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bálint Lasztóczi, John J Tukker, Peter Somogyi, Thomas Klausberger",Terminal Field and Firing Selectivity of Cholecystokinin-Expressing Interneurons in the Hippocampal CA3 Area,Journal of Neuroscience,2011,22159120,0,Tab 2 (J69b SWR ratio)@,juxtacellular glass microelectrode recording of single cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,identified from Fig 2A,rJAM3,25,"""2044108912020203""",2044108912020203
CA3 (i)22232 Basket CCK+,2044,S110802,Perisomatic-targeting:Basket CCK+:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,,,1,3,,,,,,,,,,,,,,,,,,,,,"Bálint Lasztóczi, John J Tukker, Peter Somogyi, Thomas Klausberger",Terminal Field and Firing Selectivity of Cholecystokinin-Expressing Interneurons in the Hippocampal CA3 Area,Journal of Neuroscience,2011,22159120,0,Tab 2 B68c (FR SWR@),juxtacellular glass microelectrode recording of single cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,identified from Fig 2A,rJAM3,25,"""2044116912020202""",2044116912020202
CA3 (i)22232 Basket CCK+,2044,S110802,Perisomatic-targeting:Basket CCK+:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Bálint Lasztóczi, John J Tukker, Peter Somogyi, Thomas Klausberger",Terminal Field and Firing Selectivity of Cholecystokinin-Expressing Interneurons in the Hippocampal CA3 Area,Journal of Neuroscience,2011,22159120,0,Tab 2 (B68c FR outside SWR)@,juxtacellular glass microelectrode recording of single cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,identified from Fig 2A,rJAM3,25,"""2044111912020202""",2044111912020202
CA3 (i)22232 Basket CCK+,2044,S110802,Perisomatic-targeting:Basket CCK+:CA3,,,,,,,,,,,,CA1:SP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,,,1,3,,,,,,,,,,,,,,,,,,,,,"Bálint Lasztóczi, John J Tukker, Peter Somogyi, Thomas Klausberger",Terminal Field and Firing Selectivity of Cholecystokinin-Expressing Interneurons in the Hippocampal CA3 Area,Journal of Neuroscience,2011,22159120,0,Tab 2 J69b (FR SWR@),juxtacellular glass microelectrode recording of single cell assigned to 1 Hippocampome type,juxtacellular,rats,Sprague-Dawley,male,250-350 g,adult,urethane plus supplemental doses of ketamine and xylazine,read from table,identified from Fig 2A,rJAM3,25,"""2044116912020203""",2044116912020203
