Original Spreadsheet Row,Subregion,Cell type name,Unique ID,PMID,Species,Method,Raw temperature,Room/body temperature,Vrest,Vrest_Rep Value?,Vrest_> Value?,Vrest_Statistics String,Vrest_Statistical Method,Vrest_n,Vrest_Page Location,Vrest_Notes,Vrest_Orig ID,Rin,Rin_Rep Value?,Rin_> Value?,Rin_Statistics String,Rin_Statistical Method,Rin_n,Rin_Page Location,Rin_Notes,Rin_Orig ID,tau,tau_Rep Value?,tau_> Value?,tau_Statistics String,tau_Statistical Method,tau_n,tau_Page Location,tau_Notes,tau_Orig ID,Vthresh,Vthresh_Rep Value?,Vthresh_> Value?,Vthresh_Statistics String,Vthresh_Statistical Method,Vthresh_n,Vthresh_Page Location,Vthresh_Notes,Vthresh_Orig ID,Fast AHP,Fast AHP_Rep Value?,Fast AHP_> Value?,Fast AHP_Statistics String,Fast AHP_Statistical Method,Fast AHP_n,Fast AHP_Page Location,Fast AHP_Notes,Fast AHP_Orig ID,AP ampl,AP ampl_Rep Value?,AP ampl_> Value?,AP ampl_Statistics String,AP ampl_Statistical Method,AP ampl_n,AP ampl_Page Location,AP ampl_Notes,AP ampl_Orig ID,AP width,AP width_Rep Value?,AP width_> Value?,AP width_Statistics String,AP width_Statistical Method,AP width_n,AP width_Page Location,AP width_Notes,AP width_Orig ID,Max F.R.,Max F.R._Rep Value?,Max F.R._> Value?,Max F.R._Statistics String,Max F.R._Statistical Method,Max F.R._n,Max F.R._i stim,Max F.R._t stim,Max F.R._Page Location,Max F.R._Notes,Max F.R._Orig ID,Slow AHP,Slow AHP_Rep Value?,Slow AHP_> Value?,Slow AHP_Statistics String,Slow AHP_Statistical Method,Slow AHP_n,Slow AHP_i stim,Slow AHP_t stim,Slow AHP_Page Location,Slow AHP_Notes,Slow AHP_Orig ID,Sag ratio,Sag ratio_Rep Value?,Sag ratio_> Value?,Sag ratio_Statistics String,Sag ratio_Statistical Method,Sag ratio_n,Sag ratio_i stim,Sag ratio_Page Location,Sag ratio_Notes,Sag ratio_Orig ID,Direct Link Ref ID,Indirect Link PMID,Indirect Link pg num,Indirect Link quote,Other Link PMID,Other Link pg num,Other Link quote,,,,,,,,,,
121,CA1,CA1 LMR (i)3300,4005,18184315,r,p,22,r,-65.9,(**),,,SingVal,1,Fig3C NG,,4.00501E+14,318.2,(**),,,SingVal,1,Fig3C NG,,4.00502E+14,14.9,(**),,,SingVal,1,Fig3C NG,,4.00503E+14,36.9,(**),,,SingVal,1,Fig3B Neurogliaform,,4.00504E+14,19.5,(**),,,SingVal,1,Fig3C NG,,4.00505E+14,59.9,(**),,,SingVal,1,Fig3C NG,,4.00506E+14,0.8,(**),,,SingVal,1,Fig3C NG,,4.00507E+14,,,,,,,,,,,,0.2,(*),,,SingVal,1,100,400,Fig3B Neurogliaform,,4.00509E+14,0.99,(**),,,SingVal,1,-90,Fig3C NG,,4.0051E+14,,,,,18184315,"p. 106-107, Fig. 2 A(neurogliaform)"," Fig. 2. Inhibitory unitary synaptic connections between interneurons of the stratum oriens (SO) and stratum lacunosum moleculare (SLM). (A) Light microscopicreconstruction (ÃÂ· 100) of a biocytin-labelled O-LM neuron (soma and dendrites in black, axon in blue) and a postsynaptic neurogliaform cell (soma and dendrites inred, and axon in blue) in acute slice. Note that the axonal arbour of the O-LM remains segregated within the SLM where it overlaps extensively with the dendritic andaxonal arborization of the neurogliaform cell; PYR, stratum pyramidale. ",,,,,,,,,,
122,CA1,CA1 LMR (i)3300,4005,7931512,r,p,23,r,-53.1,(**),,ÃÂ±4.0,SDEV,48,Tab1,,4.00501E+14,352,(**),,ÃÂ±107,SDEV,49,Tab1,,4.00502E+14,32.9,(**),,ÃÂ±12.7,SDEV,11,Tab1,,4.00503E+14,13.2,(**),,,SingVal,1,Fig2A,,4.00504E+14,21.5,(**),,,SingVal,1,Fig2A,,4.00505E+14,86.9,(**),,ÃÂ±11.0,SDEV,49,Tab1,,4.00506E+14,1.3,(**),,,SingVal,1,Fig2A,,4.00507E+14,,,,,,,,,,,,,,,,,,,,,,,0.92,(**),,ÃÂ±0.11,SDEV,15,-100,Tab1 and p.2220;  right bottom,,4.0051E+14,612389,,,,,,,,,,,,,,,,
124,CA1,CA1 PPA QuadD (i)3222,4076,21795545,m,p,33,b,-64,(*),,ÃÂ±7,SDEV,23,Tab3 cluster 2,,4.07602E+14,216,(*),,ÃÂ±124,SDEV,23,Tab3 cluster 2,,4.07603E+14,46,(*),,ÃÂ±18,SDEV,23,Tab3 cluster 2,,4.07604E+14,27,(*),,,SingVal,1,Tab3 cluster 2; second AP," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",4.07605E+14,22,(*),,ÃÂ±3,SDEV,23,Tab3 cluster 2;  second AP,,4.07606E+14,61,(*),,ÃÂ±7,SDEV,23,Tab3 cluster 2;  second AP,,4.07607E+14,0.77,(*),,ÃÂ±0.12,SDEV,23,Tab3 cluster 2;  second AP,,4.07608E+14,40,(*),1,,SingVal,1,100,770,Fig7F grey trace,,4.07609E+14,1.3,(*),,,SingVal,1,100,770,Fig7F grey trace,,4.0761E+14,0.79,(*),,ÃÂ±0.09,SDEV,23,X,Tab3 cluster 2,,4.07611E+14,612614,,,,,,,,,,,,,,,,
125,CA1,CA1 Perforant Path-Assoc (i)3200p,4006,9503336,r,e,34.5,b,-55.4,(*),,ÃÂ±3.1,SDEV,6,Tab1,,4.00601E+14,84.2,(*),,ÃÂ±23.7,SDEV,6,Tab1,,4.00602E+14,11.9,(*),,ÃÂ±5.9,SDEV,6,Tab1,,4.00603E+14,9.3,(*),,,SingVal,1,Fig5B,,4.00604E+14,7,(*),,ÃÂ±2.6,SDEV,2,Tab1,,4.00605E+14,69.4,(*),,ÃÂ±5.3,SDEV,6,Tab1,,4.00606E+14,0.73,(*),,ÃÂ±0.1,SDEV,6,Tab1,,4.00607E+14,,,,,,,,,,,,12.4,(*),,,SingVal,1,700,200,Fig5B,,4.00609E+14,,,,,,,,,,,611510,,,,,,,,,,,,,,,,
127,CA1,CA1 NGF Projecting (i)3000p,4011,16033887,r,p,32.5,b,-63.1,(*),,ÃÂ±5.6,SDEV,33,p.6779;  bottom lef,,4.01101E+14,215.3,(*),,ÃÂ±92.8,SDEV,32,p.6779;  bottom lef,,4.01102E+14,12.43,(*),,ÃÂ±4.59,SDEV,32,p.6779;  bottom lef,,4.01103E+14,32.4,(**),,,SingVal,1,Fig3A,,4.01104E+14,20.4,(**),,ÃÂ±4.1,SDEV,34,p.6779;  bottom lef,,4.01105E+14,73,(**),,,SingVal,1,Fig3A,,4.01106E+14,0.9,(*),,ÃÂ±0.18,SDEV,26,p.6779;  bottom lef,,4.01107E+14,52.8,(*),,ÃÂ±31.0,SDEV,26,X,1000,p.6779;  bottom lef,,4.01108E+14,9,(**),,,SingVal,1,700,833,Fig3A,,4.01109E+14,0.99,(**),,,SingVal,1,-30,Fig3A,,4.0111E+14,732,,,,,,,,,,,,,,,,
128,CA1,CA1 NGF Projecting (i)3000p,4011,20130170,r,p,32,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,(**),,[37.5_51.3],Range,2,Fig5B,,4.01104E+14,17.6,(**),,[14.9_20.3],Range,2,Fig5B,,4.01105E+14,46.5,(**),,[32_61],Range,2,Fig5B,,4.01106E+14,,,,,,,,,,,,,,,,,,,,,2.4,(**),,,SingVal,1,280,910,Fig5B,,4.01109E+14,0.97,(**),,,SingVal,1,-30,Fig5B,,4.0111E+14,612117,,,,,,,,,,,,,,,,
129,CA1,CA1 Neurogliaform (i)3000,4012,16033887,r,p,32.5,b,-63.1,(*),,ÃÂ±5.6,SDEV,33,p.6779;  bottom lef,,4.01201E+14,215.3,(*),,ÃÂ±92.8,SDEV,32,p.6779;  bottom lef,,4.01202E+14,12.43,(*),,ÃÂ±4.59,SDEV,32,p.6779;  bottom lef,,4.01203E+14,32.4,(*),,,SingVal,1,Fig3A,,4.01204E+14,20.4,(*),,ÃÂ±4.1,SDEV,34,p.6779;  bottom lef,,4.01205E+14,73,(*),,,SingVal,1,Fig3A,,4.01206E+14,0.9,(*),,ÃÂ±0.18,SDEV,26,p.6779;  bottom lef,,4.01207E+14,52.8,,,ÃÂ±31.0,SDEV,26,X,1000,p.6779;  bottom lef,,4.01208E+14,9,(*),,,SingVal,1,700,833,Fig3A,,4.01209E+14,0.99,(*),,,SingVal,1,-30,Fig3A,,4.0121E+14,732,,,,,,,,,,,,,,,,
130,CA1,CA1 Neurogliaform (i)3000,4012,21795545,m,p,33,b,-70,,,ÃÂ±10,SDEV,34,Tab3 cluster 3,,4.01202E+14,302,,,ÃÂ±139,SDEV,34,Tab3 cluster 3,,4.01203E+14,25,,,ÃÂ±8,SDEV,34,Tab3 cluster 3,,4.01204E+14,36,,,,SingVal,1,Tab3 cluster 3; second AP," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",4.01205E+14,21,,,ÃÂ±4,SDEV,34,Tab3 cluster 3; second AHP,,4.01206E+14,52,,,ÃÂ±9,SDEV,34,Tab3 cluster 3; second AP,,4.01207E+14,1.08,,,ÃÂ±0.21,SDEV,34,Tab3 cluster 3; second AP,,4.01208E+14,60,(*),1,,SingVal,1,103,761,Fig8F,,4.01209E+14,5.5,,,,SingVal,1,103,761,Fig8F,,4.0121E+14,0.88,,,ÃÂ±0.06,SDEV,34,X,Tab3 cluster 3,,4.01211E+14,,,,,21795545,"p.10960, Fig. 8F,G","Figure 8.
Representative CGE-derived hippocampal interneurons. AK, Neurolucida reconstructions of GFP+ interneurons recorded in slices from P15P30 GAD65-GFP pups (dendrites and soma in black; axon in red). Scale bar: 100 m. The dashed lines indicate the approximate boundaries of strata oriens (s.o.), pyramidale (s.p.), radiatum (s.r.), lacunosum moleculare (s.l.m.), and lucidum (s.lu.).",,,,,,,,,,
131,CA1,CA1 Radial Trilaminar (i)2333,4013,19741117,m,p,34,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,(**),,,SingVal,1,Fig1B top,,4.01304E+14,11,(**),,,SingVal,1,Fig1B top,,4.01305E+14,56,(**),,,SingVal,1,Fig1B top,,4.01306E+14,,,,,,,,,,145,(*),1,,SingVal,1,X,500,Fig1B top,,4.01308E+14,6,,,,SingVal,1,X,500,Fig1B top,,4.01309E+14,,,,,,,,,,,612097,,,,,,,,,,,,,,,,
132,CA1,CA1 Radial Trilaminar (i)2333,4013,21795545,m,p,33,b,-57,(*),,ÃÂ±5,SDEV,15,Tab3 cluster 1,,4.01302E+14,116,(*),,ÃÂ±63,SDEV,15,Tab3 cluster 1,,4.01303E+14,13,(*),,ÃÂ±8,SDEV,15,Tab3 cluster 1,,4.01304E+14,20.2,(**),,,SingVal,1,Fig7C,,4.01305E+14,25,(**),,ÃÂ±4,SDEV,15,Tab3 cluster 1;  second AHP,,4.01306E+14,48,(**),,ÃÂ±8,SDEV,15,Tab3 cluster 1;  second AP,,4.01307E+14,0.54,(*),,ÃÂ±0.11,SDEV,15,Tab3 cluster 1;  second AP,,4.01308E+14,,,,,,,,,,,,0.82,(*),,,SingVal,1,316,765,Fig7C,,4.0131E+14,0.89,(*),,,SingVal,1,-90,Fig7C,,4.01311E+14,,,,,21795545,"p.10959, Fig. 7C","Figure 7.
Representative MGE-derived hippocampal interneurons. AK, Neurolucida reconstructions of GFP+ interneurons recorded in slices from P15P30 Nkx2-1Cre:RCE pups (dendrites and soma in black; axon in red). Scale bar: 100 m. The dashed lines indicate the approximate boundaries of s.o., s.p., s.r., and s.l.m. ",,,,,,,,,,
133,CA1,CA1 Radial Trilaminar (i)2333,4013,19741117,m,p,34,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,(**),,,SingVal,1,Fig1C top,,4.01304E+14,12,(**),,,SingVal,1,Fig1C top,,4.01305E+14,55,(**),,,SingVal,1,Fig1C,,4.01306E+14,,,,,,,,,,,,,,,,,,,,,4.5,,,,SingVal,1,X,500,Fig1C top,,4.01309E+14,,,,,,,,,,,612097,,,,,,,,,,,,,,,,
134,CA1,Schaffer Collateral-Assoc (i)2311,4015,11807843,r,e,35,b,-75,,,,SingVal,1,Fig9B,,4.01502E+14,,,,,,,,,,,,,,,,,,,17,,,,SingVal,1,Fig9B,,4.01505E+14,12,,,,SingVal,1,Fig9B,,4.01506E+14,60,,,,SingVal,1,Fig9B,,4.01507E+14,,,,,,,,,,,,,,,,,,,,,4.8,,,,SingVal,1,200,398,Fig9B,,4.0151E+14,0.86,,,,SingVal,1,-200,Fig9B,,4.01511E+14,612272,,,,,,,,,,,,,,,,
135,CA1,Schaffer Collateral-Assoc (i)2311,4015,11784700,r,p,35,b,-60.6,(*),,ÃÂ±3.14,SEM,5,Tab1,,4.01501E+14,482.64,(*),,ÃÂ±70.25,SEM,5,Tab1,,4.01502E+14,26.12,(*),,ÃÂ±3.13,SEM,5,Tab1,,4.01503E+14,13.5,(*),,,SingVal,1,Fig4 C1,,4.01504E+14,21.02,(*),,ÃÂ±2.59,SEM,5,Tab1,,4.01505E+14,73,(*),,ÃÂ±4.82,SEM,5,Tab1,,4.01506E+14,1.06,(*),,ÃÂ±0.07,SEM,5,Tab1,,4.01507E+14,95,(*),1,,SingVal,1,150,1000,Fig4D1,,4.01508E+14,5.5,(*),,,SingVal,1,150,1000,Fig4D1,,4.01509E+14,0.49,(*),,,SingVal,1,-100,Fig4C1,,4.0151E+14,,,,,11784700,"p.68, Fig.2 C,D","Fig. 2. Axonal projection patterns of two pro-CCK-immunoreactive basket cells (A, P12 and B, P12) and two immunoreactive
SchaÃÂ¡er collateral-associated cells (C, P16 and D, P16), also shown in Fig. 1. The basket cell axonal branches are concentrated
in stratum pyramidale (s.pyr.) and they also innervate, to a smaller extent, the adjacent areas of strata radiatum
(s.rad.) and oriens. In contrast, the axonal branches of SchaÃÂ¡er collateral-associated cells are mostly located in stratum radiatum;
very few branches enter stratum pyramidale or pass through to stratum oriens, or enter stratum lacunosum-moleculare
(s.l-m.). The dendritic trees of some cells (A^C) are severely truncated because most dendrites reached the surface of the slice.
Numbers indicate cell identity of each recorded cell. Scale bars=100 m.",,,,,,,,,,
136,CA1,CA1 IS LMR-R (i)2300,4056,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,CA1,CA1 Oriens/Alveus (i)2233,4055,3612227,g,e,35,b,-51,(*),,ÃÂ±3,SDEV,40,Tab1 O/A interneuron,,4.05501E+14,42,(*),,ÃÂ±4,SDEV,22,Tab1 O/A interneuron,,4.05502E+14,5.6,(*),,ÃÂ±0.4,SDEV,18,Tab1 O/A interneuron,,4.05503E+14,9.4,(*),,,SingVal,1,Fig8 bottom;  O/A interneuron,,4.05504E+14,8.1,(*),,ÃÂ±0.9,SDEV,32,Tab1 O/A interneuron,,4.05505E+14,43,(*),,ÃÂ±2,SDEV,41,Tab1 O/A interneuron,,4.05506E+14,1.1,(*),,ÃÂ±0.1,SDEV,32,Tab1 O/A interneuron,,4.05507E+14,,,,,,,,,,,,6,(*),,,SingVal,1,555,114,Fig9A O/A interneuron,,4.05509E+14,,,,,,,,,,,611288,,,,,,,,,,,,,,,,
138,CA1,CA1 Basket (i)2232,4078,11807843,r,e,35,b,-68,,,,SingVal,1,Fig3F,,4.07802E+14,,,,,,,,,,,,,,,,,,,19,,,,SingVal,1,Fig3F,,4.07805E+14,11,,,,SingVal,1,Fig3F,,4.07806E+14,62,,,,SingVal,1,Fig3F,,4.07807E+14,,,,,,,,,,,,,,,,,,,,,2,(*),,,SingVal,1,600,800,Fig3F,,4.0781E+14,,,,,,,,,,,611335,,,,,,,,,,,,,,,,
139,CA1,CA1 Basket (i)2232,4078,21795545,m,p,33,b,-57,(*),,ÃÂ±5,SDEV,15,Tab3 cluster 1,,4.07802E+14,116,(*),,ÃÂ±63,SDEV,15,Tab3 cluster 1,,4.07803E+14,13,(*),,ÃÂ±8,SDEV,15,Tab3 cluster 1,,4.07804E+14,25,,,,SingVal,1,Tab3 cluster 1;  2nd spike," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",4.07805E+14,25,,,ÃÂ±4,SDEV,15,Tab3 cluster 1;  second AHP,,4.07806E+14,48,,,ÃÂ±8,SDEV,15,Tab3 cluster 1;  second AP,,4.07807E+14,0.54,(*),,ÃÂ±0.11,SDEV,15,Tab3 cluster 1;  second AP,,4.07808E+14,,,,,,,,,,,,,,,,,,,,,,,0.84,(*),,ÃÂ±0.06,SDEV,15,X,Tab3 cluster 1,,4.07811E+14,,,,,21795545,"p.10959, Fig. 7A","Figure 7.
Representative MGE-derived hippocampal interneurons. AK, Neurolucida reconstructions of GFP+ interneurons recorded in slices from P15P30 Nkx2-1Cre:RCE pups (dendrites and soma in black; axon in red). Scale bar: 100 m. The dashed lines indicate the approximate boundaries of s.o., s.p., s.r., and s.l.m. ",,,,,,,,,,
140,CA1,CA1 Basket (i)2232,4078,21795548,r,p,33,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,(*),,,SingVal,1,Fig1A,,4.07805E+14,10,(*),,,SingVal,1,Fig1A,,4.07806E+14,62,(*),,,SingVal,1,Fig1A,,4.07807E+14,,,,,,,,,,60,(*),1,,SingVal,1,X,1750,Fig1A,,4.07809E+14,1.5,,,,SingVal,1,X,1750,Fig1A,,4.0781E+14,,,,,,,,,,,Fig.1A,,,,,,,,,,,,,,,,
141,CA1,CA1 BC CCK+ (i)2232,4079,11807843,r,e,35,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,SingVal,1,Fig6D,,4.07905E+14,14,,,,SingVal,1,Fig6D,,4.07906E+14,70,,,,SingVal,1,Fig6D,,4.07907E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,CA1,CA1 BC CCK+ (i)2232,4079,21795548,r,p,33,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,(**),,,SingVal,1,Fig1B,,4.07905E+14,9,(**),,,SingVal,1,Fig1B,,4.07906E+14,55,(**),,,SingVal,1,Fig1B,,4.07907E+14,,,,,,,,,,28,,1,,SingVal,1,X,1750,Fig1B,,4.07909E+14,4.8,,,,SingVal,1,X,1750,Fig1B,,4.0791E+14,0.86,,,,SingVal,1,X,Fig1B,,4.07911E+14,Fig.1B,,,,,,,,,,,,,,,,
143,CA1,CA1 BC CCK+ (i)2232,4079,11784700,r,p,35,b,-61.4,(*),,ÃÂ±1.44,SEM,5,Tab1,,4.07901E+14,281.68,(*),,ÃÂ±35.66,SEM,5,Tab1,,4.07902E+14,25.07,(*),,ÃÂ±2.51,SEM,5,Tab1,,4.07903E+14,21.9,(**),,,SingVal,1,Fig4A1,,4.07904E+14,15.17,(**),,ÃÂ±1.53,SEM,5,Tab1,,4.07905E+14,76.92,(**),,ÃÂ±5.24,SEM,5,Tab1,,4.07906E+14,0.84,(*),,ÃÂ±0.05,SEM,5,Tab1,,4.07907E+14,160,(*),1,,SingVal,1,325,1000,Fig4B1,,4.07908E+14,6.6,(*),,,SingVal,1,325,1000,Fig4B1,,4.07909E+14,0.78,(*),,,SingVal,1,-100,Fig4A1,,4.0791E+14,,,,,11784700,"p.68, Fig.2 A, B","Fig. 2. Axonal projection patterns of two pro-CCK-immunoreactive basket cells (A, P12 and B, P12) and two immunoreactive
SchaÃÂ¡er collateral-associated cells (C, P16 and D, P16), also shown in Fig. 1. The basket cell axonal branches are concentrated
in stratum pyramidale (s.pyr.) and they also innervate, to a smaller extent, the adjacent areas of strata radiatum
(s.rad.) and oriens. In contrast, the axonal branches of SchaÃÂ¡er collateral-associated cells are mostly located in stratum radiatum;
very few branches enter stratum pyramidale or pass through to stratum oriens, or enter stratum lacunosum-moleculare
(s.l-m.). The dendritic trees of some cells (A^C) are severely truncated because most dendrites reached the surface of the slice.
Numbers indicate cell identity of each recorded cell. Scale bars=100 m.",,,,,,,,,,
144,CA1,CA1 Axo-Axonic (i)2232,4036,11807843,r,e,35,b,-66,(**),,,SingVal,1,Fig4B,,4.03602E+14,,,,,,,,,,,,,,,,,,,22,(**),,,SingVal,1,Fig4B,,4.03605E+14,17.6,(**),,,SingVal,1,Fig4B,,4.03606E+14,54.5,(**),,,SingVal,1,Fig4B,,4.03607E+14,,,,,,,,,,,,,,,,,,,,,7.7,(**),,,SingVal,1,600,400,Fig4B,,4.0361E+14,,,,,,,,,,,611333,,,,,,,,,,,,,,,,
145,CA1,CA1 Axo-Axonic (i)2232,4036,8035215,r,e,34.5,b,-65.1,(**),,ÃÂ±3.9,SDEV,14,p.1295,,4.03602E+14,73.9,(*),,ÃÂ±23.8,SDEV,14,p.1295,,4.03603E+14,7.7,(*),,ÃÂ±3.8,SDEV,14,p.1295,,4.03604E+14,11,(**),,,SingVal,1,Fig5D,,4.03605E+14,4,(**),,,SingVal,1,Fig5D,,4.03606E+14,64.1,(**),,ÃÂ±7.1,SDEV,13,p.1295,,4.03607E+14,0.389,(*),,ÃÂ±0.086,SDEV,13,p.1295,,4.03608E+14,,,,,,,,,,,,3.5,(**),,,SingVal,1,500,200,Fig5D,,4.0361E+14,,,,,,,,,,,,15098728,p.234,"From a total of 57 successfully recovered and identied stratumoriens horizontal interneurons, four were judged to be axo-axoniccells based on their axonal arborization. This was determined in aninitial light microscopic analysis, giving them a chandelier-likeappearance (Somogyi, 1977; Somogyi et al., 1985; Buhl et al.,1994) (Fig. 1A,E). ",,,p.1292," Fig.1: ""FIG. 1. Intracellularly recorded and biocytin-filled axo-axonic cell in subfield CA 1 of the rat hippocampus. The cell was reconstructed with light microscopy from 5 X 60-mm-thick sections. The cell body that was located in the pyramidal cell layer (between -) g ave rise to several dendrites that traversed stratum radiatum (srad) and formed a characteristic apical tuft in the stratum lacunosum moleculare (slm). A skirt of basal dendrites coursed through the stratum oriens (so)", with their tips protruding into the alveus. The axon, which was only partially filled, formed a dense band of terminal branches in the lower half of and subjacent to the pyramidal cell layer. Properties of this cell are also shown in Figs. 4A, 6A, IOA, and 11, A, C," and D. Scale bar = 100 mm. """
146,CA1,CA1 IS O-Target QuadD (i)2223,4020,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,CA1,CA1 IS LM-R (i)2100,4021,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,CA1,CA1 IS LMO-O (i)2003,4022,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,CA1,CA1 R-Recv Apical-Target (i)1300,4061,21795545,m,p,33,b,-57,(*),,ÃÂ±5,SDEV,15,Tab3 cluster 1,,4.06102E+14,116,(*),,ÃÂ±63,SDEV,15,Tab3 cluster 1,,4.06103E+14,13,(*),,ÃÂ±8,SDEV,15,Tab3 cluster 1,,4.06104E+14,25,(*),,,SingVal,1,Tab3 cluster 1;  2nd spike," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",4.06105E+14,25,(*),,ÃÂ±4,SDEV,15,Tab3 cluster 1;  second AHP,,4.06106E+14,48,(*),,ÃÂ±8,SDEV,15,Tab3 cluster 1;  second AP,,4.06107E+14,0.54,(*),,ÃÂ±0.11,SDEV,15,Tab3 cluster 1;  second AP,,4.06108E+14,,,,,,,,,,,,3.3,(*),,,SingVal,1,46,765,Fig7I,,4.0611E+14,0.84,(*),,ÃÂ±0.06,SDEV,15,X,Tab3 cluster 1,,4.06111E+14,612614,,,,,,,,,,,,,,,,
150,CA1,CA1 R-Recv Apical-Target (i)1300,4061,21795545,m,p,33,b,,,,,,,Tab3 cluster 1,,,,,,,,,Tab3 cluster 1,,,,,,,,,Tab3 cluster 1,,,,,,,,,Tab3 cluster 1;  2nd spike,,,,,,,,,Tab3 cluster 1;  second AHP,,,,,,,,,Tab3 cluster 1;  second AP,,,,,,,,,Tab3 cluster 1;  second AP,,,,,,,,,,,Fig8D,,,,,,,,,,,Fig8D,,,,,,,,,,Tab3 cluster 1,,,612614,,,,,,,,,,,,,,,,
151,CA1,CA1 OR-LM (i)1202,4066,10777798,m,p,22,r,-68,(*),,[-69_-67],Range,2,Fig7bc,,4.06602E+14,225,(*),,[150_300],Range,2,Fig7bc,,4.06603E+14,68,(*),,,SingVal,1,Fig7c,,4.06604E+14,15.1,(*),,[14.0_16.2],Range,2,Fig7b bottom;  middle,,4.06605E+14,8.4,(*),,[7.2_9.6],Range,2,Fig7b bottom;  middle,,4.06606E+14,86,(*),,[82.8_89.2],Range,2,Fig7b bottom;  middle,,4.06607E+14,,,,,,,,,,,,,,,,,,,,,4.6,(*),,,SingVal,1,150,500,Fig7b top,,4.0661E+14,0.71,(*),,,SingVal,1,-200,Fig7c,,4.06611E+14,612567,,,,,,,,,,,,,,,,
152,CA1,CA1 Back Projection (i)1133p,4023,8085161,r,e,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,(*),,[12_19],Range,2,Fig4A,,4.02305E+14,13.5,(*),,[10_17],Range,2,Fig4A,,4.02306E+14,58,(*),,[55_61],Range,2,Fig4A,,4.02307E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,(*),,,SingVal,1,X,Fig4A,,4.02311E+14,611413,,,,,,,,,,,,,,,,
153,CA1,CA1 O-Bistrat Projecting (i)1113p,4068,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,CA1,CA1 O-LMR (i)1102,4087,20421280,r,p,35.5,b,-55.7,(*),,ÃÂ±6.5,SDEV,19,p.2117;  right,,4.08701E+14,190,(*),,[169_211],Range,2,Tab1;  OLM,,4.08702E+14,39.4,(*),,[31.9_46.9],Range,2,Tab1;  OLM,,4.08703E+14,34,(*),,,SingVal,1,Fig1B;  OLM,,4.08704E+14,19.4,(*),,,SingVal,1,Fig1B;  OLM,,4.08705E+14,84.4,(*),,,SingVal,1,Fig1B;  OLM,,4.08706E+14,,,,,,,,,,,,,,,,,,,,,5,(*),,,SingVal,1,200,850,Fig1B;  OLM,,4.08709E+14,0.68,(*),,,SingVal,1,-200,Fig1B;  OLM,,4.0871E+14,612730,,,,,,,,,,,,,,,,
