"","","","","","","","","","","","","","","","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","","","","","","","","",""
"","X","X107","DG","(new)","1-032","","(+)","123","p","MC proj","Dentate gyrus mossy cell","","","E","","","","","","","","","","","","","","","{}"000.000000; 220.162066[rule]"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","",""
"3","N","N108","DG","mossy ","1-002","Mossy ","(+)","103","","MC","Dentate gyrus mossy neuron","","","E","hilus","{n}""201.161018""","{3<""*The protein has not been detected in rats, but in mice it has been detected in a subset of these neurons.*"">}""100.160802; 201.160802; 201.161082[rule]; 430.161084; 231.161084; 201.161288[rule]; 100.162016; 400.162054; 400.162055; 100.162163; 100.162164""","{cn}""201.161018; 201.160841; 201.161288; 201.161082; 901.162029<""*Glutamatergic and GABAergic GABAa \alpha1- types in DG Smi_Smo_SG_H are probably PV- by contrapositive logic*"">""","""000.000000""","""000.000000""","{ni}""000.000000; 901.162169<""*Glutamatergic and GABAergic SOM- types in DG H are probably GABAa \alpha1- by contrapositive logic*"">""","{ni}""000.000000; 901.161130<""*Glutamatergic and GABAergic SOM- types in DG Smo_Smi_SG_H are probably mGluR1a- by contrapositive logic*"">""","""000.000000""","""000.000000""","","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","","""000.000000""","""000.000000""","","","{}""000.000000; 201.161288[rule]; 201.161082[rule]""","""000.000000""","{n}""201.161180""","""000.000000""","{cn}""201.161288; 201.161082; 901.162000<""*Glutamatergic and GABAergic nNos- types in DG H are probably SOM- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 93.2% (n = 771/812)*"">; 901.160374<""*Glutamatergic and GABAergic nNos- types in DG H are probably SOM- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 93.2% (n = 771/812)*"">; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in DG Smo_Smi_SG_H are probably SOM- by contrapositive logic*"">""","""000.000000""","{3<""*Protein has been detected in rats, but not in mice.*"">}""101.161078; 101.161084; 101.161180; 200.161854; 200.161865; 101.161865""","""000.000000""","","{cni}""000.000000; 901.162076<""*Glutamatergic types in DG Smi_Smo_SG_H are negative for nNos*"">; 901.162000<""*Glutamatergic and GABAergic SOM- types in DG H are probably nNos- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 79.3% (n = 772/942)*"">""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","{p}""101.161288; 131.161084""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","7","","",""
"","X","X109","DG","","1-044","","(+)","3","","BPE-GC","","","","E","","","","","","","","","","","","","","","{}"000.000000; 220.162066[rule]"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","",""
"15","N","N110","DG","dendritic inhibitory interneuron","1-004","Total Molecular Layer","(-)","3303","","TML","Dentate gyrus total molecular layer interneuron","","DI","I","stratum granulare (3795), hilus (3415)","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 901.161130<""*Glutamatergic and GABAergic SOM- types in DG Smo_Smi_SG_H are probably mGluR1a- by contrapositive logic*"">""","""000.000000""","""000.000000""","","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 922.162140<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">; 922.161142<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">""","""000.000000""","{cni}""000.000000; 900.160108<""*Glutamatergic and GABAergic types in DG Smo_Smi_SG are negative for SOM*"">; 900.160600<""*Glutamatergic and GABAergic types in DG SG are negative for SOM*"">; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in DG Smo_Smi_SG_H are probably SOM- by contrapositive logic*"">""","""000.000000""","","""000.000000""","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","3","1","",""
"","N","N111","DG","TML","1-005","MOLAX ","(-)","3302","","TML-MOLAX","Dentate gyrus TML-MOLA3302 cell","","","I","stratum granulosum (605300)","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 101.161130[rule]; 901.161130<""*Glutamatergic and GABAergic SOM- types in DG Smo_Smi_SG_H are probably mGluR1a- by contrapositive logic*"">""","""000.000000""","""000.000000""","","","","""000.000000""","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 922.162140<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">; 922.161142<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">""","""000.000000""","{cni}""000.000000; 900.160108<""*Glutamatergic and GABAergic types in DG Smo_Smi_SG are negative for SOM*"">; 900.160600<""*Glutamatergic and GABAergic types in DG SG are negative for SOM*"">; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in DG Smo_Smi_SG_H are probably SOM- by contrapositive logic*"">""","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","3","1","",""
"","X","X112","DG","(new)","1-024","","(-)","3300","","VIP-SM","","","","I","","","","","","","","","","","","","","","{}"000.000000; 220.162066[rule]"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","",""
"","N","N113","DG","(new)","1-006","Outer Molecular Layer ","(-)","3222","","OML","DG outer molecular layer cell","","","I","stratum granulosum (603100)","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 101.161130[rule]; 901.161130<""*Glutamatergic and GABAergic SOM- types in DG Smo_Smi_SG_H are probably mGluR1a- by contrapositive logic*"">""","""000.000000""","""000.000000""","","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 922.162140<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">; 922.161142<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">""","""000.000000""","{cni}""000.000000; 900.160108<""*Glutamatergic and GABAergic types in DG Smo_Smi_SG are negative for SOM*"">; 900.160600<""*Glutamatergic and GABAergic types in DG SG are negative for SOM*"">; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in DG Smo_Smi_SG_H are probably SOM- by contrapositive logic*"">""","""000.000000""","","""000.000000""","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","3","1","",""
"","X","X114","DG","(new)","1-016","","(-)","3100","p","IS-1","","","","I","","","","","","","","","","","","","","","{}"000.000000; 220.162066[rule]"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","",""
"","N","N115","DG","(new)","1-007","DG Neurogliaform","(-)","3000","p","NGF","Dentate gyrus neurogliaform 3000 cell","","","I","outer stratum moleculare (600996)","{ni}""000.000000; 900.161888<""*Glutamatergic and GABAergic NPY+ types in DG Smo_Smi_SG are probably CB-; Clopper-Pearson confidence interval lower bound = 69.2% (n = 10/10)*"">""","{ni}""000.000000; 900.161888<""*Glutamatergic and GABAergic NPY+ types in DG Smo_Smi_SG are probably CR-; Clopper-Pearson confidence interval lower bound = 69.2% (n = 10/10)*"">""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 901.161130<""*Glutamatergic and GABAergic SOM- types in DG Smo_Smi_SG_H are probably mGluR1a- by contrapositive logic*"">""","""000.000000""","""000.000000""","{ni} ""901.162168<""*Glutamatergic and GABAergic NPY+ types in DG Smo_Smi are probably AR-beta1-; (n = 8/8)*"">""","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 922.162140<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">; 922.161142<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">""","{p}""101.161056""","{cni}""000.000000; 200.161162[rule]; 200.161164[rule]; 900.160108<""*Glutamatergic and GABAergic types in DG Smo_Smi_SG are negative for SOM*"">; 901.160234<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 901.160588<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 900.161162<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 901.162168<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 901.162161<""*Glutamatergic and GABAergic NPY+ types in DG Smo_Smi_SG are probably SOM-*"">; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in DG Smo_Smi_SG_H are probably SOM- by contrapositive logic*"">; 901.162161<""*Glutamatergic and GABAergic NPY+ types in DG Smo_Smi_SG are probably SOM- by contrapositive logic*"">""","""000.000000""","","""000.000000""","","{p}""101.161056""","""000.000000""","","""000.000000""","{p}""101.161056""","{p}""101.161056""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","10","1","1","1"
"8","N","N116","DG","MOPP","1-008","MOPP ","(-)","3000","","MOPP","Dentate gyrus MOPP neuron","","","I","molecular layer (3786), inner molecular layer","{ni}""000.000000; 900.161888<""*Glutamatergic and GABAergic NPY+ types in DG Smo_Smi_SG are probably CB-; Clopper-Pearson confidence interval lower bound = 69.2% (n = 10/10)*"">""","{ni}""000.000000; 900.161888<""*Glutamatergic and GABAergic NPY+ types in DG Smo_Smi_SG are probably CR-; Clopper-Pearson confidence interval lower bound = 69.2% (n = 10/10)*"">""","{ni}""000.000000; 901.162029<""*Glutamatergic and GABAergic GABAa \alpha1- types in DG Smi_Smo_SG_H are probably PV- by contrapositive logic*"">""","""000.000000""","{ni}""000.000000; 901.161157<""*GABAergic CCK- types in DG Smi_Smo_SG_H are probably CB1- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 71.3% (n = 94/118)*"">""","{cni}""000.000000; 901.162029<""*Glutamatergic and GABAergic VIP+ types in DG Smi_Smo_SG_H are probably GABAa \alpha1-*"">; 901.162169<""*Glutamatergic and GABAergic VIP+ types in DG Smi_Smo_SG_H are probably GABAa \alpha1- by contrapositive logic*"">""","{ni}""000.000000; 901.161130<""*Glutamatergic and GABAergic SOM- types in DG Smo_Smi_SG_H are probably mGluR1a- by contrapositive logic*"">""","""000.000000""","{cni}""000.000000; 901.161262<""*GABAergic VIP+ types in DG SMo_SMi_SG_H are probably Sub P rec-*"">; 901.161262<""*GABAergic VIP+ types in DG SMo_SMi_SG_H are probably Sub P rec- by contrapositive logic*"">""","{ni} ""901.162168<""*Glutamatergic and GABAergic NPY+ types in DG Smo_Smi are probably AR-beta1-; (n = 8/8)*"">""","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","","""000.000000""","{ni}""000.000000; 901.161027<""*Glutamatergic and GABAergic VIP+ types in DG SMo_SMi_SG_H are probably vGluT3- by contrapositive logic*"">""","","""000.000000""","{cni}""000.000000; 901.161262<""*GABAergic Sub P rec- types in DG SMo_SMi_SG_H are probably CCK- by contrapositive logic*"">; 901.161692<""*GABAergic CB1- types in DG Smo_Smi_SG_H are probably CCK- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 81.8% (n = 35/37)*"">; 901.161908<""*Glutamatergic and GABAergic CB1- types in DG Smi_Smo_SG_H are probably CCK- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 90% (n = 192/204)*"">; 901.161157<""*GABAergic CB1- types in DG Smi_Smo_SG_H are probably CCK- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 76.8% (n = 95/112)*"">""","""000.000000""","{ni}""000.000000; 922.162140<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">; 922.161142<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">""","{p}""101.161054; 101.161056""","{cni}""000.000000; 200.160108[rule]; 201.160220[rule]; 201.160300[rule]; 202.160588[rule]; 201.160234[rule]; 200.161162[rule]; 200.161164[rule]; 900.160108<""*Glutamatergic and GABAergic types in DG Smo_Smi_SG are negative for SOM*"">; 901.160234<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 901.160588<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 900.161162<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 901.162168<""*Glutamatergic and GABAergic types in DG Smo_Smi are negative for SOM*"">; 901.162161<""*Glutamatergic and GABAergic NPY+ types in DG Smo_Smi_SG are probably SOM-*"">; 901.161130<""*Glutamatergic and GABAergic mGluR1a- types in DG Smo_Smi_SG_H are probably SOM- by contrapositive logic*"">; 901.162161<""*Glutamatergic and GABAergic NPY+ types in DG Smo_Smi_SG are probably SOM- by contrapositive logic*"">""","{p}""101.152018; 101.152020""","","""000.000000""","","{p}""101.161054; 101.161056""","""000.000000""","","{cni}""000.000000; 201.161132[rule]; 201.161134[rule]; 901.161132<""*GABAergic VIP+ types in DG SMo_SMi are probably a-act2-; Clopper-Pearson confidence interval lower bound = 83.9% (n = 21/21)*"">; 901.161134<""*GABAergic VIP+ types in DG SMo_SMi are probably a-act2-; Clopper-Pearson confidence interval lower bound = 83.9% (n = 21/21)*"">; 901.161132<""*GABAergic VIP+ types in DG SMo_SMi are probably a-act2- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 94.6% (n = 67/67)*"">""","{p}""101.161054; 101.161056""","{p}""101.161054; 101.161056""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","16","1","1","1"
"","N","N117","DG","(new)","1-027","AIPRIM","(-)","2333","","aspiny hilar","","","","I","","""000.000000""","{ni}""000.000000; 910.162154<""*GABAergic types in DG H are negative for CR*"">""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","{ni}""000.000000; 922.162140<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">; 922.161142<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">""","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","",""
"18","N","N118","DG","HICAP","1-009","HICAP ","(-)","2322","","HICAP","Dentate gyrus HICAP neuron","","","I","hilus (3792)","{cni}""000.000000; 901.162019<""*GABAergic CCK+ types in DG SMo_SMi_SG_H are probably CB-; Clopper-Pearson confidence interval lower bound = 83.5% (n = 39/41)*"">; 901.162174<""*GABAergic CB1+ types in DG SMo_SMi_SG_H are probably CB-; Clopper-Pearson confidence interval lower bound = 80% (n = 119/137)*"">; 901.162019<""*GABAergic CCK+ types in DG SMo_SMi_SG_H are probably CB- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 83.5% (n = 39/41)*"">""","{ni}""000.000000; 910.161684<""*Glutamatergic and GABAergic CB1+ types in DG SMo_SMi_SG_H are probably CR-; Clopper-Pearson confidence interval lower bound = 95.2% (n = 236/241)*"">""","{cni}""000.000000; 901.161004<""*Glutamatergic and GABAergic CCK+ types in DG SMo_SMi_SG_H are probably PV-*"">; 901.161154<""*Glutamatergic and GABAergic CB1+ types in DG SMo_SMi_SG_H are probably PV-*"">; 910.161684<""*Glutamatergic and GABAergic CB1+ types in DG SMo_SMi_SG_H are probably PV-; Clopper-Pearson confidence interval lower bound = 96.6% (n = 208/210)*"">; 901.161910<""*Glutamatergic and GABAergic CB1+ types in DG Smi_Smo_SG_H are probably PV-*"">; 901.162029<""*Glutamatergic and GABAergic GABAa \alpha1- types in DG Smi_Smo_SG_H are probably PV- by contrapositive logic*"">; 901.161004<""*Glutamatergic and GABAergic CCK+ types in DG SMo_SMi_SG_H are probably PV- by contrapositive logic*"">; 901.161154<""*Glutamatergic and GABAergic CB1+ types in DG SMo_SMi_SG_H are probably PV- by contrapositive logic*"">; 901.161692<""*GABAergic CB1+ types in DG Smo_Smi_SG_H are probably PV- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 88.1% (n = 29/29)*"">; 901.161910<""*Glutamatergic and GABAergic CB1+ types in DG Smi_Smo_SG_H are probably PV- by contrapositive logic*"">""","""000.000000""","{cpi}""000.000000; 801.161692<""*GABAergic CCK+ types in DG Smo_Smi_SG_H are probably CB1+; Clopper-Pearson confidence interval lower bound = 81.8% (n = 35/37)*"">; 801.161908<""*Glutamatergic and GABAergic CCK+ types in DG Smi_Smo_SG_H are probably CB1+; Clopper-Pearson confidence interval lower bound = 90% (n = 192/204)*"">; 801.161157<""*GABAergic CCK+ types in DG Smi_Smo_SG_H are probably CB1+; Clopper-Pearson confidence interval lower bound = 76.8% (n = 95/112)*"">""","{ni}""000.000000; 901.162169<""*Glutamatergic and GABAergic CCK+ types in DG Smi_Smo_SG_H are probably GABAa \alpha1- by contrapositive logic*"">""","""000.000000""","""000.000000""","{pi}""000.000000; 101.161262[rule]; 801.161262<""*GABAergic CCK+ types in DG SMo_SMi_SG_H are probably Sub P rec+*"">""","{cni} ""901.162168<""*Glutamatergic and GABAergic CCK+ types in DG H are probably AR-beta1-; Clopper-Pearson confidence interval lower bound = 79.5% (n = 70/79)*"">; 901.162168<""*Glutamatergic and GABAergic CCK+ types in DG SG are probably AR-beta1-; Clopper-Pearson confidence interval lower bound = 86.8% (n = 125/135)*"">""","","","""000.000000""","{ni}""000.000000; 220.162066[rule]; 920.162066<""*Glutamatergic and GABAergic types in DG Smi_Smo_SG_H are negative for GABAa\alpha 6*"">""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","{cni}""000.000000; 901.161886<""*Glutamatergic and GABAergic CCK+ types in DG Smo_Smi_SG_H are probably vGlut2-*"">; 901.161886<""*Glutamatergic and GABAergic CCK+ types in DG Smo_Smi_SG_H are probably vGlut2- by contrapositive logic*"">""","{cp}""101.160848; 101.161672; 101.152022; 801.161157<""*GABAergic CB1+ types in DG Smi_Smo_SG_H are probably CCK+; Clopper-Pearson confidence interval lower bound = 71.3% (n = 94/118)*"">""","""000.000000""","{ni}""000.000000; 922.162140<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">; 922.161142<""*GABAergic types in DG Smi_Smo_SG_H are negative for NG*"">""","""000.000000""","""000.000000""","{cni}""000.000000; 901.161262<""*GABAergic Sub P rec+ types in DG SMo_SMi_SG_H are probably VIP-*"">; 901.161262<""*GABAergic Sub P rec+ types in DG SMo_SMi_SG_H are probably VIP- by contrapositive logic*"">""","{ni}""000.000000; 901.161288<""*Glutamatergic and GABAergic CCK+ types in DG Smo_Smi_SG_H are probably CGRP- by contrapositive logic; Clopper-Pearson confidence interval lower bound = 95.3% (n = 77/77)*"">""","""000.000000""","","""000.000000""","""000.000000""","","{cni}""000.000000; 201.161132[rule]; 201.161134[rule]; 901.161132<""*GABAergic CCK+ types in DG SG are probably a-act2-; Clopper-Pearson confidence interval lower bound = 83.2% (n = 20/20)*"">; 901.161134<""*GABAergic CCK+ types in DG SG are probably a-act2-; Clopper-Pearson confidence interval lower bound = 83.2% (n = 20/20)*"">; 901.161132<""*GABAergic CCK+ types in DG H are probably a-act2-; (n = 9/9)*"">; 901.161134<""*GABAergic CCK+ types in DG H are probably a-act2-; (n = 9/9)*"">""","""000.000000""","""000.000000""","","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","""000.000000""","","","""000.000000""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11","1","1","1"
